occupation,mapped_major
"Education teachers, postsecondary",Education
"Communications teachers, postsecondary",Communication/journalism
"English language and literature teachers, postsecondary",English
"Preschool teachers, except special education",Education
"Kindergarten teachers, except special education",Education
"Elementary school teachers, except special education",Education
"Middle school teachers, except special and vocational education",Education
"Secondary school teachers, except special and vocational education",Education
"Vocational education teachers, secondary school",Education
"Special education teachers, preschool, kindergarten, and elementary school",Education
"Special education teachers, secondary school",Education
Self-enrichment education teachers,Education
Librarians,Library science
Instructional coordinators,Education
Teacher assistants,Education
"Education, training, and library workers, all other",Education
"Arts, design, entertainment, sports, and media occupations",Visual and performing arts
Art directors,Visual and performing arts
Commercial and industrial designers,Visual and performing arts
Floral designers,Family and consumer sciences
Graphic designers,Visual and performing arts
Interior designers,Visual and performing arts
Producers and directors,Visual and performing arts
Coaches and scouts,Parks and recreation
Musicians and singers,Visual and performing arts
Reporters and correspondents,Communication/journalism
Public relations specialists,Communication/journalism
Editors,English
Technical writers,Communication/journalism
Writers and authors,English
Interpreters and translators,"Foreign languages, literatures, and linguistics"
"Media and communication workers, all other",Communication/journalism
Broadcast technicians,Communication/journalism
Photographers,Visual and performing arts
Healthcare practitioners and technical occupations,Health professions and related programs
"Dentists, general",Health professions and related programs
Dietitians and nutritionists,Family and consumer sciences
Optometrists,Health professions and related programs
Pharmacists,Health professions and related programs
Family and general practitioners,Health professions and related programs
"Internists, general",Health professions and related programs
Surgeons,Health professions and related programs
"Physicians and surgeons, all other",Health professions and related programs
Physician assistants,Health professions and related programs
Registered nurses,Health professions and related programs
Occupational therapists,Health professions and related programs
Physical therapists,Health professions and related programs
Recreational therapists,Parks and recreation
Speech-language pathologists,Communication/journalism
Veterinarians,Biological/life sciences
"Health diagnosing and treating practitioners, all other",Health professions and related programs
Dental hygienists,Health professions and related programs
Cardiovascular technologists and technicians,Health professions and related programs
Nuclear medicine technologists,Health professions and related programs
Radiologic technologists and technicians,Health professions and related programs
Emergency medical technicians and paramedics,Health professions and related programs
Pharmacy technicians,Health professions and related programs
Surgical technologists,Health professions and related programs
Licensed practical and licensed vocational nurses,Health professions and related programs
Medical records and health information technicians,Health professions and related programs
"Opticians, dispensing",Health professions and related programs
Occupational health and safety specialists,Health professions and related programs
"Healthcare practitioners and technical workers, all other",Health professions and related programs
Healthcare support occupations,Health professions and related programs
Home health aides,Health professions and related programs
"Nursing aides, orderlies, and attendants",Health professions and related programs
Occupational therapist assistants,Health professions and related programs
Physical therapist assistants,Health professions and related programs
Dental assistants,Health professions and related programs
Medical assistants,Health professions and related programs
Medical equipment preparers,Health professions and related programs
Medical transcriptionists,Health professions and related programs
Pharmacy aides,Health professions and related programs
Veterinary assistants and laboratory animal caretakers,Biological/life sciences
"Healthcare support workers, all other",Health professions and related programs
Protective service occupations,"Homeland Security, law enforcement, firefighting, and protective services"
First-line supervisors/managers of police and detectives,"Homeland Security, law enforcement, firefighting, and protective services"
First-line supervisors/managers of fire fighting and prevention workers,"Homeland Security, law enforcement, firefighting, and protective services"
"First-line supervisors/managers, protective service workers, all other","Homeland Security, law enforcement, firefighting, and protective services"
Fire fighters,"Homeland Security, law enforcement, firefighting, and protective services"
Detectives and criminal investigators,"Homeland Security, law enforcement, firefighting, and protective services"
Private detectives and investigators,"Homeland Security, law enforcement, firefighting, and protective services"
Security guards,"Homeland Security, law enforcement, firefighting, and protective services"
Crossing guards,Other
"Lifeguards, ski patrol, and other recreational protective service workers",Parks and recreation
"Protective service workers, all other","Homeland Security, law enforcement, firefighting, and protective services"
Food preparation and serving related occupations,Family and consumer sciences
Chefs and head cooks,Personal and culinary services
First-line supervisors/managers of food preparation and serving workers,Family and consumer sciences
"Cooks, fast food",Personal and culinary services
"Cooks, institution and cafeteria",Personal and culinary services
"Cooks, restaurant",Personal and culinary services
"Cooks, short order",Personal and culinary services
Food preparation workers,Family and consumer sciences
Bartenders,Personal and culinary services
"Combined food preparation and serving workers, including fast food",Personal and culinary services
"Counter attendants, cafeteria, food concession, and coffee shop",Personal and culinary services
Waiters and waitresses,Personal and culinary services
"Food servers, nonrestaurant",Personal and culinary services
Dining room and cafeteria attendants and bartender helpers,Personal and culinary services
Dishwashers,Other
"Hosts and hostesses, restaurant, lounge, and coffee shop",Personal and culinary services
Building and grounds cleaning and maintenance occupations,Construction trades
First-line supervisors/managers of housekeeping and janitorial workers,Family and consumer sciences
"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",Agriculture
"Janitors and cleaners, except maids and housekeeping cleaners",Other
Maids and housekeeping cleaners,Family and consumer sciences
Landscaping and groundskeeping workers,Natural resources and conservation
Personal care and service occupations,Family and consumer sciences
First-line supervisors/managers of personal service workers,Family and consumer sciences
Nonfarm animal caretakers,Agriculture
"Ushers, lobby attendants, and ticket takers",Parks and recreation
Amusement and recreation attendants,Parks and recreation
"Entertainment attendants and related workers, all other",Parks and recreation
"Hairdressers, hairstylists, and cosmetologists",Personal and culinary services
Manicurists and pedicurists,Personal and culinary services
Skin care specialists,Family and consumer sciences
Baggage porters and bellhops,Transportation and materials moving
Child care workers,Family and consumer sciences
Personal and home care aides,Family and consumer sciences
Fitness trainers and aerobics instructors,Parks and recreation
"Personal care and service workers, all other",Personal and culinary services
Sales and related occupations,Business/marketing
First-line supervisors/managers of retail sales workers,Business/marketing
First-line supervisors/managers of non-retail sales workers,Business/marketing
Cashiers,Other
Counter and rental clerks,Business/marketing
Parts salespersons,Business/marketing
Retail salespersons,Business/marketing
Advertising sales agents,Business/marketing
Insurance sales agents,Business/marketing
"Securities, commodities, and financial services sales agents",Business/marketing
Travel agents,Business/marketing
"Sales representatives, services, all other",Business/marketing
"Sales representatives, wholesale and manufacturing, technical and scientific products",Business/marketing
"Sales representatives, wholesale and manufacturing, except technical and scientific products",Business/marketing
Demonstrators and product promoters,Business/marketing
Real estate brokers,Business/marketing
Real estate sales agents,Business/marketing
Sales engineers,Engineering
Telemarketers,Business/marketing
"Sales and related workers, all other",Business/marketing
Office and administrative support occupations,Business/marketing
First-line supervisors/managers of office and administrative support workers,Business/marketing
"Switchboard operators, including answering service",Communication technologies
Bill and account collectors,Business/marketing
Billing and posting clerks and machine operators,Business/marketing
"Bookkeeping, accounting, and auditing clerks",Business/marketing
Payroll and timekeeping clerks,Business/marketing
Procurement clerks,Business/marketing
Tellers,Business/marketing
"Court, municipal, and license clerks",Public administration and social services
Customer service representatives,Business/marketing
File clerks,Other
"Hotel, motel, and resort desk clerks",Other
"Library assistants, clerical",Library science
New accounts clerks,Business/marketing
Order clerks,Business/marketing
"Human resources assistants, except payroll and timekeeping",Business/marketing
Receptionists and information clerks,Other
Reservation and transportation ticket agents and travel clerks,Business/marketing
All other information and record clerks,Other
Couriers and messengers,Transportation and materials moving
"Police, fire, and ambulance dispatchers","Homeland Security, law enforcement, firefighting, and protective services"
"Dispatchers, except police, fire, and ambulance",Other
Postal service clerks,Other
Postal service mail carriers,Other
"Postal service mail sorters, processors, and processing machine operators",Other
"Production, planning, and expediting clerks",Precision production
"Shipping, receiving, and traffic clerks",Transportation and materials moving
Stock clerks and order fillers,Other
"Weighers, measurers, checkers, and samplers, recordkeeping",Other
Executive secretaries and administrative assistants,Business/marketing
Legal secretaries,Business/marketing
Medical secretaries,Health professions and related programs
"Secretaries, except legal, medical, and executive",Business/marketing
Computer operators,Computer and information sciences
Data entry keyers,Computer and information sciences
Word processors and typists,Communication technologies
Desktop publishers,Communication/journalism
Insurance claims and policy processing clerks,Business/marketing
"Mail clerks and mail machine operators, except postal service",Other
"Office clerks, general",Other
"Office machine operators, except computer",Precision production
"Farming, fishing, and forestry occupations",Agriculture
Construction and extraction occupations,Construction trades
First-line supervisors/managers of construction trades and extraction workers,Construction trades
Brickmasons and blockmasons,Construction trades
Carpenters,Construction trades
Cement masons and concrete finishers,Construction trades
Construction laborers,Construction trades
Operating engineers and other construction equipment operators,Construction trades
Electricians,Construction trades
"Painters, construction and maintenance",Construction trades
"Plumbers, pipefitters, and steamfitters",Construction trades
Roofers,Construction trades
Sheet metal workers,Construction trades
Structural iron and steel workers,Construction trades
Helpers--carpenters,Construction trades
Construction and building inspectors,Construction trades
Hazardous materials removal workers,Natural resources and conservation
Highway maintenance workers,Construction trades
"Construction and related workers, all other",Construction trades
"Installation, maintenance, and repair occupations",Mechanic and repair technologies
"First-line supervisors/managers of mechanics, installers, and repairers",Mechanic and repair technologies
"Computer, automated teller, and office machine repairers",Mechanic and repair technologies
"Electrical and electronics repairers, commercial and industrial equipment",Engineering
"Electrical and electronics repairers, powerhouse, substation, and relay",Engineering
Automotive body and related repairers,Mechanic and repair technologies
Automotive service technicians and mechanics,Mechanic and repair technologies
Tire repairers and changers,Mechanic and repair technologies
"Heating, air conditioning, and refrigeration mechanics and installers",Construction trades
"Maintenance and repair workers, general",Mechanic and repair technologies
"Maintenance workers, machinery",Mechanic and repair technologies
Electrical power-line installers and repairers,Engineering
Telecommunications line installers and repairers,Engineering technologies
Medical equipment repairers,Mechanic and repair technologies
Musical instrument repairers and tuners,Precision production
"Helpers--installation, maintenance, and repair workers",Mechanic and repair technologies
"Installation, maintenance, and repair workers, all other",Mechanic and repair technologies
Production occupations,Precision production
First-line supervisors/managers of production and operating workers,Precision production
Electrical and electronic equipment assemblers,Precision production
Electromechanical equipment assemblers,Precision production
Structural metal fabricators and fitters,Precision production
Team assemblers,Precision production
Bakers,Personal and culinary services
Butchers and meat cutters,Family and consumer sciences
"Computer-controlled machine tool operators, metal and plastic",Precision production
Numerical tool and process control programmers,Computer and information sciences
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",Precision production
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Precision production
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",Precision production
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",Precision production
"Welders, cutters, solderers, and brazers",Precision production
"Welding, soldering, and brazing machine setters, operators, and tenders",Precision production
"Metal workers and plastic workers, all other",Precision production
Bindery workers,Precision production
Job printers,Precision production
Prepress technicians and workers,Other
Printing machine operators,Precision production
Laundry and dry-cleaning workers,Family and consumer sciences
"Pressers, textile, garment, and related materials",Precision production
"Tailors, dressmakers, and custom sewers",Family and consumer sciences
Cabinetmakers and bench carpenters,Construction trades
"Plant and system operators, all other",Natural resources and conservation
"Mixing and blending machine setters, operators, and tenders",Precision production
"Inspectors, testers, sorters, samplers, and weighers",Precision production
Dental laboratory technicians,Precision production
Ophthalmic laboratory technicians,Precision production
"Coating, painting, and spraying machine setters, operators, and tenders",Precision production
Helpers--production workers,Precision production
"Production workers, all other",Precision production
Transportation and material moving occupations,Mechanic and repair technologies
"First-line supervisors/managers of helpers, laborers, and material movers, hand",Other
First-line supervisors/managers of transportation and material-moving machine and vehicle operators,Transportation and materials moving
"Bus drivers, transit and intercity",Transportation and materials moving
"Bus drivers, school",Transportation and materials moving
Driver/sales workers,Transportation and materials moving
"Truck drivers, heavy and tractor-trailer",Transportation and materials moving
"Truck drivers, light or delivery services",Transportation and materials moving
Taxi drivers and chauffeurs,Transportation and materials moving
Parking lot attendants,Other
"Transportation workers, all other",Transportation and materials moving
Industrial truck and tractor operators,Transportation and materials moving
Cleaners of vehicles and equipment,Mechanic and repair technologies
"Laborers and freight, stock, and material movers, hand",Transportation and materials moving
"Packers and packagers, hand",Precision production
Refuse and recyclable material collectors,Other
"Material moving workers, all other",Transportation and materials moving
Training and development managers,Business/marketing
"Education administrators, postsecondary",Education
Funeral directors,Other
Gaming managers,Business/marketing
Lodging managers,Other
Postmasters and mail superintendents,Business/marketing
"Agents and business managers of artists, performers, and athletes",Visual and performing arts
"Purchasing agents and buyers, farm products",Agriculture
"Wholesale and retail buyers, except farm products",Business/marketing
"Insurance appraisers, auto damage",Other
Emergency management specialists,"Homeland Security, law enforcement, firefighting, and protective services"
Budget analysts,Business/marketing
Financial examiners,Business/marketing
Loan counselors,Business/marketing
"Tax examiners, collectors, and revenue agents",Business/marketing
"Financial specialists, all other",Business/marketing
Actuaries,Mathematics and statistics
Statisticians,Mathematics and statistics
"Mathematical scientists, all other",Mathematics and statistics
Cartographers and photogrammetrists,Other
Aerospace engineers,Engineering
Agricultural engineers,Engineering
Materials engineers,Engineering
"Mining and geological engineers, including mining safety engineers",Engineering
Nuclear engineers,Engineering
Petroleum engineers,Engineering
"Drafters, all other",Engineering technologies
Aerospace engineering and operations technicians,Engineering
Electro-mechanical technicians,Engineering technologies
"Life, physical, and social science occupations",Physical sciences
Food scientists and technologists,Family and consumer sciences
Soil and plant scientists,Natural resources and conservation
Biochemists and biophysicists,Biological/life sciences
Microbiologists,Biological/life sciences
"Biological scientists, all other",Biological/life sciences
Conservation scientists,Natural resources and conservation
Epidemiologists,Biological/life sciences
"Medical scientists, except epidemiologists",Biological/life sciences
"Life scientists, all other",Biological/life sciences
Physicists,Physical sciences
"Geoscientists, except hydrologists and geographers",Physical sciences
Hydrologists,Natural resources and conservation
Economists,Other
Survey researchers,Social sciences
Anthropologists and archeologists,Social sciences
"Social scientists and related workers, all other",Social sciences
Agricultural and food science technicians,Natural resources and conservation
Biological technicians,Biological/life sciences
Geological and petroleum technicians,Natural resources and conservation
Social science research assistants,Social sciences
Forensic science technicians,Biological/life sciences
Forest and conservation technicians,Natural resources and conservation
"Life, physical, and social science technicians, all other",Biological/life sciences
Substance abuse and behavioral disorder counselors,Public administration and social services
Marriage and family therapists,Family and consumer sciences
"Counselors, all other",Other
"Directors, religious activities and education",Theology and religious vocations
"Religious workers, all other",Theology and religious vocations
"Administrative law judges, adjudicators, and hearing officers",Law/legal studies
"Arbitrators, mediators, and conciliators",Law/legal studies
Law clerks,Law/legal studies
"Title examiners, abstractors, and searchers",Other
"Legal support workers, all other",Law/legal studies
"Computer science teachers, postsecondary",Computer and information sciences
"Architecture teachers, postsecondary",Architecture
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",Physical sciences
"Chemistry teachers, postsecondary",Physical sciences
"Environmental science teachers, postsecondary",Natural resources and conservation
"Anthropology and archeology teachers, postsecondary",Social sciences
"Area, ethnic, and cultural studies teachers, postsecondary","Area, ethnic, and gender studies"
"Economics teachers, postsecondary",Other
"Geography teachers, postsecondary",Other
"Political science teachers, postsecondary",Social sciences
"Psychology teachers, postsecondary",Psychology
"Sociology teachers, postsecondary",Social sciences
"Social sciences teachers, postsecondary, all other",Social sciences
"Health specialties teachers, postsecondary",Health professions and related programs
"Library science teachers, postsecondary",Library science
"Criminal justice and law enforcement teachers, postsecondary","Homeland Security, law enforcement, firefighting, and protective services"
"Law teachers, postsecondary",Law/legal studies
"Art, drama, and music teachers, postsecondary",Visual and performing arts
"Foreign language and literature teachers, postsecondary","Foreign languages, literatures, and linguistics"
"History teachers, postsecondary",History
"Philosophy and religion teachers, postsecondary",Philosophy and religious studies
Graduate teaching assistants,Education
"Home economics teachers, postsecondary",Family and consumer sciences
"Recreation and fitness studies teachers, postsecondary",Parks and recreation
"Vocational education teachers, postsecondary",Education
"Postsecondary teachers, all other",Education
"Vocational education teachers, middle school",Education
"Special education teachers, middle school",Education
"Adult literacy, remedial education, and GED teachers and instructors",Education
"Teachers and instructors, all other",Education
Archivists,Library science
Curators,Other
Museum technicians and conservators,Other
Library technicians,Library science
Audio-visual collections specialists,Library science
Farm and home management advisors,Family and consumer sciences
Craft artists,Visual and performing arts
"Fine artists, including painters, sculptors, and illustrators",Visual and performing arts
Multi-media artists and animators,Visual and performing arts
"Artists and related workers, all other",Visual and performing arts
Fashion designers,Visual and performing arts
Merchandise displayers and window trimmers,Visual and performing arts
Set and exhibit designers,Visual and performing arts
"Designers, all other",Visual and performing arts
Actors,Visual and performing arts
Athletes and sports competitors,Parks and recreation
"Umpires, referees, and other sports officials",Parks and recreation
Dancers,Visual and performing arts
Choreographers,Visual and performing arts
Music directors and composers,Visual and performing arts
"Entertainers and performers, sports and related workers, all other",Visual and performing arts
Radio and television announcers,Communication/journalism
Public address system and other announcers,Communication/journalism
Broadcast news analysts,Communication/journalism
Audio and video equipment technicians,Communication technologies
Sound engineering technicians,Communication technologies
"Camera operators, television, video, and motion picture",Visual and performing arts
Film and video editors,Visual and performing arts
"Media and communication equipment workers, all other",Communication/journalism
Chiropractors,Health professions and related programs
Oral and maxillofacial surgeons,Health professions and related programs
Orthodontists,Health professions and related programs
"Dentists, all other specialists",Health professions and related programs
Anesthesiologists,Health professions and related programs
Obstetricians and gynecologists,Health professions and related programs
"Pediatricians, general",Health professions and related programs
Psychiatrists,Health professions and related programs
Podiatrists,Health professions and related programs
Audiologists,Health professions and related programs
Radiation therapists,Health professions and related programs
Respiratory therapists,Health professions and related programs
"Therapists, all other",Health professions and related programs
Medical and clinical laboratory technologists,Health professions and related programs
Medical and clinical laboratory technicians,Health professions and related programs
Diagnostic medical sonographers,Health professions and related programs
Dietetic technicians,Family and consumer sciences
Psychiatric technicians,Health professions and related programs
Respiratory therapy technicians,Health professions and related programs
Veterinary technologists and technicians,Biological/life sciences
Orthotists and prosthetists,Health professions and related programs
"Health technologists and technicians, all other",Health professions and related programs
Occupational health and safety technicians,Health professions and related programs
Athletic trainers,Health professions and related programs
Psychiatric aides,Health professions and related programs
Occupational therapist aides,Health professions and related programs
Physical therapist aides,Health professions and related programs
Massage therapists,Personal and culinary services
First-line supervisors/managers of correctional officers,"Homeland Security, law enforcement, firefighting, and protective services"
Parking enforcement workers,"Homeland Security, law enforcement, firefighting, and protective services"
Police and sheriff's patrol officers,"Homeland Security, law enforcement, firefighting, and protective services"
Transit and railroad police,"Homeland Security, law enforcement, firefighting, and protective services"
"Cooks, all other",Personal and culinary services
"Food preparation and serving related workers, all other",Personal and culinary services
"Building cleaning workers, all other",Construction trades
Pest control workers,Agriculture
"Pesticide handlers, sprayers, and applicators, vegetation",Agriculture
Tree trimmers and pruners,Natural resources and conservation
"Grounds maintenance workers, all other",Parks and recreation
Gaming supervisors,Business/marketing
Animal trainers,Other
Gaming dealers,Other
Gaming and sports book writers and runners,Business/marketing
"Gaming service workers, all other",Other
Motion picture projectionists,Other
Costume attendants,Visual and performing arts
"Locker room, coatroom, and dressing room attendants",Personal and culinary services
Embalmers,Other
Funeral attendants,Other
Barbers,Personal and culinary services
"Makeup artists, theatrical and performance",Visual and performing arts
Shampooers,Personal and culinary services
Concierges,Other
Tour guides and escorts,Parks and recreation
Travel guides,Parks and recreation
Flight attendants,Other
"Transportation attendants, except flight attendants and baggage porters",Transportation and materials moving
Recreation workers,Parks and recreation
Residential advisors,Public administration and social services
Gaming change persons and booth cashiers,Other
"Door-to-door sales workers, news and street vendors, and related workers",Business/marketing
Telephone operators,Other
"Communications equipment operators, all other",Communication technologies
Brokerage clerks,Business/marketing
Correspondence clerks,Communication/journalism
"Credit authorizers, checkers, and clerks",Business/marketing
"Interviewers, except eligibility and loan",Communication/journalism
Loan interviewers and clerks,Business/marketing
Cargo and freight agents,Transportation and materials moving
Proofreaders and copy markers,English
Statistical assistants,Mathematics and statistics
"Office and administrative support workers, all other",Business/marketing
"First-line supervisors/managers of farming, fishing, and forestry workers",Agriculture
"Graders and sorters, agricultural products",Agriculture
"Farmworkers and laborers, crop, nursery, and greenhouse",Agriculture
"Farmworkers, farm and ranch animals",Agriculture
"Agricultural workers, all other",Natural resources and conservation
Boilermakers,Construction trades
Stonemasons,Construction trades
Carpet installers,Construction trades
"Floor layers, except carpet, wood, and hard tiles",Construction trades
Floor sanders and finishers,Construction trades
Tile and marble setters,Construction trades
Terrazzo workers and finishers,Construction trades
"Paving, surfacing, and tamping equipment operators",Construction trades
Pile-driver operators,Construction trades
Drywall and ceiling tile installers,Construction trades
Tapers,Construction trades
Glaziers,Construction trades
"Insulation workers, floor, ceiling, and wall",Construction trades
"Insulation workers, mechanical",Construction trades
Pipelayers,Construction trades
Plasterers and stucco masons,Construction trades
Reinforcing iron and rebar workers,Construction trades
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",Construction trades
Helpers--electricians,Construction trades
"Helpers--painters, paperhangers, plasterers, and stucco masons",Construction trades
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",Construction trades
Helpers--roofers,Construction trades
"Helpers, construction trades, all other",Construction trades
Elevator installers and repairers,Construction trades
Fence erectors,Construction trades
Rail-track laying and maintenance equipment operators,Construction trades
Septic tank servicers and sewer pipe cleaners,Construction trades
"Rotary drill operators, oil and gas",Natural resources and conservation
"Service unit operators, oil, gas, and mining",Natural resources and conservation
"Earth drillers, except oil and gas",Construction trades
"Roustabouts, oil and gas",Natural resources and conservation
Helpers--extraction workers,Natural resources and conservation
"Extraction workers, all other",Natural resources and conservation
Radio mechanics,Mechanic and repair technologies
"Telecommunications equipment installers and repairers, except line installers",Engineering technologies
Avionics technicians,Engineering technologies
"Electric motor, power tool, and related repairers",Mechanic and repair technologies
"Electrical and electronics installers and repairers, transportation equipment",Engineering
"Electronic equipment installers and repairers, motor vehicles",Mechanic and repair technologies
Electronic home entertainment equipment installers and repairers,Mechanic and repair technologies
Security and fire alarm systems installers,Construction trades
Aircraft mechanics and service technicians,Mechanic and repair technologies
Automotive glass installers and repairers,Mechanic and repair technologies
Bus and truck mechanics and diesel engine specialists,Mechanic and repair technologies
Farm equipment mechanics,Mechanic and repair technologies
"Mobile heavy equipment mechanics, except engines",Mechanic and repair technologies
Rail car repairers,Mechanic and repair technologies
Motorboat mechanics,Mechanic and repair technologies
Motorcycle mechanics,Mechanic and repair technologies
Outdoor power equipment and other small engine mechanics,Mechanic and repair technologies
Bicycle repairers,Mechanic and repair technologies
Recreational vehicle service technicians,Mechanic and repair technologies
Mechanical door repairers,Mechanic and repair technologies
Home appliance repairers,Mechanic and repair technologies
Industrial machinery mechanics,Mechanic and repair technologies
Millwrights,Construction trades
"Refractory materials repairers, except brickmasons",Construction trades
Camera and photographic equipment repairers,Mechanic and repair technologies
Watch repairers,Precision production
"Precision instrument and equipment repairers, all other",Precision production
"Coin, vending, and amusement machine servicers and repairers",Mechanic and repair technologies
"Fabric menders, except garment",Family and consumer sciences
Locksmiths and safe repairers,Mechanic and repair technologies
Riggers,Construction trades
"Coil winders, tapers, and finishers",Precision production
Engine and other machine assemblers,Precision production
Fiberglass laminators and fabricators,Construction trades
"Timing device assemblers, adjusters, and calibrators",Precision production
"Assemblers and fabricators, all other",Precision production
"Meat, poultry, and fish cutters and trimmers",Other
Slaughterers and meat packers,Agriculture
"Food and tobacco roasting, baking, and drying machine operators and tenders",Family and consumer sciences
Food batchmakers,Family and consumer sciences
Food cooking machine operators and tenders,Personal and culinary services
"Forging machine setters, operators, and tenders, metal and plastic",Precision production
"Rolling machine setters, operators, and tenders, metal and plastic",Precision production
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",Precision production
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",Precision production
"Milling and planing machine setters, operators, and tenders, metal and plastic",Precision production
Machinists,Precision production
Metal-refining furnace operators and tenders,Precision production
"Pourers and casters, metal",Precision production
"Model makers, metal and plastic",Precision production
"Patternmakers, metal and plastic",Precision production
Foundry mold and coremakers,Precision production
"Multiple machine tool setters, operators, and tenders, metal and plastic",Precision production
Tool and die makers,Precision production
"Heat treating equipment setters, operators, and tenders, metal and plastic",Precision production
"Lay-out workers, metal and plastic",Precision production
"Plating and coating machine setters, operators, and tenders, metal and plastic",Precision production
"Tool grinders, filers, and sharpeners",Precision production
Bookbinders,Visual and performing arts
Sewing machine operators,Precision production
Shoe and leather workers and repairers,Precision production
Shoe machine operators and tenders,Precision production
"Sewers, hand",Family and consumer sciences
Textile bleaching and dyeing machine operators and tenders,Precision production
"Textile cutting machine setters, operators, and tenders",Precision production
"Textile knitting and weaving machine setters, operators, and tenders",Precision production
