AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,LOC_QUOTIENT
"Los Angeles-Long Beach-Anaheim, CA","Human resources managers, all other",,3070,4.1,0.568,55.84,116150,1.6,31.78,40.67,52.58,65.92,#,66100,84590,109370,137120,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Industrial production managers,,7300,2.8,1.354,46.16,96010,1.7,25.19,32.27,42.06,54.53,71.69,52400,67120,87480,113420,149120,,,
"Los Angeles-Long Beach-Anaheim, CA",Purchasing managers,,3090,4.0,0.573,49.73,103430,2.1,29.61,36.82,46.89,59.58,72.90,61580,76580,97540,123930,151620,,,
"Los Angeles-Long Beach-Anaheim, CA","Transportation, storage, and distribution managers",,4100,3.9,0.760,41.01,85300,1.5,24.47,31.87,39.39,49.10,59.82,50900,66290,81930,102130,124430,,,
"Los Angeles-Long Beach-Anaheim, CA","Farm, ranch, and other agricultural managers",,50,40.7,0.010,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
"Los Angeles-Long Beach-Anaheim, CA",Construction managers,,7670,7.1,1.421,53.20,110650,2.4,30.58,39.10,49.92,63.66,79.90,63610,81320,103840,132420,166200,,,
"Los Angeles-Long Beach-Anaheim, CA","Education administrators, preschool and child care center/program",,2460,11.0,0.456,27.94,58110,7.1,12.94,15.01,20.85,36.00,52.84,26920,31210,43370,74870,109900,,,
"Los Angeles-Long Beach-Anaheim, CA","Education administrators, elementary and secondary school",,6470,2.8,1.199,*,106310,2.5,*,*,*,*,*,72160,93360,110490,124470,134400,True,,
"Los Angeles-Long Beach-Anaheim, CA","Education administrators, postsecondary",,4060,5.7,0.753,48.91,101730,1.9,26.05,34.50,45.78,60.31,74.56,54180,71760,95210,125450,155090,,,
"Los Angeles-Long Beach-Anaheim, CA","Education administrators, all other",,1640,9.4,0.303,41.29,85880,3.6,20.49,27.61,38.22,53.09,64.90,42620,57420,79490,110420,135000,,,
"Los Angeles-Long Beach-Anaheim, CA",Engineering managers,,11180,3.8,2.072,66.97,139290,2.5,41.68,52.43,64.21,78.03,#,86700,109060,133560,162300,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Food service managers,,11580,4.8,2.145,24.94,51870,1.6,17.03,19.94,23.44,28.68,35.27,35430,41480,48760,59660,73360,,,
"Los Angeles-Long Beach-Anaheim, CA",Funeral directors,,400,15.5,0.075,27.24,56650,4.3,15.78,18.30,27.14,35.10,40.96,32810,38060,56460,73010,85190,,,
"Los Angeles-Long Beach-Anaheim, CA",Gaming managers,,60,35.6,0.012,43.42,90320,5.4,26.11,30.68,40.64,53.76,61.28,54310,63810,84530,111820,127460,,,
"Los Angeles-Long Beach-Anaheim, CA",Lodging managers,,1080,11.6,0.200,29.69,61760,2.5,18.07,21.92,25.70,34.18,45.73,37590,45600,53460,71100,95110,,,
"Los Angeles-Long Beach-Anaheim, CA",Medical and health services managers,,9240,3.8,1.713,47.79,99400,1.9,23.99,32.96,45.15,58.94,73.58,49910,68550,93910,122600,153040,,,
"Los Angeles-Long Beach-Anaheim, CA",Natural sciences managers,,**,**,**,64.96,135130,3.9,37.62,46.24,57.77,76.02,#,78250,96180,120170,158110,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Postmasters and mail superintendents,,110,0.0,0.020,42.58,88570,2.1,35.34,38.42,42.09,48.87,49.10,73510,79910,87540,101660,102130,,,
"Los Angeles-Long Beach-Anaheim, CA","Property, real estate, and community association managers",,13270,6.3,2.460,27.36,56900,3.8,8.92,13.13,22.59,34.23,51.89,18550,27320,46990,71200,107940,,,
"Los Angeles-Long Beach-Anaheim, CA",Social and community service managers,,4770,5.5,0.884,34.32,71390,4.2,19.84,24.81,32.57,41.34,53.38,41270,51610,67740,85990,111030,,,
"Los Angeles-Long Beach-Anaheim, CA","Managers, all other",,22510,11.8,4.172,57.32,119230,4.6,28.85,38.30,52.93,68.77,#,60020,79660,110100,143030,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Business and financial operations occupations,major,286160,1.8,53.039,33.88,70470,0.8,17.56,22.76,30.43,40.37,53.11,36510,47340,63290,83980,110470,,,
"Los Angeles-Long Beach-Anaheim, CA","Agents and business managers of artists, performers, and athletes",,3120,7.5,0.578,56.12,116730,16.2,13.38,22.45,38.42,#,#,27830,46700,79920,#,#,,,
"Los Angeles-Long Beach-Anaheim, CA","Purchasing agents and buyers, farm products",,360,22.4,0.067,36.16,75210,18.1,17.93,22.45,28.84,39.57,58.98,37300,46690,59980,82300,122680,,,
"Los Angeles-Long Beach-Anaheim, CA","Wholesale and retail buyers, except farm products",,6410,6.2,1.189,25.19,52380,1.9,14.58,18.09,23.00,29.81,39.15,30330,37630,47840,62000,81430,,,
"Los Angeles-Long Beach-Anaheim, CA","Purchasing agents, except wholesale, retail, and farm products",,12920,2.4,2.395,29.86,62120,1.0,17.98,22.20,28.65,36.60,44.64,37390,46180,59590,76130,92860,,,
"Los Angeles-Long Beach-Anaheim, CA","Claims adjusters, examiners, and investigators",,12960,5.7,2.401,29.25,60840,1.6,17.71,22.28,29.42,35.89,41.18,36850,46340,61180,74650,85650,,,
"Los Angeles-Long Beach-Anaheim, CA","Insurance appraisers, auto damage",,400,21.6,0.073,26.72,55580,3.4,15.95,21.58,26.83,32.21,37.43,33180,44890,55800,66990,77860,,,
"Los Angeles-Long Beach-Anaheim, CA","Compliance officers, except agriculture, construction, health and safety, and transportation",,11820,1.5,2.191,28.03,58300,3.7,15.38,18.26,25.81,35.15,43.34,31990,37980,53670,73100,90140,,,
"Los Angeles-Long Beach-Anaheim, CA",Cost estimators,,7670,5.3,1.421,31.98,66510,2.6,15.73,22.46,30.65,40.74,49.71,32720,46720,63750,84740,103410,,,
"Los Angeles-Long Beach-Anaheim, CA",Emergency management specialists,,200,5.9,0.036,38.79,80680,2.2,23.53,31.12,38.35,47.30,55.34,48950,64730,79770,98380,115100,,,
"Los Angeles-Long Beach-Anaheim, CA","Employment, recruitment, and placement specialists",,6640,5.8,1.231,28.22,58700,3.3,14.41,18.64,24.96,35.38,46.97,29970,38780,51910,73590,97710,,,
"Los Angeles-Long Beach-Anaheim, CA","Compensation, benefits, and job analysis specialists",,3910,4.2,0.724,29.70,61770,1.0,19.83,23.73,28.90,34.60,41.29,41240,49370,60120,71970,85890,,,
"Los Angeles-Long Beach-Anaheim, CA",Training and development specialists,,6450,6.2,1.196,31.41,65320,4.9,17.55,23.00,29.34,37.33,45.03,36510,47840,61020,77640,93670,,,
"Los Angeles-Long Beach-Anaheim, CA","Human resources, training, and labor relations specialists, all other",,10030,6.5,1.859,31.64,65810,2.2,19.54,24.20,30.16,37.58,47.47,40650,50340,62730,78160,98730,,,
"Los Angeles-Long Beach-Anaheim, CA",Logisticians,,4160,6.1,0.772,34.23,71200,1.5,21.73,26.92,33.34,40.91,49.73,45200,55990,69350,85090,103450,,,
"Los Angeles-Long Beach-Anaheim, CA",Management analysts,,28170,5.2,5.221,41.11,85510,2.9,21.21,27.07,36.25,49.52,64.20,44120,56310,75400,103010,133540,,,
"Los Angeles-Long Beach-Anaheim, CA",Meeting and convention planners,,2190,9.4,0.406,23.98,49870,2.4,15.09,17.90,22.54,28.74,35.04,31390,37230,46880,59780,72890,,,
"Los Angeles-Long Beach-Anaheim, CA","Business operations specialists, all other",,55450,3.7,10.278,33.46,69610,1.7,16.52,21.78,30.24,42.66,55.56,34370,45300,62900,88730,115560,,,
"Los Angeles-Long Beach-Anaheim, CA",Accountants and auditors,,49260,5.2,9.131,33.98,70680,1.4,19.21,23.99,30.65,39.40,51.21,39960,49900,63760,81960,106530,,,
"Los Angeles-Long Beach-Anaheim, CA",Appraisers and assessors of real estate,,1850,10.6,0.342,40.23,83670,16.0,19.24,28.42,37.02,44.25,55.95,40010,59100,77000,92040,116370,,,
"Los Angeles-Long Beach-Anaheim, CA",Budget analysts,,4020,6.4,0.745,37.23,77440,1.1,24.40,29.62,36.89,45.09,52.09,50750,61600,76740,93780,108340,,,
"Los Angeles-Long Beach-Anaheim, CA",Credit analysts,,3500,6.6,0.649,30.92,64320,2.3,17.53,21.39,27.86,37.06,51.08,36460,44490,57960,77080,106250,,,
"Los Angeles-Long Beach-Anaheim, CA",Financial analysts,,11730,7.2,2.173,44.09,91700,4.0,23.13,28.23,36.10,50.66,76.08,48100,58720,75090,105370,158250,,,
"Los Angeles-Long Beach-Anaheim, CA",Personal financial advisors,,6970,8.4,1.292,39.59,82340,6.0,16.37,20.62,28.67,47.82,#,34050,42880,59640,99460,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Insurance underwriters,,3570,8.9,0.662,33.68,70050,2.6,18.39,23.67,31.97,42.51,50.86,38250,49240,66500,88410,105780,,,
"Los Angeles-Long Beach-Anaheim, CA",Financial examiners,,**,**,**,36.42,75760,3.9,19.11,24.97,32.40,44.73,60.12,39750,51940,67390,93040,125050,,,
"Los Angeles-Long Beach-Anaheim, CA",Loan counselors,,1390,6.5,0.257,21.25,44210,2.2,14.14,16.75,19.57,24.30,30.50,29420,34840,40710,50530,63440,,,
"Los Angeles-Long Beach-Anaheim, CA",Loan officers,,13880,6.5,2.572,35.38,73590,2.7,16.86,22.97,31.15,41.32,58.16,35070,47770,64800,85940,120980,,,
"Los Angeles-Long Beach-Anaheim, CA","Tax examiners, collectors, and revenue agents",,**,**,**,34.61,71980,1.6,20.08,24.90,33.70,44.77,51.54,41780,51800,70090,93130,107200,,,
"Los Angeles-Long Beach-Anaheim, CA",Tax preparers,,3150,42.4,0.583,25.08,52170,6.1,10.71,15.47,23.80,33.64,39.84,22280,32170,49500,69960,82860,,,
"Los Angeles-Long Beach-Anaheim, CA","Financial specialists, all other",,10410,10.1,1.929,29.56,61480,2.3,17.78,21.20,26.60,35.87,45.69,36970,44100,55330,74620,95040,,,
"Los Angeles-Long Beach-Anaheim, CA",Computer and mathematical science occupations,major,126160,2.6,23.383,38.29,79640,1.2,19.50,26.94,36.94,48.51,60.26,40560,56040,76830,100900,125330,,,
"Los Angeles-Long Beach-Anaheim, CA","Computer and information scientists, research",,710,27.0,0.132,63.40,131880,3.9,41.08,51.78,60.56,72.22,#,85440,107690,125970,150210,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Computer programmers,,10490,5.6,1.944,38.62,80320,1.5,22.94,30.17,38.33,47.37,56.97,47720,62760,79720,98540,118500,,,
"Los Angeles-Long Beach-Anaheim, CA","Computer software engineers, applications",,19040,5.5,3.528,44.37,92280,1.9,26.42,34.24,44.00,53.69,64.58,54950,71220,91510,111680,134330,,,
"Los Angeles-Long Beach-Anaheim, CA","Computer software engineers, systems software",,19940,9.5,3.696,48.18,100210,1.8,30.59,37.66,47.47,58.75,68.50,63630,78330,98750,122190,142490,,,
"Los Angeles-Long Beach-Anaheim, CA",Computer support specialists,,21690,4.5,4.020,23.96,49830,1.1,14.11,17.81,22.83,28.84,35.97,29350,37040,47490,59990,74810,,,
"Los Angeles-Long Beach-Anaheim, CA",Computer systems analysts,,16360,4.7,3.032,38.84,80780,1.3,23.61,30.52,38.03,47.14,55.66,49110,63480,79110,98050,115770,,,
"Los Angeles-Long Beach-Anaheim, CA",Database administrators,,5060,4.2,0.937,41.15,85580,9.3,20.31,26.93,38.28,55.55,69.36,42250,56010,79630,115530,144270,,,
"Los Angeles-Long Beach-Anaheim, CA",Network and computer systems administrators,,12060,4.0,2.235,35.73,74310,0.9,22.27,27.68,34.58,43.21,52.00,46320,57570,71940,89870,108170,,,
"Los Angeles-Long Beach-Anaheim, CA",Network systems and data communications analysts,,8620,5.0,1.598,37.69,78390,1.3,21.76,28.68,36.33,45.81,55.67,45250,59650,75570,95280,115800,,,
"Los Angeles-Long Beach-Anaheim, CA","Computer specialists, all other",,9290,14.3,1.723,37.03,77020,1.9,19.63,27.16,36.15,46.78,56.88,40840,56480,75190,97300,118300,,,
"Los Angeles-Long Beach-Anaheim, CA",Actuaries,,310,14.9,0.057,50.39,104810,5.5,25.02,31.77,43.71,62.73,#,52050,66080,90920,130470,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Operations research analysts,,1430,15.7,0.265,37.67,78360,3.2,22.44,28.95,36.61,44.80,54.80,46670,60220,76150,93180,113980,,,
"Los Angeles-Long Beach-Anaheim, CA",Statisticians,,490,16.4,0.090,37.45,77900,3.0,22.74,27.22,35.27,46.52,57.75,47310,56620,73350,96770,120110,,,
"Los Angeles-Long Beach-Anaheim, CA","Mathematical scientists, all other",,610,34.9,0.113,36.85,76650,18.5,19.17,22.31,25.64,36.92,#,39870,46410,53330,76790,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Architecture and engineering occupations,major,108440,3.6,20.099,40.52,84290,1.5,21.54,28.88,38.83,50.78,63.26,44810,60070,80760,105620,131570,,,
"Los Angeles-Long Beach-Anaheim, CA","Architects, except landscape and naval",,4090,9.7,0.757,45.51,94650,4.1,25.54,30.63,39.24,52.84,77.82,53120,63710,81630,109900,161860,,,
"Los Angeles-Long Beach-Anaheim, CA",Landscape architects,,1050,40.7,0.194,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
"Los Angeles-Long Beach-Anaheim, CA",Cartographers and photogrammetrists,,160,25.6,0.030,26.59,55310,5.0,15.97,18.30,25.61,33.60,39.74,33210,38070,53280,69900,82650,,,
"Los Angeles-Long Beach-Anaheim, CA",Surveyors,,1740,14.1,0.322,38.06,79160,3.4,22.42,32.65,38.12,44.09,52.58,46620,67900,79280,91700,109370,,,
"Los Angeles-Long Beach-Anaheim, CA",Aerospace engineers,,7160,11.4,1.327,53.47,111210,3.8,34.66,42.85,52.50,63.89,76.34,72100,89130,109190,132890,158780,,,
"Los Angeles-Long Beach-Anaheim, CA",Biomedical engineers,,640,27.4,0.118,41.61,86550,1.9,29.32,34.57,41.28,48.34,56.76,60980,71910,85850,100550,118060,,,
"Los Angeles-Long Beach-Anaheim, CA",Chemical engineers,,470,15.0,0.088,44.52,92610,2.1,31.74,37.37,44.15,51.90,62.44,66010,77720,91840,107950,129880,,,
"Los Angeles-Long Beach-Anaheim, CA",Civil engineers,,12330,4.6,2.285,43.67,90840,1.6,28.05,33.76,43.05,52.86,61.77,58350,70220,89540,109950,128490,,,
"Los Angeles-Long Beach-Anaheim, CA",Computer hardware engineers,,2730,12.3,0.505,50.76,105580,2.2,30.69,40.06,49.87,62.73,74.54,63830,83320,103730,130480,155050,,,
"Los Angeles-Long Beach-Anaheim, CA",Electrical engineers,,5570,7.0,1.032,43.08,89610,2.2,26.34,32.59,42.64,52.27,63.29,54790,67780,88700,108720,131630,,,
"Los Angeles-Long Beach-Anaheim, CA","Electronics engineers, except computer",,8820,6.5,1.635,47.38,98540,1.7,29.54,36.60,45.82,57.48,69.00,61440,76140,95300,119560,143520,,,
"Los Angeles-Long Beach-Anaheim, CA",Environmental engineers,,1750,15.1,0.325,37.81,78650,2.5,23.58,28.19,35.79,46.10,55.14,49040,58630,74440,95890,114700,,,
"Los Angeles-Long Beach-Anaheim, CA","Health and safety engineers, except mining safety engineers and inspectors",,810,10.4,0.151,40.78,84820,3.1,26.68,34.47,42.08,49.47,54.30,55480,71700,87540,102910,112930,,,
"Los Angeles-Long Beach-Anaheim, CA",Industrial engineers,,8120,8.6,1.505,39.94,83080,2.0,25.63,31.97,39.17,47.89,57.06,53310,66490,81470,99620,118690,,,
"Los Angeles-Long Beach-Anaheim, CA",Materials engineers,,1040,14.2,0.192,47.40,98590,1.9,32.32,38.01,46.31,56.75,65.09,67230,79070,96330,118040,135390,,,
"Los Angeles-Long Beach-Anaheim, CA",Mechanical engineers,,7990,6.3,1.481,42.26,87910,2.2,24.99,32.23,40.87,50.78,62.32,51980,67050,85020,105630,129620,,,
"Los Angeles-Long Beach-Anaheim, CA","Mining and geological engineers, including mining safety engineers",,90,15.3,0.016,46.94,97630,4.8,33.55,39.52,47.78,53.81,58.66,69780,82210,99370,111920,122010,,,
"Los Angeles-Long Beach-Anaheim, CA",Nuclear engineers,,710,41.2,0.132,48.04,99930,3.5,32.80,38.89,47.63,58.15,65.96,68230,80890,99070,120950,137190,,,
"Los Angeles-Long Beach-Anaheim, CA",Petroleum engineers,,**,**,**,55.28,114980,3.0,42.49,48.56,54.68,62.62,72.30,88390,101010,113720,130260,150370,,,
"Los Angeles-Long Beach-Anaheim, CA","Engineers, all other",,15620,15.1,2.895,48.06,99970,1.9,29.67,37.32,47.41,58.84,69.22,61710,77630,98610,122390,143980,,,
"Los Angeles-Long Beach-Anaheim, CA",Architectural and civil drafters,,6410,7.0,1.189,25.75,53560,2.6,15.40,20.28,25.48,31.14,36.62,32030,42170,52990,64770,76180,,,
"Los Angeles-Long Beach-Anaheim, CA",Electrical and electronics drafters,,990,11.9,0.184,26.00,54070,4.1,16.11,18.83,23.88,31.14,38.91,33500,39160,49670,64760,80930,,,
"Los Angeles-Long Beach-Anaheim, CA",Mechanical drafters,,1760,7.1,0.326,25.68,53410,1.9,15.04,19.20,25.09,31.02,37.94,31280,39940,52190,64510,78910,,,
"Los Angeles-Long Beach-Anaheim, CA","Drafters, all other",,1000,9.9,0.186,26.86,55870,2.3,16.48,20.51,26.08,33.27,38.95,34270,42650,54250,69210,81010,,,
"Los Angeles-Long Beach-Anaheim, CA",Aerospace engineering and operations technicians,,760,8.8,0.141,27.82,57860,3.7,19.66,25.28,28.22,30.94,34.37,40890,52570,58700,64360,71490,,,
"Los Angeles-Long Beach-Anaheim, CA",Civil engineering technicians,,2630,9.5,0.487,31.39,65300,1.6,21.25,27.10,32.06,36.18,41.26,44210,56360,66690,75260,85830,,,
"Los Angeles-Long Beach-Anaheim, CA",Electrical and electronic engineering technicians,,5620,10.4,1.041,26.99,56130,1.9,17.10,21.17,25.95,30.96,38.59,35560,44040,53980,64410,80260,,,
"Los Angeles-Long Beach-Anaheim, CA",Electro-mechanical technicians,,680,17.6,0.125,22.57,46940,4.0,14.06,16.64,21.27,27.48,32.84,29250,34610,44240,57150,68300,,,
"Los Angeles-Long Beach-Anaheim, CA",Environmental engineering technicians,,830,20.8,0.154,26.79,55720,6.7,13.07,17.87,26.87,33.06,42.67,27180,37180,55890,68760,88750,,,
"Los Angeles-Long Beach-Anaheim, CA",Industrial engineering technicians,,1920,22.0,0.356,21.67,45070,2.6,13.57,16.50,20.72,25.62,32.30,28230,34320,43090,53290,67180,,,
"Los Angeles-Long Beach-Anaheim, CA",Mechanical engineering technicians,,1250,15.6,0.232,25.13,52270,2.4,16.07,19.39,23.75,28.81,36.12,33420,40340,49390,59920,75130,,,
"Los Angeles-Long Beach-Anaheim, CA","Engineering technicians, except drafters, all other",,2670,9.4,0.494,29.19,60710,3.1,15.85,20.91,28.85,36.71,43.47,32960,43500,60010,76350,90420,,,
"Los Angeles-Long Beach-Anaheim, CA",Surveying and mapping technicians,,830,22.0,0.154,28.82,59950,2.3,18.43,25.23,29.41,33.18,38.34,38330,52490,61180,69010,79750,,,
"Los Angeles-Long Beach-Anaheim, CA","Life, physical, and social science occupations",major,53140,6.9,9.850,33.08,68810,1.4,16.91,22.09,30.60,40.60,52.09,35180,45950,63650,84450,108350,,,
"Los Angeles-Long Beach-Anaheim, CA",Food scientists and technologists,,280,18.6,0.052,32.04,66640,2.2,23.16,26.17,30.57,36.72,43.06,48160,54430,63580,76380,89560,,,
"Los Angeles-Long Beach-Anaheim, CA",Soil and plant scientists,,50,29.2,0.010,27.80,57820,4.1,20.51,23.46,27.29,30.83,34.90,42660,48800,56770,64120,72590,,,
"Los Angeles-Long Beach-Anaheim, CA",Biochemists and biophysicists,,620,15.3,0.114,44.19,91910,6.7,25.91,29.68,37.94,49.83,69.82,53880,61740,78900,103640,145220,,,
"Los Angeles-Long Beach-Anaheim, CA",Microbiologists,,560,14.8,0.104,33.66,70010,2.9,19.19,27.39,33.01,40.43,48.53,39920,56980,68670,84090,100950,,,
"Los Angeles-Long Beach-Anaheim, CA",Zoologists and wildlife biologists,,230,32.4,0.042,33.22,69090,4.2,19.43,24.55,32.15,40.09,50.10,40420,51060,66870,83390,104210,,,
"Los Angeles-Long Beach-Anaheim, CA","Biological scientists, all other",,600,20.2,0.112,33.12,68890,1.9,20.36,26.74,33.23,39.17,44.55,42360,55620,69120,81480,92660,,,
"Los Angeles-Long Beach-Anaheim, CA",Conservation scientists,,130,24.1,0.024,38.04,79120,3.9,26.61,31.39,37.39,43.08,50.77,55350,65300,77770,89600,105600,,,
"Los Angeles-Long Beach-Anaheim, CA",Foresters,,**,**,**,33.16,68970,2.1,22.09,28.09,32.25,39.02,46.89,45940,58420,67080,81170,97530,,,
"Los Angeles-Long Beach-Anaheim, CA",Epidemiologists,,**,**,**,34.02,70750,2.8,26.24,30.15,33.45,37.83,42.83,54570,62720,69570,78690,89080,,,
"Los Angeles-Long Beach-Anaheim, CA","Medical scientists, except epidemiologists",,7120,18.0,1.319,34.29,71330,2.6,20.48,25.05,33.43,41.03,49.66,42590,52110,69540,85350,103290,,,
"Los Angeles-Long Beach-Anaheim, CA","Life scientists, all other",,570,43.3,0.106,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
"Los Angeles-Long Beach-Anaheim, CA",Physicists,,570,25.9,0.106,43.29,90050,4.3,27.68,34.77,42.70,50.92,62.94,57580,72320,88820,105920,130910,,,
"Los Angeles-Long Beach-Anaheim, CA",Atmospheric and space scientists,,60,24.0,0.010,49.56,103090,2.9,42.10,46.63,50.53,54.60,56.93,87570,96980,105110,113560,118420,,,
"Los Angeles-Long Beach-Anaheim, CA",Chemists,,2930,11.5,0.543,33.93,70580,3.0,19.01,24.91,33.74,42.77,49.81,39530,51810,70190,88960,103600,,,
"Los Angeles-Long Beach-Anaheim, CA",Materials scientists,,240,16.4,0.044,45.56,94770,4.2,27.83,35.76,44.50,53.30,63.75,57890,74390,92570,110860,132600,,,
"Los Angeles-Long Beach-Anaheim, CA","Environmental scientists and specialists, including health",,3150,9.7,0.583,38.20,79450,7.7,22.65,28.76,33.93,43.01,54.54,47120,59830,70580,89470,113450,,,
"Los Angeles-Long Beach-Anaheim, CA","Geoscientists, except hydrologists and geographers",,1180,21.1,0.220,39.17,81480,4.8,19.42,27.20,37.83,50.29,60.02,40400,56580,78680,104610,124840,,,
"Los Angeles-Long Beach-Anaheim, CA",Hydrologists,,160,27.5,0.030,46.70,97140,7.0,26.40,32.36,47.58,53.14,73.33,54920,67320,98960,110540,152530,,,
"Los Angeles-Long Beach-Anaheim, CA","Physical scientists, all other",,820,15.3,0.152,41.00,85280,6.7,21.67,25.97,36.47,55.11,70.04,45070,54020,75850,114630,145690,,,
"Los Angeles-Long Beach-Anaheim, CA",Economists,,250,12.9,0.046,52.69,109590,7.5,27.70,36.15,51.53,64.85,77.23,57610,75200,107190,134890,160630,,,
"Los Angeles-Long Beach-Anaheim, CA",Market research analysts,,12970,4.9,2.404,31.44,65400,1.8,16.29,21.01,29.31,38.84,50.45,33880,43700,60950,80790,104930,,,
"Los Angeles-Long Beach-Anaheim, CA",Survey researchers,,790,21.7,0.146,23.47,48820,10.6,9.94,16.14,19.21,24.30,35.19,20680,33560,39970,50550,73200,,,
"Los Angeles-Long Beach-Anaheim, CA","Clinical, counseling, and school psychologists",,5180,8.7,0.960,39.14,81410,4.2,21.95,27.33,35.71,47.05,59.23,45660,56840,74270,97870,123190,,,
"Los Angeles-Long Beach-Anaheim, CA","Psychologists, all other",,**,**,**,43.76,91030,2.8,17.52,33.70,47.77,55.38,63.81,36440,70100,99370,115180,132730,,,
"Los Angeles-Long Beach-Anaheim, CA",Sociologists,,**,**,**,32.59,67790,2.1,24.97,29.43,32.89,36.63,41.41,51930,61210,68410,76200,86140,,,
"Los Angeles-Long Beach-Anaheim, CA",Urban and regional planners,,1990,8.9,0.369,38.18,79410,1.9,23.76,29.52,36.97,46.19,55.24,49420,61410,76900,96070,114900,,,
"Los Angeles-Long Beach-Anaheim, CA",Anthropologists and archeologists,,160,46.0,0.029,32.88,68380,2.3,20.41,25.07,31.95,40.80,48.35,42450,52150,66460,84870,100570,,,
"Los Angeles-Long Beach-Anaheim, CA",Historians,,**,**,**,41.49,86290,4.9,31.66,36.64,43.59,48.67,51.78,65850,76210,90670,101220,107700,,,
"Los Angeles-Long Beach-Anaheim, CA",Political scientists,,340,6.2,0.063,34.01,70750,2.2,21.35,24.07,26.97,41.10,62.25,44410,50070,56100,85480,129470,,,
"Los Angeles-Long Beach-Anaheim, CA","Social scientists and related workers, all other",,730,23.0,0.135,36.31,75530,9.1,24.26,26.76,31.89,42.94,56.03,50460,55670,66330,89320,116540,,,
"Los Angeles-Long Beach-Anaheim, CA",Agricultural and food science technicians,,450,9.3,0.084,18.07,37580,3.0,12.84,15.02,17.48,20.80,23.93,26710,31230,36360,43260,49770,,,
