AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
West Central-Southwest New Hampshire nonmetropolitan area,Fundraisers,detailed,140,3.5,1.405,2.41,32.21,67000,1.3,18.32,23.26,29.2,38.03,46.48,38100,48370,60740,79110,96680,,
West Central-Southwest New Hampshire nonmetropolitan area,"Compensation, Benefits, and Job Analysis Specialists",detailed,50,6.5,0.543,0.87,34.38,71510,2.5,23.48,29.36,30.37,38.71,48.58,48830,61070,63170,80510,101040,,
West Central-Southwest New Hampshire nonmetropolitan area,Training and Development Specialists,detailed,210,5.5,2.21,0.93,30.71,63870,3.1,18.15,23.25,29.2,37.92,47.16,37750,48360,60740,78870,98090,,
West Central-Southwest New Hampshire nonmetropolitan area,Market Research Analysts and Marketing Specialists,detailed,280,7,2.9,0.56,32.78,68170,2.9,18.63,23.1,29.81,38.71,49.36,38740,48060,62010,80510,102660,,
West Central-Southwest New Hampshire nonmetropolitan area,"Business Operations Specialists, All Other",detailed,160,19.2,1.698,0.23,34.68,72130,5.8,20.64,23.25,29.97,40.23,51.68,42920,48360,62340,83680,107490,,
West Central-Southwest New Hampshire nonmetropolitan area,Accountants and Auditors,detailed,790,5.4,8.172,0.87,34.68,72130,2.6,23.31,29.08,30.6,38.31,48.51,48490,60490,63640,79680,100900,,
West Central-Southwest New Hampshire nonmetropolitan area,Financial and Investment Analysts,detailed,120,3.9,1.213,0.59,42.02,87410,1.8,29.45,30.6,38.92,47.07,59.47,61260,63640,80950,97910,123690,,
West Central-Southwest New Hampshire nonmetropolitan area,Personal Financial Advisors,detailed,80,10.5,0.846,0.45,47.84,99500,7.1,14.5,24.82,38.29,49.56,81.13,30150,51630,79650,103080,168750,,
West Central-Southwest New Hampshire nonmetropolitan area,Insurance Underwriters,detailed,70,6.4,0.729,0.95,48.43,100730,1.8,28.81,36.49,48.75,62.19,77.87,59920,75900,101410,129360,161970,,
West Central-Southwest New Hampshire nonmetropolitan area,Credit Counselors,detailed,50,7.1,0.563,2.54,23.16,48180,1.5,17.91,18.18,22.47,23.37,28.95,37250,37820,46730,48600,60220,,
West Central-Southwest New Hampshire nonmetropolitan area,Loan Officers,detailed,110,9.7,1.185,0.49,40.24,83710,4.6,22.43,23.25,35.13,48.73,64.88,46660,48360,73070,101350,134960,,
West Central-Southwest New Hampshire nonmetropolitan area,"Tax Examiners and Collectors, and Revenue Agents",detailed,70,13.8,0.756,2.04,21.17,44030,6.2,13.96,17.67,18.09,23.77,28.89,29030,36750,37620,49450,60100,,
West Central-Southwest New Hampshire nonmetropolitan area,Tax Preparers,detailed,100,13.1,0.982,1.66,21.05,43780,10.3,13.95,14.33,17.67,28.65,30.92,29010,29810,36750,59580,64320,,
West Central-Southwest New Hampshire nonmetropolitan area,Computer and Mathematical Occupations,major,2260,2.9,23.303,0.71,42.13,87620,2.1,23.12,29.55,38.19,49.31,62.82,48100,61460,79440,102570,130670,,
West Central-Southwest New Hampshire nonmetropolitan area,Computer Systems Analysts,detailed,320,6.6,3.283,0.92,42.79,89010,3,28.93,30.05,38.01,48.56,62.14,60170,62510,79050,101000,129240,,
West Central-Southwest New Hampshire nonmetropolitan area,Information Security Analysts,detailed,40,9.8,0.363,0.33,47.62,99040,2.5,29.58,38.01,46.64,62.14,63.12,61520,79050,97010,129240,131300,,
West Central-Southwest New Hampshire nonmetropolitan area,Computer Network Support Specialists,detailed,60,33.4,0.596,0.48,34.19,71120,7.3,21.52,23.55,38.19,38.19,39.95,44760,48970,79440,79440,83090,,
West Central-Southwest New Hampshire nonmetropolitan area,Computer User Support Specialists,detailed,380,13,3.959,0.85,27.82,57870,5,18.03,22.76,28.58,29.82,37.22,37490,47330,59440,62030,77410,,
West Central-Southwest New Hampshire nonmetropolitan area,Computer Network Architects,detailed,40,14,0.425,0.35,53.54,111360,6,36.52,38.99,49.8,63.07,72.39,75950,81110,103580,131180,150560,,
West Central-Southwest New Hampshire nonmetropolitan area,Database Administrators,detailed,50,3.1,0.466,0.76,45.75,95160,1.2,29.48,30.05,47.27,59.71,62.14,61330,62510,98320,124200,129240,,
West Central-Southwest New Hampshire nonmetropolitan area,Network and Computer Systems Administrators,detailed,230,4,2.346,1.04,41.1,85500,2,29.11,30.27,37.86,47.27,49.18,60550,62970,78740,98320,102300,,
West Central-Southwest New Hampshire nonmetropolitan area,Computer Programmers,detailed,120,7.7,1.229,1.13,39.83,82840,17.8,23.41,29.48,38.01,47.62,59.08,48690,61320,79050,99040,122890,,
West Central-Southwest New Hampshire nonmetropolitan area,Software Developers,detailed,650,4.9,6.714,0.69,51.39,106890,1.2,30.46,38.65,49.34,61.76,66.43,63350,80380,102630,128450,138170,,
West Central-Southwest New Hampshire nonmetropolitan area,Software Quality Assurance Analysts and Testers,detailed,70,9.3,0.716,0.53,43.19,89840,4.1,17.81,28.17,37.32,49.08,80.54,37050,58590,77620,102090,167520,,
West Central-Southwest New Hampshire nonmetropolitan area,Web Developers,detailed,40,10.2,0.456,0.76,37.98,78990,6.1,22.82,28.92,37.86,48.22,57.01,47470,60160,78740,100290,118570,,
West Central-Southwest New Hampshire nonmetropolitan area,Web and Digital Interface Designers,detailed,30,14.1,0.351,0.6,33.15,68940,7.8,17.91,22.9,29.48,37.86,46.86,37240,47630,61320,78740,97470,,
West Central-Southwest New Hampshire nonmetropolitan area,"Computer Occupations, All Other",detailed,60,11.8,0.621,0.24,38.1,79240,6.4,14.67,23.41,36.01,49.18,57.58,30520,48690,74900,102300,119770,,
West Central-Southwest New Hampshire nonmetropolitan area,Operations Research Analysts,detailed,60,8.5,0.643,0.92,39.4,81960,2.6,28.17,29.48,37.09,48.56,60.54,58590,61320,77150,101000,125910,,
West Central-Southwest New Hampshire nonmetropolitan area,Data Scientists,detailed,40,17,0.418,0.56,43.18,89810,4.1,29.17,30.36,41.06,57.93,60.77,60680,63160,85400,120500,126400,,
West Central-Southwest New Hampshire nonmetropolitan area,Architecture and Engineering Occupations,major,1640,3.7,16.937,0.98,39.4,81950,1.4,22.95,28.95,36.85,47.62,59.32,47740,60220,76650,99040,123380,,
West Central-Southwest New Hampshire nonmetropolitan area,"Architects, Except Landscape and Naval",detailed,40,20.3,0.367,0.51,42.25,87880,20.5,23.06,23.06,29.28,38.38,77.33,47960,47960,60910,79820,160850,,
West Central-Southwest New Hampshire nonmetropolitan area,Cartographers and Photogrammetrists,detailed,30,35.9,0.329,3.67,22.66,47120,13.9,13.95,18.23,23.11,23.11,29.11,29010,37930,48080,48080,60550,,
West Central-Southwest New Hampshire nonmetropolitan area,Civil Engineers,detailed,90,16.7,0.957,0.44,43.94,91390,11.8,27.95,32.11,37.88,48.38,65.43,58140,66790,78800,100640,136090,,
West Central-Southwest New Hampshire nonmetropolitan area,Electrical Engineers,detailed,130,7.3,1.359,1.03,47.9,99630,2.5,30.18,37.09,47.62,59.46,62.79,62770,77140,99040,123670,130600,,
West Central-Southwest New Hampshire nonmetropolitan area,Industrial Engineers,detailed,350,4.5,3.569,1.71,43.31,90080,1.3,29.28,36.85,38.38,48.79,58.96,60900,76650,79820,101470,122650,,
West Central-Southwest New Hampshire nonmetropolitan area,Mechanical Engineers,detailed,330,7.3,3.417,1.73,46.32,96350,1.5,29.98,37.26,46.46,51.66,62.4,62360,77500,96640,107450,129800,,
West Central-Southwest New Hampshire nonmetropolitan area,"Engineers, All Other",detailed,60,27.1,0.577,0.54,44.3,92140,6.9,23.54,31.66,41.67,56.36,62.79,48960,65850,86680,117240,130600,,
West Central-Southwest New Hampshire nonmetropolitan area,Architectural and Civil Drafters,detailed,110,15.9,1.09,1.52,28.09,58430,7.3,19.41,22.65,23.32,29.6,46.94,40370,47120,48510,61570,97630,,
West Central-Southwest New Hampshire nonmetropolitan area,Electrical and Electronic Engineering Technologists and Technicians,detailed,60,12.1,0.571,0.79,28.97,60250,1.2,17.9,22.95,29.67,36.44,37.84,37230,47740,61710,75800,78700,,
West Central-Southwest New Hampshire nonmetropolitan area,Industrial Engineering Technologists and Technicians,detailed,140,5.9,1.469,3.34,28.75,59810,0.9,22.95,23.4,28.95,29.22,36.44,47740,48670,60220,60770,75800,,
West Central-Southwest New Hampshire nonmetropolitan area,Mechanical Engineering Technologists and Technicians,detailed,80,11.6,0.86,3.02,30.11,62630,1.8,23.21,28.9,28.95,36.44,36.83,48280,60110,60220,75800,76600,,
West Central-Southwest New Hampshire nonmetropolitan area,"Life, Physical, and Social Science Occupations",major,1160,4.2,11.964,1.32,35.15,73120,1.5,18.54,23.6,30.03,40.4,59.32,38560,49090,62460,84030,123390,,
West Central-Southwest New Hampshire nonmetropolitan area,Biochemists and Biophysicists,detailed,**,**,**,**,47.01,97780,5.4,28.56,38.93,49.71,60.63,63.8,59400,80980,103400,126110,132700,,
West Central-Southwest New Hampshire nonmetropolitan area,Microbiologists,detailed,50,11.8,0.562,4.07,36.74,76420,5.7,29.94,30,30,38.19,47.58,62260,62410,62410,79440,98970,,
West Central-Southwest New Hampshire nonmetropolitan area,"Biological Scientists, All Other",detailed,30,7.5,0.32,0.96,36.6,76130,4.5,21.46,25.68,37.25,43.46,47.99,44630,53410,77480,90400,99830,,
West Central-Southwest New Hampshire nonmetropolitan area,"Medical Scientists, Except Epidemiologists",detailed,190,11.9,1.922,2.49,42.41,88220,2.4,30.03,37.89,38.35,47.99,49,62460,78810,79760,99830,101920,,
West Central-Southwest New Hampshire nonmetropolitan area,School Psychologists,detailed,50,13.7,0.477,1.18,33.96,70640,2.7,23.45,29.09,29.84,37.92,45.05,48770,60500,62070,78870,93710,,
West Central-Southwest New Hampshire nonmetropolitan area,Urban and Regional Planners,detailed,30,39.3,0.32,1.16,34.04,70800,9.1,19.09,28.49,31.2,37.88,50.31,39710,59260,64890,78780,104650,,
West Central-Southwest New Hampshire nonmetropolitan area,Biological Technicians,detailed,220,9.3,2.275,4.21,*,*,*,*,*,*,*,*,*,*,*,*,*,,
West Central-Southwest New Hampshire nonmetropolitan area,Forest and Conservation Technicians,detailed,50,7.6,0.519,2.4,18.56,38600,13,9.31,13.49,16.95,22.04,33.39,19360,28060,35260,45850,69450,,
West Central-Southwest New Hampshire nonmetropolitan area,Occupational Health and Safety Specialists,detailed,60,14.2,0.615,0.81,35.12,73040,9.3,8.65,29.09,37.25,47.58,59.99,18000,60500,77480,98970,124780,,
West Central-Southwest New Hampshire nonmetropolitan area,Community and Social Service Occupations,major,1520,2.8,15.686,0.99,24.51,50980,1,14.68,18.37,22.8,29.56,37.34,30530,38210,47430,61480,77670,,
West Central-Southwest New Hampshire nonmetropolitan area,"Educational, Guidance, and Career Counselors and Advisors",detailed,310,6.6,3.235,1.54,29,60320,1.6,18.52,22.56,28.87,30.52,38.65,38520,46920,60040,63480,80390,,
West Central-Southwest New Hampshire nonmetropolitan area,Rehabilitation Counselors,detailed,50,11.5,0.503,0.78,20.02,41630,2.2,13.94,14.68,18.37,22.32,28.19,28990,30530,38210,46420,58640,,
West Central-Southwest New Hampshire nonmetropolitan area,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,310,7.5,3.245,1.47,22.93,47700,1.5,14.77,18.52,22.75,26.91,30.52,30730,38520,47310,55960,63480,,
West Central-Southwest New Hampshire nonmetropolitan area,"Child, Family, and School Social Workers",detailed,90,13.2,0.935,0.39,25.86,53790,1.7,19.59,21.73,23.68,29.39,35.36,40750,45210,49240,61140,73550,,
West Central-Southwest New Hampshire nonmetropolitan area,Healthcare Social Workers,detailed,130,3.5,1.326,1.07,35.23,73280,0.9,23.19,29.08,35.36,39.16,49.95,48230,60490,73550,81440,103900,,
West Central-Southwest New Hampshire nonmetropolitan area,Mental Health and Substance Abuse Social Workers,detailed,30,20.7,0.313,0.39,27.34,56860,13.5,19.29,23.41,27.56,30.17,37.34,40110,48690,57320,62760,77670,,
West Central-Southwest New Hampshire nonmetropolitan area,Social and Human Service Assistants,detailed,280,7.2,2.889,1.02,17.64,36690,1.6,13.43,14.68,17.74,18.61,23.42,27930,30530,36890,38710,48720,,
West Central-Southwest New Hampshire nonmetropolitan area,Community Health Workers,detailed,100,29.8,1.018,2.35,20.19,41980,5,14.77,18.52,18.52,23.41,29.39,30730,38520,38520,48690,61140,,
West Central-Southwest New Hampshire nonmetropolitan area,"Community and Social Service Specialists, All Other",detailed,90,10.8,0.905,1.4,21.48,44670,1.7,15.06,18.33,19.12,23.41,30.44,31320,38120,39760,48690,63310,,
West Central-Southwest New Hampshire nonmetropolitan area,Clergy,detailed,40,13.4,0.364,1.01,27.42,57030,4.5,17.67,18.75,28.8,30.44,38.72,36750,39000,59910,63310,80540,,
West Central-Southwest New Hampshire nonmetropolitan area,Legal Occupations,major,260,3.8,2.662,0.32,46.68,97100,3.1,17.74,23.82,37.34,57.57,92.38,36890,49540,77680,119750,192160,,
West Central-Southwest New Hampshire nonmetropolitan area,Lawyers,detailed,160,8.6,1.674,0.35,57.45,119490,5.2,23.89,37.03,47.84,73.09,#,49680,77010,99510,152020,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Paralegals and Legal Assistants,detailed,80,17.3,0.79,0.33,24.53,51030,5.5,17.7,17.74,22.32,30.15,30.15,36810,36890,46420,62700,62700,,
West Central-Southwest New Hampshire nonmetropolitan area,Educational Instruction and Library Occupations,major,8420,1.2,86.722,1.49,31.72,65980,0.8,14.1,17.94,28.79,37.01,50.13,29330,37300,59880,76970,104270,,
West Central-Southwest New Hampshire nonmetropolitan area,"Business Teachers, Postsecondary",detailed,200,5.8,2.024,3.58,*,147290,1.9,*,*,*,*,*,49160,64490,129910,#,#,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Computer Science Teachers, Postsecondary",detailed,50,3.3,0.495,1.85,*,*,*,*,*,*,*,*,*,*,*,*,*,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Mathematical Science Teachers, Postsecondary",detailed,60,6.1,0.657,2.1,*,101010,1.8,*,*,*,*,*,49450,62060,97830,128070,165160,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,50,1.3,0.479,6.58,*,88900,0.4,*,*,*,*,*,62210,62210,78400,104270,132450,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Environmental Science Teachers, Postsecondary",detailed,40,2.5,0.398,10.29,*,105470,0.6,*,*,*,*,*,50580,64490,103070,124950,198550,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Psychology Teachers, Postsecondary",detailed,40,10.7,0.444,1.73,*,81320,1.8,*,*,*,*,*,49300,61550,77440,96120,104270,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Sociology Teachers, Postsecondary",detailed,50,2.4,0.506,5.68,*,88640,1.6,*,*,*,*,*,38490,49990,81460,103890,157300,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Health Specialties Teachers, Postsecondary",detailed,240,10.2,2.451,1.8,*,143580,2.4,*,*,*,*,*,49420,64440,124950,#,#,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Education Teachers, Postsecondary",detailed,90,16.1,0.949,2.27,*,72730,4.1,*,*,*,*,*,37670,48920,63900,81460,123350,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Art, Drama, and Music Teachers, Postsecondary",detailed,200,2.8,2.095,3.12,*,86620,1.1,*,*,*,*,*,30800,49990,77440,103890,155240,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Communications Teachers, Postsecondary",detailed,50,3.5,0.468,2.41,*,86680,1.1,*,*,*,*,*,48910,61740,77910,101280,124660,True,
West Central-Southwest New Hampshire nonmetropolitan area,"English Language and Literature Teachers, Postsecondary",detailed,100,2.9,1.075,2.59,*,*,*,*,*,*,*,*,*,*,*,*,*,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Philosophy and Religion Teachers, Postsecondary",detailed,60,21.3,0.66,4.46,*,91820,9.9,*,*,*,*,*,38280,60500,81460,123350,123350,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Career/Technical Education Teachers, Postsecondary",detailed,40,16.1,0.461,0.62,28.91,60120,2.2,22.37,23.17,24.93,34.55,38.84,46530,48180,51860,71860,80790,,
West Central-Southwest New Hampshire nonmetropolitan area,"Postsecondary Teachers, All Other",detailed,70,14.8,0.751,0.53,*,99360,7.8,*,*,*,*,*,29520,60850,77440,123350,195860,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Preschool Teachers, Except Special Education",detailed,350,5,3.619,1.3,15.4,32030,1.2,11.57,13.8,14.09,17.57,18.63,24060,28700,29310,36540,38750,,
West Central-Southwest New Hampshire nonmetropolitan area,"Kindergarten Teachers, Except Special Education",detailed,50,19.5,0.542,0.63,*,56960,3.5,*,*,*,*,*,47910,48770,60900,61640,63670,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Elementary School Teachers, Except Special Education",detailed,1110,10.2,11.459,1.21,*,59650,1.7,*,*,*,*,*,39500,48770,60900,63670,77160,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Middle School Teachers, Except Special and Career/Technical Education",detailed,700,14.6,7.222,1.72,*,56760,2.1,*,*,*,*,*,37330,47480,60050,61220,76700,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,990,13.1,10.245,1.41,*,63940,1.7,*,*,*,*,*,46640,49120,61790,77730,79120,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Career/Technical Education Teachers, Secondary School",detailed,40,17.8,0.373,0.62,*,55440,2.7,*,*,*,*,*,36900,37790,60900,63670,77920,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Special Education Teachers, Kindergarten and Elementary School",detailed,200,15.4,2.104,1.58,*,58490,4.1,*,*,*,*,*,37940,48770,60360,63670,80660,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Special Education Teachers, Middle School",detailed,110,22.1,1.183,2.11,*,59440,3,*,*,*,*,*,37880,48650,60040,61880,77150,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Special Education Teachers, Secondary School",detailed,110,20.5,1.182,1.14,*,59750,1.7,*,*,*,*,*,47040,47960,60900,62420,79120,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Special Education Teachers, All Other",detailed,30,31.9,0.315,1.17,*,50900,9.2,*,*,*,*,*,37750,37750,46900,61210,64320,True,
West Central-Southwest New Hampshire nonmetropolitan area,Self-Enrichment Teachers,detailed,200,10.3,2.076,1.35,25.65,53350,5.1,11.5,17.67,22.76,33.04,46.4,23930,36750,47330,68730,96520,,
West Central-Southwest New Hampshire nonmetropolitan area,"Substitute Teachers, Short-Term",detailed,160,23.1,1.614,0.61,14.59,30350,3.1,11.56,13.14,14.36,14.39,14.49,24040,27330,29880,29940,30130,,
West Central-Southwest New Hampshire nonmetropolitan area,Tutors,detailed,140,20.6,1.412,1.35,17.3,35980,2.3,13.86,14.01,17.75,18.29,22.97,28820,29130,36910,38030,47790,,
West Central-Southwest New Hampshire nonmetropolitan area,"Teachers and Instructors, All Other",detailed,100,7.9,1.031,0.88,*,60740,4.3,*,*,*,*,*,47090,60690,60690,60690,61490,True,
