AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,LOC_QUOTIENT
"Ann Arbor, MI","Human resources managers, all other",,120,10.9,45.27,94160,3.7,26.28,32.69,44.43,54.86,65.86,54660,67990,92420,114120,137000,,,
"Ann Arbor, MI",Industrial production managers,,320,11.2,57.95,120530,7.7,31.46,42.01,50.29,64.79,#,65440,87370,104600,134770,#,,,
"Ann Arbor, MI",Purchasing managers,,100,25.9,44.72,93010,5.6,20.17,32.97,40.42,52.97,67.18,41950,68570,84080,110180,139730,,,
"Ann Arbor, MI","Transportation, storage, and distribution managers",,230,4.4,34.43,71610,5.7,21.44,24.13,30.86,40.30,52.31,44600,50190,64180,83810,108810,,,
"Ann Arbor, MI",Construction managers,,110,25.1,49.97,103930,9.1,32.33,35.69,41.78,50.64,#,67240,74230,86910,105320,#,,,
"Ann Arbor, MI","Education administrators, preschool and child care center/program",,70,34.7,29.44,61240,8.5,16.83,20.10,24.83,38.61,47.94,35010,41820,51650,80310,99700,,,
"Ann Arbor, MI","Education administrators, elementary and secondary school",,130,13.1,*,95130,4.0,*,*,*,*,*,50340,82780,101970,119180,130790,True,,
"Ann Arbor, MI","Education administrators, all other",,80,19.9,37.19,77340,4.5,17.83,24.43,38.07,47.36,55.71,37090,50810,79190,98520,115870,,,
"Ann Arbor, MI",Engineering managers,,460,17.2,61.90,128750,3.8,40.96,50.89,61.76,74.11,#,85210,105860,128460,154150,#,,,
"Ann Arbor, MI",Food service managers,,270,19.1,21.61,44950,3.5,13.10,15.08,19.72,27.55,31.41,27240,31380,41020,57300,65330,,,
"Ann Arbor, MI",Medical and health services managers,,550,5.9,43.79,91080,4.2,24.19,31.36,40.03,52.29,67.34,50320,65230,83260,108760,140070,,,
"Ann Arbor, MI",Natural sciences managers,,90,12.5,52.41,109020,3.5,37.06,42.75,51.58,62.57,72.95,77090,88910,107280,130140,151730,,,
"Ann Arbor, MI","Property, real estate, and community association managers",,210,25.5,30.10,62610,8.2,13.50,21.98,28.58,41.81,48.11,28090,45720,59440,86960,100070,,,
"Ann Arbor, MI",Social and community service managers,,140,11.2,32.98,68610,3.1,18.79,22.38,32.44,40.04,49.55,39080,46550,67480,83280,103070,,,
"Ann Arbor, MI","Managers, all other",,700,15.7,48.23,100310,4.1,25.82,33.74,41.87,60.40,78.67,53700,70170,87090,125630,163630,,,
"Ann Arbor, MI",Business and financial operations occupations,major,7650,3.9,30.36,63140,4.0,16.35,21.04,27.69,36.25,46.91,34000,43760,57590,75390,97570,,,
"Ann Arbor, MI","Agents and business managers of artists, performers, and athletes",,60,43.3,14.36,29870,16.9,8.63,9.82,11.98,18.45,20.80,17950,20420,24910,38370,43260,,,
"Ann Arbor, MI","Wholesale and retail buyers, except farm products",,120,13.5,20.70,43060,12.6,12.17,13.66,15.61,23.70,32.72,25310,28420,32470,49290,68060,,,
"Ann Arbor, MI","Purchasing agents, except wholesale, retail, and farm products",,390,10.9,27.81,57850,2.4,17.21,19.98,27.75,33.50,39.83,35800,41560,57720,69670,82860,,,
"Ann Arbor, MI","Compliance officers, except agriculture, construction, health and safety, and transportation",,120,7.1,32.34,67260,4.9,18.72,23.53,30.95,38.02,45.58,38940,48950,64380,79080,94800,,,
"Ann Arbor, MI",Cost estimators,,250,18.3,27.81,57840,4.8,16.71,20.09,28.10,35.39,39.41,34760,41780,58440,73610,81980,,,
"Ann Arbor, MI","Employment, recruitment, and placement specialists",,110,16.2,24.92,51840,6.5,14.12,17.96,22.06,31.53,39.46,29380,37360,45890,65570,82070,,,
"Ann Arbor, MI","Compensation, benefits, and job analysis specialists",,130,9.1,30.67,63790,2.5,18.69,24.81,29.63,36.43,44.08,38880,51610,61640,75770,91690,,,
"Ann Arbor, MI",Training and development specialists,,310,40.4,56.60,117720,29.6,17.79,22.80,34.23,#,#,37000,47430,71190,#,#,,,
"Ann Arbor, MI","Human resources, training, and labor relations specialists, all other",,470,9.2,27.29,56770,7.6,7.67,18.79,26.71,34.65,47.31,15960,39070,55560,72080,98390,,,
"Ann Arbor, MI",Logisticians,,470,13.2,28.15,58560,6.1,18.21,21.37,27.07,32.80,40.35,37870,44450,56310,68220,83930,,,
"Ann Arbor, MI",Management analysts,,550,19.9,36.74,76420,3.6,23.13,28.55,35.65,41.00,55.98,48120,59390,74150,85280,116440,,,
"Ann Arbor, MI",Meeting and convention planners,,130,17.3,21.15,44000,5.7,14.16,16.61,19.30,24.65,31.18,29460,34540,40150,51280,64850,,,
"Ann Arbor, MI","Business operations specialists, all other",,1910,7.9,31.51,65540,2.2,18.39,23.04,29.75,39.36,48.14,38260,47920,61870,81870,100130,,,
"Ann Arbor, MI",Accountants and auditors,,1270,7.2,27.99,58210,2.6,17.23,20.78,25.75,31.51,40.75,35830,43220,53570,65530,84760,,,
"Ann Arbor, MI",Appraisers and assessors of real estate,,50,6.9,26.93,56020,2.2,20.43,22.72,26.20,30.89,37.35,42500,47250,54490,64250,77690,,,
"Ann Arbor, MI",Credit analysts,,50,48.8,27.03,56220,9.8,14.04,15.85,23.15,37.40,46.23,29210,32970,48150,77800,96150,,,
"Ann Arbor, MI",Financial analysts,,160,22.5,35.40,73640,9.9,19.44,23.40,29.17,37.27,58.08,40420,48670,60680,77510,120800,,,
"Ann Arbor, MI",Personal financial advisors,,80,34.7,37.62,78250,12.3,22.61,26.91,31.11,41.56,49.79,47040,55960,64720,86440,103560,,,
"Ann Arbor, MI",Insurance underwriters,,**,**,27.92,58070,8.7,16.69,21.39,27.24,35.35,39.81,34720,44500,56660,73540,82810,,,
"Ann Arbor, MI",Loan officers,,170,12.4,29.91,62220,6.5,13.18,18.32,28.30,36.88,49.01,27420,38110,58860,76700,101930,,,
"Ann Arbor, MI","Tax examiners, collectors, and revenue agents",,30,1.7,34.41,71560,2.7,20.70,25.62,34.62,43.49,48.50,43060,53300,72000,90450,100890,,,
"Ann Arbor, MI",Tax preparers,,140,34.7,13.68,28450,14.3,8.36,9.72,11.63,17.05,23.41,17390,20210,24190,35470,48690,,,
"Ann Arbor, MI","Financial specialists, all other",,400,9.2,27.24,56660,2.3,14.02,19.88,24.96,32.12,44.09,29170,41350,51920,66820,91700,,,
"Ann Arbor, MI",Computer and mathematical science occupations,major,6100,6.8,32.04,66650,4.1,16.23,21.94,30.91,39.67,50.41,33760,45640,64290,82500,104850,,,
"Ann Arbor, MI","Computer and information scientists, research",,40,14.9,47.68,99170,2.7,33.18,41.09,46.98,56.60,64.97,69020,85470,97720,117720,135130,,,
"Ann Arbor, MI",Computer programmers,,1140,14.7,34.34,71430,7.7,18.84,24.69,33.33,39.56,50.69,39190,51360,69320,82290,105430,,,
"Ann Arbor, MI","Computer software engineers, applications",,580,20.8,36.56,76040,3.9,23.01,27.74,35.12,44.38,54.30,47850,57690,73040,92310,112940,,,
"Ann Arbor, MI","Computer software engineers, systems software",,680,27.9,32.49,67580,8.6,17.09,19.09,32.92,41.58,51.15,35540,39710,68470,86490,106380,,,
"Ann Arbor, MI",Computer support specialists,,1170,7.9,20.01,41630,4.8,9.63,13.13,20.12,25.07,30.89,20040,27300,41840,52150,64250,,,
"Ann Arbor, MI",Computer systems analysts,,720,13.6,34.60,71980,1.8,22.84,29.00,35.55,40.31,46.68,47500,60320,73940,83840,97090,,,
"Ann Arbor, MI",Database administrators,,160,9.5,36.25,75400,2.5,20.89,27.58,37.63,45.45,50.11,43460,57380,78280,94540,104220,,,
"Ann Arbor, MI",Network and computer systems administrators,,690,19.3,34.69,72160,12.2,18.89,24.67,31.44,47.78,57.22,39280,51310,65400,99390,119010,,,
"Ann Arbor, MI",Network systems and data communications analysts,,**,**,32.51,67610,2.6,19.41,26.71,31.96,38.20,46.41,40370,55550,66470,79460,96540,,,
"Ann Arbor, MI","Computer specialists, all other",,480,10.3,35.07,72940,7.4,16.27,22.16,30.50,42.30,54.41,33850,46080,63440,87970,113180,,,
"Ann Arbor, MI",Operations research analysts,,90,47.6,44.62,92810,2.9,30.77,39.83,45.45,52.27,59.75,64010,82840,94540,108720,124280,,,
"Ann Arbor, MI",Architecture and engineering occupations,major,5610,8.3,34.66,72100,2.2,19.50,25.82,34.11,43.66,51.24,40550,53720,70940,90810,106580,,,
"Ann Arbor, MI","Architects, except landscape and naval",,140,38.0,35.81,74480,2.2,24.73,29.17,33.79,43.23,50.31,51430,60670,70270,89930,104640,,,
"Ann Arbor, MI",Landscape architects,,**,**,27.22,56620,5.2,17.19,19.34,27.95,31.10,37.41,35750,40230,58130,64680,77800,,,
"Ann Arbor, MI",Surveyors,,50,41.5,34.20,71140,13.1,20.68,23.12,28.39,39.06,71.91,43020,48090,59050,81240,149570,,,
"Ann Arbor, MI",Chemical engineers,,30,22.8,42.86,89140,5.0,27.81,31.94,43.11,53.71,60.34,57840,66440,89680,111710,125510,,,
"Ann Arbor, MI",Civil engineers,,120,23.0,36.56,76040,3.4,22.83,27.80,35.37,44.11,50.02,47490,57820,73560,91760,104030,,,
"Ann Arbor, MI",Computer hardware engineers,,60,44.9,45.93,95540,2.6,31.87,39.74,47.28,55.08,60.40,66300,82660,98350,114560,125640,,,
"Ann Arbor, MI",Electrical engineers,,360,43.5,38.54,80160,2.2,23.31,28.57,37.11,48.02,59.28,48480,59420,77200,99880,123290,,,
"Ann Arbor, MI","Electronics engineers, except computer",,80,26.0,37.81,78640,2.7,26.48,29.60,35.66,45.49,55.64,55090,61560,74160,94620,115740,,,
"Ann Arbor, MI",Environmental engineers,,90,46.6,46.37,96450,10.6,25.73,31.83,39.24,59.96,75.89,53520,66210,81620,124710,157850,,,
"Ann Arbor, MI","Health and safety engineers, except mining safety engineers and inspectors",,90,43.3,33.71,70110,11.5,15.30,24.46,36.11,41.27,47.91,31820,50880,75120,85850,99660,,,
"Ann Arbor, MI",Industrial engineers,,660,11.2,37.46,77920,2.8,25.62,30.52,37.60,45.23,50.17,53280,63490,78210,94080,104360,,,
"Ann Arbor, MI",Mechanical engineers,,1840,9.6,38.20,79460,2.4,24.87,30.36,38.11,46.54,52.25,51730,63140,79270,96800,108680,,,
"Ann Arbor, MI","Engineers, all other",,650,11.8,38.11,79270,4.9,20.11,29.41,38.94,47.74,55.41,41830,61160,81000,99310,115260,,,
"Ann Arbor, MI",Architectural and civil drafters,,150,36.6,20.69,43020,7.8,13.87,16.42,20.80,24.54,28.34,28850,34160,43270,51050,58950,,,
"Ann Arbor, MI",Mechanical drafters,,**,**,22.93,47690,3.3,14.69,18.76,22.61,25.63,32.18,30560,39020,47030,53300,66940,,,
"Ann Arbor, MI",Civil engineering technicians,,110,38.1,25.06,52130,2.2,18.26,21.01,24.60,28.73,32.18,37980,43690,51170,59750,66930,,,
"Ann Arbor, MI",Electrical and electronic engineering technicians,,90,31.1,20.51,42660,4.1,11.19,13.74,18.88,25.51,31.98,23270,28570,39270,53050,66530,,,
"Ann Arbor, MI",Electro-mechanical technicians,,30,12.2,31.20,64890,7.5,22.44,25.69,33.32,36.29,38.06,46680,53430,69310,75470,79170,,,
"Ann Arbor, MI",Industrial engineering technicians,,190,20.8,23.57,49020,6.3,13.30,18.21,25.79,29.27,31.44,27660,37870,53630,60890,65400,,,
"Ann Arbor, MI",Mechanical engineering technicians,,90,9.2,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
"Ann Arbor, MI","Engineering technicians, except drafters, all other",,420,8.7,25.77,53600,4.3,15.48,19.75,24.91,32.49,37.69,32190,41080,51810,67580,78400,,,
"Ann Arbor, MI",Surveying and mapping technicians,,**,**,20.15,41910,4.8,13.74,15.81,18.36,23.36,31.11,28580,32880,38190,48580,64710,,,
"Ann Arbor, MI","Life, physical, and social science occupations",major,**,**,22.67,47160,7.1,10.13,13.71,19.14,27.67,39.69,21060,28510,39800,57550,82540,,,
"Ann Arbor, MI",Biochemists and biophysicists,,80,25.3,28.48,59240,7.4,17.16,19.26,25.29,38.34,46.44,35700,40060,52610,79750,96590,,,
"Ann Arbor, MI",Atmospheric and space scientists,,**,**,34.50,71750,8.6,20.51,23.99,30.06,43.39,59.68,42670,49900,62520,90260,124130,,,
"Ann Arbor, MI",Chemists,,240,25.9,28.76,59820,3.3,17.82,21.47,25.75,33.77,44.04,37060,44650,53560,70240,91600,,,
"Ann Arbor, MI","Environmental scientists and specialists, including health",,210,31.7,39.83,82840,6.0,19.08,24.80,38.61,50.69,64.40,39680,51580,80300,105440,133950,,,
"Ann Arbor, MI","Physical scientists, all other",,230,17.1,40.46,84150,6.6,23.34,30.42,39.39,48.57,61.11,48560,63280,81940,101030,127120,,,
"Ann Arbor, MI",Economists,,**,**,48.73,101350,7.1,34.57,40.90,46.13,51.36,72.76,71900,85060,95950,106830,151330,,,
"Ann Arbor, MI",Market research analysts,,340,30.2,26.94,56040,3.7,16.13,19.97,24.29,33.57,44.01,33560,41550,50530,69830,91530,,,
"Ann Arbor, MI","Clinical, counseling, and school psychologists",,220,7.3,44.05,91630,11.3,24.03,30.91,36.45,45.03,#,49990,64280,75820,93670,#,,,
"Ann Arbor, MI","Psychologists, all other",,50,0.0,30.96,64400,2.3,11.28,23.12,29.00,41.25,52.01,23470,48090,60310,85810,108180,,,
"Ann Arbor, MI",Urban and regional planners,,60,2.7,28.89,60080,2.5,22.99,26.01,28.46,30.90,37.58,47820,54100,59190,64280,78170,,,
"Ann Arbor, MI","Social scientists and related workers, all other",,90,18.9,30.66,63770,2.6,14.50,18.91,30.88,37.64,53.83,30150,39340,64230,78280,111970,,,
"Ann Arbor, MI",Chemical technicians,,220,16.4,16.41,34140,5.5,9.06,12.32,16.55,19.46,23.82,18850,25630,34430,40470,49550,,,
"Ann Arbor, MI","Environmental science and protection technicians, including health",,220,32.9,20.86,43380,5.1,12.22,14.49,20.41,27.09,31.28,25430,30130,42460,56340,65070,,,
"Ann Arbor, MI","Life, physical, and social science technicians, all other",,**,**,15.67,32590,5.1,8.29,9.28,14.49,19.70,24.58,17240,19290,30130,40980,51130,,,
"Ann Arbor, MI",Community and social services occupations,major,2370,14.8,22.07,45900,3.2,13.19,15.91,20.46,26.37,31.74,27440,33100,42550,54850,66020,,,
"Ann Arbor, MI",Substance abuse and behavioral disorder counselors,,**,**,17.76,36930,6.7,13.09,14.01,15.52,19.72,27.63,27230,29140,32280,41010,57460,,,
"Ann Arbor, MI","Educational, vocational, and school counselors",,200,12.3,32.42,67430,9.1,17.92,21.20,24.20,37.58,69.02,37270,44110,50330,78170,143570,,,
"Ann Arbor, MI",Rehabilitation counselors,,**,**,17.71,36850,14.6,10.73,12.41,14.68,22.26,30.00,22310,25810,30530,46300,62400,,,
"Ann Arbor, MI","Child, family, and school social workers",,250,10.4,25.50,53040,3.7,16.28,20.57,23.57,28.62,35.85,33870,42790,49030,59530,74570,,,
"Ann Arbor, MI",Medical and public health social workers,,230,4.7,24.20,50340,4.1,17.10,20.53,24.57,28.73,31.38,35570,42710,51110,59760,65260,,,
"Ann Arbor, MI",Mental health and substance abuse social workers,,**,**,18.94,39380,4.9,13.43,15.43,17.68,21.58,27.97,27940,32100,36770,44890,58180,,,
"Ann Arbor, MI","Social workers, all other",,150,5.8,23.98,49880,2.1,17.12,19.11,23.06,28.40,34.40,35610,39750,47970,59060,71560,,,
"Ann Arbor, MI",Health educators,,110,20.8,20.24,42100,7.2,13.35,14.86,18.50,26.12,30.10,27760,30900,38480,54340,62610,,,
"Ann Arbor, MI",Probation officers and correctional treatment specialists,,90,11.6,28.19,58630,2.1,23.17,25.98,28.30,30.66,33.64,48200,54030,58870,63770,69970,,,
"Ann Arbor, MI",Social and human service assistants,,370,17.7,17.93,37290,4.2,11.69,14.01,16.82,21.03,27.11,24320,29140,34990,43740,56390,,,
"Ann Arbor, MI","Community and social service specialists, all other",,190,16.9,19.33,40200,5.9,11.67,13.94,18.16,22.80,28.37,24280,29000,37770,47430,59000,,,
"Ann Arbor, MI",Clergy,,90,17.9,21.30,44300,14.8,11.17,12.64,17.93,31.02,36.74,23240,26280,37300,64510,76410,,,
"Ann Arbor, MI",Legal occupations,major,1000,31.5,42.77,88960,5.5,19.74,24.81,42.15,56.44,71.04,41050,51600,87680,117390,147770,,,
"Ann Arbor, MI",Lawyers,,580,36.9,55.01,114420,4.9,36.33,44.46,52.84,63.47,79.15,75570,92480,109900,132020,164630,,,
"Ann Arbor, MI",Paralegals and legal assistants,,210,48.4,27.69,57590,5.3,18.25,21.60,26.78,30.81,36.65,37960,44920,55700,64080,76220,,,
"Ann Arbor, MI","Legal support workers, all other",,110,17.6,22.23,46250,2.3,11.08,13.75,22.90,28.63,31.78,23050,28600,47630,59550,66100,,,
"Ann Arbor, MI","Education, training, and library occupations",major,19540,3.6,34.98,72770,8.5,11.97,16.86,24.16,43.54,76.52,24890,35070,50240,90570,159170,,,
"Ann Arbor, MI","Business teachers, postsecondary",,470,18.6,*,122630,19.4,*,*,*,*,*,51190,72480,104230,163350,#,True,,
"Ann Arbor, MI","Mathematical science teachers, postsecondary",,**,**,*,90840,5.2,*,*,*,*,*,46050,61890,82470,116100,144830,True,,
"Ann Arbor, MI","Area, ethnic, and cultural studies teachers, postsecondary",,130,26.6,*,67160,8.7,*,*,*,*,*,43480,47850,55580,78370,114600,True,,
"Ann Arbor, MI","Economics teachers, postsecondary",,80,13.8,*,126380,17.4,*,*,*,*,*,68410,78660,104660,161500,#,True,,
"Ann Arbor, MI","Communications teachers, postsecondary",,80,20.6,*,80190,6.6,*,*,*,*,*,41480,56570,74000,98190,124470,True,,
"Ann Arbor, MI","English language and literature teachers, postsecondary",,330,19.4,*,*,*,*,*,*,*,*,*,*,*,*,*,True,,
"Ann Arbor, MI","Vocational education teachers, postsecondary",,**,**,33.93,70570,2.9,20.70,28.90,35.23,39.43,42.07,43050,60100,73280,82020,87510,,,
"Ann Arbor, MI","Postsecondary teachers, all other",,350,32.2,*,*,*,*,*,*,*,*,*,*,*,*,*,True,,
"Ann Arbor, MI","Preschool teachers, except special education",,340,43.6,13.46,28000,6.6,8.11,9.22,12.61,15.46,18.74,16870,19180,26220,32150,38990,,,
"Ann Arbor, MI","Kindergarten teachers, except special education",,60,34.9,*,50150,9.3,*,*,*,*,*,35830,39590,46880,60520,74410,True,,
"Ann Arbor, MI","Elementary school teachers, except special education",,1430,10.9,*,66640,9.7,*,*,*,*,*,33480,40630,59510,79950,128790,True,,
"Ann Arbor, MI","Middle school teachers, except special and vocational education",,320,16.5,*,63850,7.6,*,*,*,*,*,35340,43600,54770,76730,118380,True,,
"Ann Arbor, MI","Secondary school teachers, except special and vocational education",,730,10.9,*,77800,11.7,*,*,*,*,*,30780,41900,61580,118220,153500,True,,
"Ann Arbor, MI","Vocational education teachers, secondary school",,40,16.7,*,*,*,*,*,*,*,*,*,*,*,*,*,True,,
"Ann Arbor, MI","Special education teachers, preschool, kindergarten, and elementary school",,160,12.6,*,71630,5.1,*,*,*,*,*,49430,57920,70860,80100,96480,True,,
"Ann Arbor, MI","Special education teachers, middle school",,40,18.0,*,53440,4.9,*,*,*,*,*,37000,41580,50000,66900,77570,True,,
"Ann Arbor, MI","Special education teachers, secondary school",,60,26.6,*,54730,4.1,*,*,*,*,*,37620,44050,51030,65550,78600,True,,
"Ann Arbor, MI",Self-enrichment education teachers,,460,21.4,17.44,36270,5.7,11.17,13.72,16.53,19.05,27.03,23230,28530,34380,39630,56210,,,
"Ann Arbor, MI",Librarians,,260,6.8,33.80,70310,4.6,20.39,24.98,29.87,38.55,57.36,42410,51960,62130,80180,119310,,,
"Ann Arbor, MI",Teacher assistants,,2050,6.7,*,25020,3.8,*,*,*,*,*,16610,18580,22690,29590,36890,True,,
"Ann Arbor, MI","Arts, design, entertainment, sports, and media occupations",major,3430,5.2,24.98,51950,4.1,8.80,14.13,21.94,30.95,43.06,18300,29390,45650,64370,89570,,,
"Ann Arbor, MI",Art directors,,50,29.0,42.28,87950,16.8,21.77,25.46,32.35,43.75,#,45290,52960,67280,91000,#,,,
"Ann Arbor, MI",Commercial and industrial designers,,240,10.3,37.07,77110,3.8,25.51,30.79,37.23,45.39,52.36,53060,64040,77430,94410,108910,,,
"Ann Arbor, MI",Floral designers,,**,**,10.92,22710,14.7,7.39,7.56,9.75,13.23,17.87,15370,15720,20270,27520,37180,,,
"Ann Arbor, MI",Graphic designers,,390,15.1,22.64,47090,8.1,13.08,15.82,19.03,25.38,34.47,27210,32900,39580,52780,71700,,,
"Ann Arbor, MI",Interior designers,,110,41.1,24.55,51060,9.0,14.95,17.42,21.85,32.56,38.89,31100,36230,45450,67730,80880,,,
"Ann Arbor, MI",Producers and directors,,160,20.5,31.47,65470,14.1,13.25,18.07,24.63,36.23,72.30,27570,37570,51220,75360,150380,,,
"Ann Arbor, MI",Athletes and sports competitors,,130,42.0,*,54180,12.1,*,*,*,*,*,26190,33260,43780,68950,94340,True,,
"Ann Arbor, MI",Coaches and scouts,,520,20.7,*,44970,12.0,*,*,*,*,*,15640,16750,26100,51600,81500,True,,
"Ann Arbor, MI",Musicians and singers,,110,15.1,*,*,*,*,*,*,*,*,*,*,*,*,*,,True,
"Ann Arbor, MI",Public relations specialists,,470,7.0,28.56,59410,4.2,15.29,20.55,25.91,35.35,46.12,31800,42740,53890,73520,95930,,,
"Ann Arbor, MI",Editors,,170,14.1,23.21,48280,6.5,15.20,17.74,21.28,27.79,31.55,31610,36890,44260,57810,65630,,,
"Ann Arbor, MI",Technical writers,,150,8.5,27.66,57540,3.2,19.72,22.06,26.31,31.41,39.49,41010,45890,54720,65330,82130,,,
"Ann Arbor, MI",Writers and authors,,**,**,27.40,56990,14.7,19.65,20.81,22.78,25.73,34.59,40870,43290,47370,53510,71950,,,
"Ann Arbor, MI",Interpreters and translators,,150,4.5,29.43,61220,4.0,19.38,23.47,29.75,35.91,39.82,40300,48810,61880,74700,82830,,,
"Ann Arbor, MI",Broadcast technicians,,70,21.5,16.15,33590,5.3,9.29,11.78,15.16,19.31,24.73,19320,24500,31520,40160,51430,,,
"Ann Arbor, MI",Photographers,,60,16.2,26.35,54800,7.3,16.00,21.20,27.19,33.47,37.09,33270,44100,56560,69620,77140,,,
"Ann Arbor, MI",Healthcare practitioners and technical occupations,major,15370,2.7,32.14,66860,4.3,16.57,22.45,28.74,36.79,47.06,34470,46690,59770,76530,97870,,,
"Ann Arbor, MI","Dentists, general",,70,41.4,79.06,164440,21.8,33.02,53.05,#,#,#,68690,110340,#,#,#,,,
"Ann Arbor, MI",Dietitians and nutritionists,,110,6.6,25.56,53160,1.9,19.07,21.72,25.03,29.56,33.25,39660,45170,52060,61490,69150,,,
"Ann Arbor, MI",Pharmacists,,410,12.4,46.04,95760,3.2,34.27,42.44,47.15,52.13,60.95,71270,88280,98060,108430,126780,,,
"Ann Arbor, MI",Family and general practitioners,,280,20.2,84.13,175000,13.9,43.03,60.88,#,#,#,89510,126630,#,#,#,,,
"Ann Arbor, MI","Internists, general",,**,**,66.28,137850,12.8,31.51,45.97,59.61,#,#,65530,95610,123990,#,#,,,
"Ann Arbor, MI",Psychiatrists,,40,0.0,79.02,164350,10.7,64.94,68.77,75.02,#,#,135070,143040,156040,#,#,,,
"Ann Arbor, MI",Surgeons,,70,27.8,#,#,*,#,#,#,#,#,#,#,#,#,#,,,
"Ann Arbor, MI","Physicians and surgeons, all other",,420,25.5,87.16,181280,10.6,56.83,67.76,#,#,#,118210,140950,#,#,#,,,
"Ann Arbor, MI",Physician assistants,,310,15.5,42.62,88650,3.4,33.56,36.12,40.35,47.10,52.89,69810,75130,83920,97970,110010,,,
"Ann Arbor, MI",Registered nurses,,6080,1.8,32.26,67110,1.9,23.42,27.12,32.30,37.46,40.69,48700,56410,67180,77920,84640,,,
"Ann Arbor, MI",Occupational therapists,,220,2.5,30.11,62620,1.8,21.40,24.89,29.96,35.59,39.29,44510,51780,62320,74030,81730,,,
"Ann Arbor, MI",Physical therapists,,400,2.2,31.44,65400,2.1,19.43,27.79,33.52,37.35,39.70,40420,57790,69720,77700,82580,,,
"Ann Arbor, MI",Radiation therapists,,30,18.5,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
"Ann Arbor, MI",Recreational therapists,,70,7.0,20.48,42610,2.7,11.37,16.70,21.58,24.29,28.29,23650,34740,44890,50530,58840,,,
"Ann Arbor, MI",Respiratory therapists,,180,8.0,27.19,56540,2.3,21.17,23.41,26.87,30.69,35.47,44030,48690,55880,63840,73780,,,
"Ann Arbor, MI",Speech-language pathologists,,150,6.7,37.17,77310,3.5,22.12,27.02,34.41,40.45,65.03,46010,56190,71570,84130,135270,,,
"Ann Arbor, MI","Therapists, all other",,60,11.3,20.37,42360,2.6,16.43,18.09,20.67,23.26,24.82,34180,37620,43000,48390,51630,,,
"Ann Arbor, MI",Veterinarians,,130,23.6,44.81,93210,3.8,32.25,41.14,45.59,49.99,58.63,67070,85570,94830,103970,121950,,,
"Ann Arbor, MI","Health diagnosing and treating practitioners, all other",,160,7.9,41.11,85510,4.3,25.78,29.32,38.52,47.71,60.11,53630,60990,80130,99240,125040,,,
"Ann Arbor, MI",Medical and clinical laboratory technologists,,440,2.5,25.00,51990,5.1,16.07,22.09,26.14,29.62,31.88,33430,45950,54370,61610,66320,,,
"Ann Arbor, MI",Medical and clinical laboratory technicians,,110,7.4,15.38,31980,10.9,9.85,11.23,13.82,17.89,24.85,20490,23360,28740,37210,51700,,,
