PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1021,"Buyers and Purchasing Agents, Farm Products",,240,24.1,0.046,0.57,37.47,77930,20.7,17.34,20.97,29.66,38.38,71.07,36070,43620,61700,79820,147820,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",,6100,6,1.175,1.38,26.08,54240,2,15.21,18.39,23.45,31.57,41.7,31640,38250,48770,65670,86740,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,12010,3.1,2.314,1.08,30.2,62820,1,17.89,22.33,28.77,36.71,45.17,37200,46440,59840,76360,93950,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",,11930,7.7,2.298,1.112,31.08,64650,1.7,19.54,23.58,31.02,37.87,44.02,40640,49040,64520,78760,91570,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1032,"Insurance Appraisers, Auto Damage",,390,22.2,0.075,0.927,27.53,57270,2.9,18.76,22.33,27.07,32.84,37.54,39030,46440,56300,68310,78090,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1041,Compliance Officers,,8970,3.4,1.727,1.076,33,68640,1.4,20.17,25.32,32.05,39.31,47.6,41960,52670,66670,81760,99010,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1051,Cost Estimators,,6710,5.2,1.292,0.893,33.01,68660,1.9,16.65,22.96,31.77,42.24,51.16,34640,47750,66080,87850,106410,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",,16230,5,3.125,0.95,33.65,70000,2,18.49,24.29,32.32,41.52,51.87,38450,50530,67230,86350,107900,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1081,Logisticians,,4250,7.7,0.818,0.992,36.28,75470,1.9,23.25,27.2,34.26,43.22,52.49,48350,56580,71270,89900,109180,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1111,Management Analysts,,25630,4.4,4.936,1.17,44.04,91600,2.5,23.49,30.29,39.39,54.19,68.53,48860,63000,81940,112720,142550,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1121,"Meeting, Convention, and Event Planners*",,2460,10.7,0.474,1.058,23.25,48350,2.4,13.29,17.26,22.53,28.23,34.6,27650,35890,46850,58730,71970,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",,4540,6.1,0.874,1.08,30.31,63040,2.1,19.04,23.77,29.14,35.13,43.28,39600,49440,60620,73060,90020,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1151,Training and Development Specialists,,6200,5,1.194,0.744,32.09,66740,4.7,17.3,23.08,29.63,37.83,47.21,35980,48010,61620,78680,98200,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1161,Market Research Analysts and Marketing Specialists*,,15370,5.5,2.96,1.437,30.96,64400,2.7,14.3,20.41,28.49,39.12,51.05,29730,42450,59250,81370,106180,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1199,"Business Operations Specialists, All Other*",,49070,3.8,9.45,1.208,34.18,71090,1.7,16.81,22.12,30.84,43.47,56.14,34970,46020,64150,90420,116770,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2011,Accountants and Auditors,,47390,2.5,9.128,1.082,34.82,72430,1.1,20.89,25.38,32.02,40.62,52.27,43460,52800,66610,84500,108710,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2021,Appraisers and Assessors of Real Estate,,1840,13,0.354,0.719,40.38,83980,15.2,19.67,26.29,36.65,45.28,56.38,40910,54690,76240,94170,117260,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2031,Budget Analysts,,4290,6.2,0.825,1.799,37.25,77490,1.3,23.89,29.23,36.89,45.19,52.6,49690,60800,76740,93990,109400,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2041,Credit Analysts,,2730,7.4,0.526,1.067,34.15,71020,2.9,18.15,23.54,30.96,43.41,55.68,37760,48960,64400,90290,115820,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2051,Financial Analysts,,10690,6.1,2.058,1.185,47.06,97890,3.5,24.6,29.76,38.57,54.03,#,51170,61900,80220,112380,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2052,Personal Financial Advisors,,8540,8.2,1.645,1.346,36.85,76650,6.5,15.84,18.27,27.22,42.65,72.87,32950,38000,56620,88710,151560,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2053,Insurance Underwriters,,3460,11.3,0.667,0.889,33.09,68840,2.9,18.25,23.09,30.3,41.33,52.15,37970,48030,63020,85960,108470,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2061,Financial Examiners,,**,**,**,**,37.91,78860,2.8,20.63,26.84,34.61,44.55,62.08,42900,55820,71990,92660,129130,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2071,Credit Counselors,,1440,7,0.278,1.195,22.27,46310,2,16,18.05,21.24,25.14,29.45,33280,37540,44170,52290,61250,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2072,Loan Officers,,11890,6.7,2.289,1.027,36.94,76830,3.3,16.64,23.33,32.91,42.8,62.61,34620,48530,68460,89030,130230,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",,2130,0.1,0.411,0.762,34.68,72140,1.5,19.67,24.83,33.02,45.28,52.58,40900,51650,68690,94180,109370,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2082,Tax Preparers,,2270,19.4,0.437,0.975,19.82,41220,6.1,10.72,12.84,16.48,24.8,34.34,22300,26710,34290,51590,71430,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-2099,"Financial Specialists, All Other",,10660,5.8,2.053,1.687,33.23,69120,1.7,18.62,23.51,31.88,41.26,49.28,38730,48900,66300,85820,102500,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-0000,Computer and Mathematical Occupations,major,128130,2.6,24.678,0.955,38.85,80810,1.1,20.1,27.74,37.52,49.27,60.51,41800,57690,78040,102490,125860,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1111,Computer and Information Research Scientists,,740,24.4,0.143,0.73,58.05,120740,2.7,34.33,47.2,58.08,67.12,#,71400,98180,120800,139610,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1121,Computer Systems Analysts,,16080,4.2,3.097,0.794,40.47,84180,1.2,25.95,31.71,38.83,48.66,57.41,53970,65960,80770,101200,119400,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1131,Computer Programmers,,11590,6,2.233,0.851,38.38,79830,2.1,21.51,29.23,38.4,47.74,57.11,44740,60810,79880,99290,118780,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1132,"Software Developers, Applications",,18760,5.6,3.614,0.92,43.37,90210,1.5,25.46,34.33,43.26,53.05,63.04,52960,71410,89980,110340,131130,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1133,"Software Developers, Systems Software",,19270,8.3,3.712,1.245,49.65,103270,1.9,31.29,38.9,49.29,60.32,70.77,65080,80900,102530,125470,147210,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1141,Database Administrators,,4820,4.1,0.928,1.133,42.95,89340,8.3,21.61,28.47,41.16,57.11,70.43,44940,59210,85620,118790,146500,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1142,Network and Computer Systems Administrators*,,12940,3,2.492,0.951,36.53,75990,0.8,23.35,28.95,35.25,43.78,52.75,48570,60220,73330,91050,109710,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1150,Computer Support Specialists,,23190,4.2,4.467,0.98,25.15,52320,1.3,14.22,18.43,24.08,30.59,38.12,29570,38330,50080,63620,79280,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,9570,5.1,1.843,0.963,38.76,80630,1.2,22.41,29.36,36.99,47.61,57.7,46610,61080,76940,99030,120010,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-1799,"Computer Occupations, All Other*",,7910,15.7,1.523,1.057,38.16,79380,1.8,19.81,27.68,38.27,48.29,57.72,41210,57580,79600,100430,120060,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-2011,Actuaries,,450,16.2,0.088,0.611,47.47,98740,10.3,17.89,30.11,41.5,56.81,#,37200,62640,86320,118160,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-2021,Mathematicians,,150,42.2,0.029,1.304,47.35,98490,3.5,32.86,45.22,49.84,54.11,56.67,68350,94050,103670,112550,117880,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-2031,Operations Research Analysts,,1760,13.4,0.339,0.693,37.49,77970,2.2,22.88,29.32,36.32,44.67,54.83,47590,60980,75540,92910,114050,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",15-2041,Statisticians,,670,11.7,0.129,0.718,37.63,78260,2.5,21.81,28.03,36.69,45.99,56.66,45350,58310,76310,95650,117850,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-0000,Architecture and Engineering Occupations,major,101760,4.7,19.599,1.08,41.97,87290,1.5,21.98,29.83,40.24,52.53,65.48,45720,62050,83700,109270,136210,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-1011,"Architects, Except Landscape and Naval",,3840,9.3,0.74,1.072,45.04,93690,4.1,25.52,30.54,39.35,49.55,76.84,53070,63520,81860,103060,159830,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-1012,Landscape Architects,,510,21.9,0.099,0.754,33.63,69940,4.1,21.56,25.94,33.63,39.66,45.59,44850,53960,69960,82490,94820,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-1021,Cartographers and Photogrammetrists,,150,25.2,0.029,0.316,28.11,58470,3.2,15.9,18.29,29.37,35.51,42.4,33070,38030,61090,73850,88190,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-1022,Surveyors,,1410,11.7,0.271,0.784,38.32,79710,2.6,25.82,32.29,38.91,44.71,51.03,53710,67160,80930,93000,106140,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2011,Aerospace Engineers,,10130,29.1,1.952,3.162,53.35,110970,2.2,34.9,43.08,53.64,64.57,73.56,72600,89610,111570,134310,152990,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2031,Biomedical Engineers,,870,16,0.168,1.398,41.84,87020,2.3,27.02,34.44,41.39,48.91,57,56190,71630,86090,101740,118560,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2041,Chemical Engineers,,560,21.3,0.108,0.478,54.33,113000,6.7,28.13,40.02,51.3,73.51,#,58520,83230,106710,152890,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2051,Civil Engineers,,11460,6.2,2.207,1.126,44.89,93370,1.6,29.22,34.83,43.19,52.37,62.6,60780,72440,89830,108930,130210,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2061,Computer Hardware Engineers,,2940,23.4,0.566,1.074,52.59,109390,2,33.07,41.91,52.56,65.24,75.27,68790,87170,109330,135710,156570,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2071,Electrical Engineers,,6510,7.6,1.253,1.07,43.96,91430,2.2,25.68,32.65,43.34,54.4,65.69,53410,67920,90140,113150,136630,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2072,"Electronics Engineers, Except Computer",,8180,8.6,1.576,1.499,49.05,102010,3.8,29.72,36.2,45.52,58.6,72.15,61810,75290,94690,121890,150080,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2081,Environmental Engineers,,1640,11.1,0.316,0.807,40.63,84520,3.3,24.12,30.51,39.48,48.82,58.73,50160,63460,82120,101550,122150,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,800,8.6,0.154,0.837,40.45,84130,3.2,24.2,32.89,42.19,48.81,53.58,50340,68420,87760,101520,111440,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2112,Industrial Engineers,,7620,8.5,1.468,0.919,42.01,87370,1.7,26.81,33.29,40.88,50.29,61.65,55760,69230,85020,104600,128240,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2131,Materials Engineers,,1320,15.8,0.254,1.479,47.62,99040,1.6,33.14,38.55,46.9,56.81,65.49,68930,80170,97550,118160,136230,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2141,Mechanical Engineers,,8140,6.9,1.569,0.851,41.99,87340,2.3,24.24,31.72,40.46,51.47,63.01,50410,65980,84150,107060,131070,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,100,18.8,0.019,0.385,48.16,100170,4.4,29.18,34.17,52.23,57.5,71.54,60700,71070,108640,119600,148810,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2161,Nuclear Engineers,,**,**,**,**,54.3,112950,2.3,40.5,47.71,54.82,63.44,69.65,84250,99230,114020,131960,144870,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2171,Petroleum Engineers,,210,26.8,0.041,0.185,49.29,102520,3.1,22.1,39.53,50.27,57.44,67.62,45980,82230,104560,119470,140650,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-2199,"Engineers, All Other",,9420,17.1,1.814,1.651,49.1,102120,2.8,27.69,36.94,48.61,61.01,73.17,57590,76840,101100,126910,152190,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3011,Architectural and Civil Drafters,,5310,8.6,1.023,1.45,26.07,54230,1.9,15.93,20.5,25.41,31.5,36.98,33130,42640,52850,65520,76910,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3012,Electrical and Electronics Drafters,,830,11.7,0.16,0.727,28.12,58490,4.3,16.41,18.92,26.09,34.83,43.41,34130,39350,54260,72450,90290,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3013,Mechanical Drafters,,1710,9.3,0.328,0.647,26.67,55460,2.3,15.06,19.84,25.46,31.97,40.57,31330,41260,52970,66510,84390,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3019,"Drafters, All Other",,710,11.8,0.137,1.145,24,49920,3.2,13.81,17.37,22.61,28.74,35.55,28720,36130,47040,59770,73940,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3021,Aerospace Engineering and Operations Technicians,,890,17,0.171,2.564,28.21,58680,3,18.73,24.2,28.41,31.77,37.59,38960,50330,59100,66070,78190,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3022,Civil Engineering Technicians,,2430,7.8,0.468,0.772,31.41,65340,1.7,20.97,26.77,31.8,36.32,42.44,43610,55680,66140,75540,88270,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3023,Electrical and Electronics Engineering Technicians,,5810,8.3,1.12,0.963,29.27,60870,2.3,17.16,21.61,28.09,34.72,44.41,35690,44950,58420,72230,92360,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3024,Electro-Mechanical Technicians,,660,16.3,0.126,1.003,22.51,46820,3.6,13.92,16.71,21.15,26.78,34.08,28940,34750,44000,55710,70890,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3025,Environmental Engineering Technicians,,1030,25.2,0.198,1.364,28.02,58290,4.6,16.95,20.11,25.94,35.53,43.57,35250,41840,53950,73910,90630,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3026,Industrial Engineering Technicians,,1400,22.3,0.269,0.555,24.2,50340,3,15.67,18.38,22.47,28.06,36.83,32600,38240,46740,58360,76600,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3027,Mechanical Engineering Technicians,,1020,11.9,0.196,0.564,25.69,53430,2.6,15.39,19.07,24.2,29.06,37.28,32020,39660,50330,60450,77540,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3029,"Engineering Technicians, Except Drafters, All Other",,2170,10.3,0.418,0.798,29.8,61980,4.4,16.96,21.52,28.61,37.26,44.31,35280,44750,59510,77510,92170,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",17-3031,Surveying and Mapping Technicians,,610,18.1,0.117,0.276,30.05,62510,2.1,18.51,26,30.88,35.39,40.59,38490,54070,64240,73620,84420,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-0000,"Life, Physical, and Social Science Occupations",major,40980,8.5,7.892,0.942,33.71,70110,1.7,17.26,22.64,30.95,41.47,52.91,35900,47090,64370,86250,110050,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-1012,Food Scientists and Technologists,,350,14.6,0.067,0.812,29.44,61240,2.7,16.62,23.57,28.6,36.66,42.4,34560,49030,59500,76240,88190,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-1013,Soil and Plant Scientists,,50,29.4,0.01,0.105,28.22,58700,4.9,20.71,23.57,27.51,31.01,38.08,43080,49030,57210,64500,79200,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-1021,Biochemists and Biophysicists,,950,19.8,0.183,1.02,39.24,81610,9.3,20.28,24.19,32.13,44.58,73.37,42190,50310,66830,92720,152610,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-1022,Microbiologists,,530,11.9,0.102,0.707,34.35,71450,3.9,19.59,26.55,33.81,41.75,49.66,40740,55230,70330,86830,103290,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-1023,Zoologists and Wildlife Biologists,,200,22.3,0.038,0.277,34.01,70750,3.5,19.89,24.38,33.63,40.68,50.34,41370,50710,69960,84610,104700,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-1029,"Biological Scientists, All Other",,690,11.4,0.133,0.555,33.08,68800,1.7,20.78,26.4,33.81,38.41,44.46,43220,54920,70330,79890,92480,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-1031,Conservation Scientists,,190,20.7,0.036,0.242,35,72800,4.5,21.09,25.97,33.27,41.76,50.22,43880,54010,69190,86870,104460,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",19-1041,Epidemiologists,,**,**,**,**,33.93,70570,2.2,25.59,30.31,33.78,38.31,43.27,53220,63040,70270,79690,90000,,
