AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,310,4,3.038,0.92,,,48.88,101670,1.4,32.8,37.06,46.54,55.04,70.13,68220,77080,96790,114490,145870,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,40,12.4,0.361,0.31,,,56.96,118490,2.8,40.41,44.72,58.36,65.1,72,84050,93010,121390,135410,149750,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,40,33.7,0.351,1.51,,,53.81,111920,8,30.19,41.5,50.74,66.07,86.22,62790,86320,105540,137420,179350,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,50,10.6,0.502,0.48,,,34.77,72310,5,23.25,27.98,36.37,41.31,44.34,48350,58190,75650,85920,92220,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,340,6.1,3.332,0.73,,,30.47,63380,1.2,21.9,23.09,28.51,35.95,41.6,45550,48020,59300,74770,86530,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,40,7,0.378,0.75,,,46.85,97440,3.7,24.53,33.88,37.1,63.84,72.74,51020,70470,77170,132790,151300,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,220,4.6,2.145,1.01,,,43.07,89590,1.5,30.58,35.73,42.01,49.73,55.38,63600,74320,87380,103440,115190,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,50,14.3,0.477,0.6,,,41.48,86270,2.4,26.92,31.03,40.54,51.4,56.49,55990,64540,84320,106910,117500,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,660,3.8,6.565,0.6,,,57.58,119760,1.2,37.94,45.86,56.67,66.67,79.12,78920,95400,117870,138680,164580,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1253,Software Quality Assurance Analysts and Testers,detailed,100,20.6,0.968,0.72,,,48.35,100560,3.9,31.92,35.14,47.49,57.8,72.81,66390,73090,98770,120220,151430,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1254,Web Developers,detailed,40,14.8,0.384,0.68,,,40.33,83890,4,19,28.71,39.14,48.83,65.13,39510,59720,81420,101560,135470,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1255,Web and Digital Interface Designers,detailed,40,7.5,0.436,0.6,,,37.04,77050,2.7,24.13,28.4,33.83,50.07,50.51,50190,59070,70360,104150,105070,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,140,9.1,1.391,0.48,,,44.07,91660,2,26.94,35,35.86,59.98,62.4,56030,72790,74580,124760,129800,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,50,7.2,0.53,0.68,,,44,91520,3.9,29.63,34.03,40.91,52.99,57.49,61620,70790,85100,110210,119580,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,70,12,0.692,0.55,,,40.92,85100,4.6,25.37,29.95,38.44,48.17,63.32,52770,62300,79960,100190,131700,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,1850,3.7,18.362,1.1,,,41.87,87090,1.2,25.1,30.29,38.94,50.08,62.31,52210,63010,81000,104170,129600,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-1011,"Architects, Except Landscape and Naval",detailed,60,13.5,0.551,0.75,,,38.65,80400,4.6,22.84,29.79,36.81,45.12,46.47,47510,61960,76570,93840,96650,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,detailed,80,23.4,0.764,0.35,,,45.55,94730,6.8,30.73,35.14,43.27,52.08,58.21,63910,73100,90010,108330,121070,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-2071,Electrical Engineers,detailed,140,7.5,1.413,1.16,,,53.04,110330,2.6,34.62,40.78,50.25,61.97,69.93,72020,84820,104520,128900,145460,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,300,5.7,2.999,1.37,,,44.02,91560,1.4,30.29,36.76,40.38,51.85,61.32,63010,76470,83990,107840,127540,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-2141,Mechanical Engineers,detailed,550,7.6,5.491,2.96,,,48.12,100090,2,31.45,38.06,47.58,55.38,66.5,65410,79150,98960,115190,138330,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-2199,"Engineers, All Other",detailed,50,31.4,0.528,0.53,,,44.12,91760,5.6,21.05,33.22,43.8,57.69,67.14,43780,69100,91100,120000,139650,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-3011,Architectural and Civil Drafters,detailed,60,16.4,0.642,0.88,,,26.9,55960,3.2,21.87,23.5,25.1,29.68,35.09,45490,48890,52210,61730,72990,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,50,17.5,0.494,0.77,,,31.05,64570,3.7,18.81,25.19,30.29,39.84,40.5,39120,52400,63010,82860,84250,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-3026,Industrial Engineering Technologists and Technicians,detailed,130,7.2,1.331,2.77,,,29.56,61490,1.3,23.94,27.88,28.97,30.15,37.57,49790,57990,60260,62710,78140,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-3027,Mechanical Engineering Technologists and Technicians,detailed,140,14.4,1.384,5.4,,,32.1,66780,1.1,24.36,28.81,31.7,36.7,39.92,50660,59920,65940,76340,83020,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,30,9.1,0.321,0.74,,,29.53,61410,1.2,24.52,24.52,28.37,31.24,39.19,51010,51010,59010,64980,81520,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,1500,5.5,14.854,1.62,,,37.1,77160,1.4,20.2,25.81,32.63,45.08,57.1,42020,53670,67870,93770,118760,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-1021,Biochemists and Biophysicists,detailed,80,14.5,0.785,3.59,,,48.11,100080,5.9,29.36,38.27,41.5,51.24,67.89,61070,79590,86310,106580,141210,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-1022,Microbiologists,detailed,90,43.2,0.894,6.3,,,42.72,88860,4.4,30.59,34.51,39.34,48.75,50.05,63640,71770,81830,101390,104100,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-1029,"Biological Scientists, All Other",detailed,50,46.8,0.488,1.21,,,43.19,89830,9.1,22.45,34.71,42.8,47.51,58.41,46700,72200,89020,98830,121490,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-1031,Conservation Scientists,detailed,50,20.9,0.452,3.01,,,29.11,60540,7.6,17.78,17.78,29.29,34.82,42.32,36980,36980,60920,72420,88030,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-1042,"Medical Scientists, Except Epidemiologists",detailed,160,2.9,1.566,1.74,,,40.86,84990,1.6,31.11,31.36,39,47.87,57.73,64710,65230,81110,99570,120070,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-3033,Clinical and Counseling Psychologists,detailed,70,14.9,0.703,1.49,,,40.23,83680,7.1,18.08,22.78,42.27,55.54,62.63,37600,47370,87920,115520,130260,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-3034,School Psychologists,detailed,70,16.6,0.652,1.58,,,39.78,82740,2.5,34.13,35.8,39.37,40.97,48.28,70990,74470,81890,85220,100430,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-3051,Urban and Regional Planners,detailed,50,22.7,0.461,1.64,,,34.22,71170,8.1,24.82,24.82,34.12,39.32,45.26,51630,51630,70980,81780,94140,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-4021,Biological Technicians,detailed,180,19.2,1.76,3.47,,,29.07,60460,1.5,19.19,22.36,24.77,39.64,40.73,39900,46500,51520,82440,84720,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-4071,Forest and Conservation Technicians,detailed,40,8.6,0.391,2.07,,,22.6,47000,6.1,11.58,16.62,22.45,29.18,35.69,24090,34570,46700,60690,74240,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,100,4.8,0.966,2.03,,,28.05,58340,6.6,18.72,22.45,24.46,29.32,36.65,38950,46700,50880,60990,76220,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,19-5011,Occupational Health and Safety Specialists,detailed,80,15.9,0.766,0.95,,,40.64,84540,3.2,26.89,31.06,37.46,45.49,61.59,55930,64610,77920,94620,128110,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,1640,2.5,16.265,1.02,,,27.19,56560,0.8,17.64,20.21,25.14,31.9,38.64,36680,42040,52300,66350,80370,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,230,6.5,2.291,1.06,,,31.09,64660,1.5,23,24.3,29.55,35.6,44.25,47840,50550,61460,74050,92030,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,21-1015,Rehabilitation Counselors,detailed,50,26.2,0.449,0.8,,,22.94,47720,3.4,16.29,18.32,22.52,26.54,29.17,33870,38110,46850,55200,60670,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,380,6,3.778,1.44,,,29.02,60370,1.3,19.19,22.02,28.97,34.68,41.03,39900,45790,60250,72140,85340,,
