AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,100,20,0.981,0.65,,30.57,63580,6.8,17.69,23.76,28.54,36.35,47.12,36800,49430,59360,75610,98010,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,140,9.3,1.335,1.25,,27.96,58160,2.5,19.35,22.21,26.81,32.34,40.02,40250,46190,55770,67270,83240,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,60,16.9,0.58,0.18,,52.37,108930,9.6,17.98,28.67,47.02,64.14,92.99,37390,59640,97790,133400,193420,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,3700,2.8,36.166,0.65,,33.36,69380,1.5,19.92,24.7,30.31,40.09,49.55,41430,51380,63050,83400,103060,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,450,4.4,4.427,1.54,,29.66,61700,2.1,19.45,23,28.8,36.44,43.16,40450,47830,59910,75800,89770,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,110,13.5,1.048,0.48,,31.28,65060,2.7,17.53,22.13,30.31,38.22,48.77,36450,46020,63040,79500,101450,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,100,14.7,0.994,0.7,,31.98,66510,5.7,20.51,23.63,28.78,38.44,53.86,42670,49150,59870,79960,112040,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,300,6.5,2.97,0.69,,30.48,63400,2.3,19.33,23.15,29.04,37.15,45.97,40210,48140,60390,77280,95620,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,90,11.2,0.904,0.73,,32.38,67350,3.1,20.57,23.12,30.44,40.77,48.88,42780,48100,63320,84800,101670,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,240,11.6,2.315,0.48,,39.79,82770,4.8,24.43,28.86,37.96,47.23,61.18,50800,60020,78950,98240,127260,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,80,10.4,0.801,1,,25.12,52240,3.4,16.92,19.63,24.42,28.41,31.14,35200,40820,50790,59080,64770,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,170,12.9,1.646,2.96,,30.39,63220,5.1,18.91,22.55,28.4,38.26,46.88,39340,46910,59070,79590,97510,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,50,4.5,0.477,0.79,,31.65,65840,2.5,21.05,24.35,31.01,37.82,45.76,43770,50650,64510,78660,95180,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,140,5.5,1.364,0.64,,32.27,67130,1.7,21.45,26.45,31.02,37.73,45.39,44610,55010,64530,78480,94410,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,250,11.8,2.444,0.53,,29.3,60940,2.7,16.84,21.8,27.51,35.29,46.24,35020,45340,57210,73400,96180,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,360,6.5,3.488,0.4,,35.92,74710,1.9,24.32,27.2,34.3,43.73,51.72,50580,56580,71340,90970,107570,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,800,4.7,7.831,0.9,,34.88,72560,2.4,23.26,26.61,30.75,40.91,50.1,48370,55350,63960,85090,104200,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,70,44.1,0.655,0.46,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,50,7.5,0.492,2.25,,21.57,44870,4,16.05,17.57,20.26,23.38,27.52,33370,36550,42150,48630,57240,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,80,15.8,0.777,0.37,,40.86,84980,5,25.16,29.37,38,50.39,61.68,52320,61100,79050,104820,128290,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,80,9.1,0.765,2.09,,16.68,34690,4.4,8.39,9.7,16.31,20.8,27.23,17460,20180,33920,43260,56630,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,60,19.2,0.633,1.39,,29.33,61010,11.3,17.79,23.95,27.61,34.84,45.91,37000,49820,57430,72480,95490,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,120,12.3,1.124,0.36,,36,74870,3.1,22.89,28.21,35.29,42.74,51.22,47620,58680,73400,88890,106540,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,2340,7,22.883,0.74,,42.37,88130,4.1,21.77,28.43,39,50.6,63.11,45270,59140,81110,105250,131280,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,360,22.9,3.527,0.88,,42.64,88690,2.2,29.42,35.08,42.91,49.06,57.3,61180,72970,89260,102050,119190,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,460,8.6,4.446,1.01,,27.37,56930,2.9,16.06,20.55,25.45,32.77,41.45,33400,42750,52940,68160,86210,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,240,5.7,2.326,0.96,,39.61,82400,1.8,27.54,32.34,38.57,46.54,54.82,57290,67260,80220,96790,114020,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-1245,Database Administrators and Architects,detailed,50,4,0.463,0.54,,45.64,94920,2.7,28.15,34.59,46.1,56.8,63.53,58550,71950,95890,118130,132130,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,230,12.1,2.24,1.65,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,630,6.9,6.122,0.64,,55.76,115990,8,31.34,40.46,50.69,62.34,79.36,65190,84150,105440,129670,165070,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-1257,Web Developers and Digital Interface Designers,detailed,80,14.9,0.812,0.8,,32.18,66940,4.5,16.89,23.26,31.94,40.43,48.18,35130,48390,66440,84090,100220,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,100,21.3,0.957,0.36,,26.1,54290,8.1,10.21,11.81,23.22,30.73,48.94,21230,24570,48300,63930,101790,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,90,24.1,0.897,1.32,,41.94,87240,7.8,26.17,29.71,41.52,52.31,61.7,54430,61800,86370,108800,128340,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,1610,5.5,15.751,0.89,,38.1,79240,1.8,22.16,28.13,35.84,46.81,58.59,46100,58500,74540,97360,121870,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-1021,Cartographers and Photogrammetrists,detailed,30,22.7,0.305,3.96,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,detailed,60,8.6,0.598,0.28,,40.92,85120,2.9,27.96,32.92,37.08,47.75,58.8,58150,68470,77120,99330,122300,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-2071,Electrical Engineers,detailed,160,22,1.561,1.24,,45.88,95430,4.6,27.34,32.15,43.22,58.53,70.6,56860,66880,89900,121730,146850,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,280,9.4,2.753,1.39,,44.76,93110,1.2,32.15,36.59,44.28,52.66,60.65,66880,76120,92110,109530,126160,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-2141,Mechanical Engineers,detailed,400,8.2,3.861,1.85,,43.89,91290,2.7,31.27,35.24,42.32,52.76,61,65040,73300,88020,109740,126890,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-2199,"Engineers, All Other",detailed,30,17.6,0.294,0.28,,44.4,92350,6.9,29.43,33.51,42.35,55.28,65.98,61220,69690,88080,114980,137240,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-3011,Architectural and Civil Drafters,detailed,90,15.7,0.894,1.33,,24.28,50500,3.8,18.14,20.46,23.21,28.16,33.2,37740,42550,48280,58560,69050,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-3013,Mechanical Drafters,detailed,40,34.2,0.388,1.03,,28.05,58340,7,17.15,20.13,29.79,35.93,38.83,35660,41870,61950,74740,80770,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,50,18.6,0.449,0.54,,28.92,60160,1.8,21.11,24.88,29.3,33.6,37.48,43910,51740,60950,69880,77970,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-3026,Industrial Engineering Technologists and Technicians,detailed,130,4,1.29,2.82,,28.63,59560,2.2,21.42,24.75,27.72,30.68,37.38,44550,51490,57650,63810,77750,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-3027,Mechanical Engineering Technologists and Technicians,detailed,100,8.4,0.97,3.33,,28.6,59490,2.1,19.41,25.11,28.87,33.76,37.76,40380,52230,60060,70230,78540,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,80,8.3,0.764,1.27,,26.4,54910,4.6,17.31,20.73,25.02,30.37,37.29,36010,43120,52040,63170,77560,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,1310,3.7,12.802,1.46,,33.81,70330,3.3,18.94,24.12,31.29,40.55,53.78,39390,50170,65090,84350,111860,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-1021,Biochemists and Biophysicists,detailed,70,9.6,0.658,3.08,,48.14,100120,2.1,32.86,40.36,49.01,57.4,62.39,68340,83950,101940,119400,129780,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-1022,Microbiologists,detailed,60,0,0.586,4.71,,35.36,73550,1.8,25.7,28.46,33.61,39.73,48.11,53460,59190,69910,82630,100080,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-1029,"Biological Scientists, All Other",detailed,50,26.7,0.502,1.84,,36.64,76200,5.3,19.89,29.43,37.79,44.79,50.63,41370,61220,78600,93160,105300,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-1042,"Medical Scientists, Except Epidemiologists",detailed,210,11.2,2.028,2.34,,38.74,80580,1.8,26.35,30.56,36.07,43.61,58.29,54820,63570,75020,90720,121250,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-2031,Chemists,detailed,40,5.2,0.364,0.64,,39.4,81960,3.2,21.76,27.35,38.23,51.61,59.7,45260,56890,79520,107350,124170,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-3031,"Clinical, Counseling, and School Psychologists",detailed,100,24.4,1.008,1.31,,41.41,86130,3.7,29.67,33.3,37.79,49.42,58.89,61720,69260,78610,102790,122500,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-3051,Urban and Regional Planners,detailed,50,46.9,0.514,1.96,,28.25,58760,3.1,18.96,21.29,26.91,34.5,38.11,39440,44280,55970,71760,79270,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-4021,Biological Technicians,detailed,270,0.9,2.646,4.89,,23.99,49910,1.9,16.37,19.04,23.04,27.96,33.54,34060,39610,47920,58150,69760,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,19-5011,Occupational Health and Safety Specialists,detailed,60,5.5,0.588,0.93,,37.22,77410,2,22.67,29.57,38.04,45.4,50.47,47150,61510,79120,94440,104980,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,1340,5.8,13.065,0.86,,23.28,48430,2.9,13.88,16.74,21.86,29.1,35.7,28860,34810,45480,60530,74250,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,250,11,2.438,1.21,,27.26,56690,2.8,17.49,21.36,26.46,33.18,38.4,36380,44440,55030,69000,79870,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1015,Rehabilitation Counselors,detailed,50,20.2,0.522,0.7,,18.63,38760,6,12.78,14.59,17.27,22.43,29.13,26590,30360,35930,46650,60590,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,280,12.6,2.781,1.44,,23.73,49360,3.5,16.39,18.75,23.69,28.11,32.34,34100,39010,49270,58470,67260,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1021,"Child, Family, and School Social Workers",detailed,60,20.8,0.612,0.27,,23.93,49780,2.2,13.67,19.23,23.53,29.17,33.2,28440,39990,48950,60670,69050,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1022,Healthcare Social Workers,detailed,90,1.5,0.9,0.76,,35.17,73160,2.1,25.2,30.44,34.62,39.69,47.25,52410,63310,72010,82560,98280,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1023,Mental Health and Substance Abuse Social Workers,detailed,60,40.2,0.584,0.73,,26.68,55500,4.5,20.71,24.57,27.11,29.51,30.99,43070,51100,56390,61370,64450,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1091,Health Education Specialists,detailed,40,34.6,0.428,1.07,,22.76,47350,9.2,14.99,16.2,18.28,29.14,38.82,31170,33690,38020,60620,80740,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1093,Social and Human Service Assistants,detailed,280,7.6,2.761,1,,16.05,33380,2.1,12.07,13.47,15.63,18.11,21.68,25110,28020,32510,37660,45100,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1094,Community Health Workers,detailed,50,15.1,0.458,1.14,,22.41,46620,9.6,15.48,16.65,18.65,26.81,35.87,32190,34640,38780,55760,74600,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-1099,"Community and Social Service Specialists, All Other",detailed,100,14.7,0.972,1.46,,18.43,38320,3.8,11.51,15.68,17.5,19.8,25.37,23940,32620,36390,41180,52780,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,21-2011,Clergy,detailed,30,21.6,0.333,0.92,,25.88,53830,2.9,10.89,20.52,26.21,31.58,37.24,22640,42680,54520,65690,77460,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,280,9.1,2.756,0.35,,41.79,86920,5.6,17.54,22.06,30.01,47.96,79.61,36490,45880,62410,99760,165580,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,23-1011,Lawyers,detailed,180,4.7,1.805,0.4,,51.66,107450,6.9,24.3,28.67,40.12,63.37,#,50540,59630,83460,131800,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,23-2011,Paralegals and Legal Assistants,detailed,80,26.8,0.826,0.37,,21.71,45150,3.6,16.41,18.26,21.06,24.21,29.28,34130,37970,43810,50350,60890,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,9130,4.5,89.168,1.47,,29.01,60340,10.6,12.67,16.31,24.01,33.82,47.18,26360,33920,49940,70340,98130,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,25-1011,"Business Teachers, Postsecondary",detailed,170,6.4,1.619,2.83,,*,159960,26.7,*,*,*,*,*,53920,68930,103720,#,#,True,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,25-1021,"Computer Science Teachers, Postsecondary",detailed,40,8.4,0.406,1.88,,*,*,*,*,*,*,*,*,*,*,*,*,*,True,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,40,9.9,0.433,1.24,,*,95530,7.9,*,*,*,*,*,51920,62580,90300,124320,155050,True,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,25-1042,"Biological Science Teachers, Postsecondary",detailed,150,11.7,1.47,4.07,,*,152710,12.2,*,*,*,*,*,58420,91420,138050,193380,#,True,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,25-1053,"Environmental Science Teachers, Postsecondary",detailed,80,43.8,0.748,18.11,,*,75690,16.3,*,*,*,*,*,44430,50000,61690,78450,119560,True,
