Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Interdisciplinary studies,,,,30,ucsd,2017
Parks and recreation,,,,31,ucsd,2017
Philosophy and religious studies,,,<1%,38,ucsd,2017
Theology and religious vocations,,,,39,ucsd,2017
Physical sciences,,,3%,40,ucsd,2017
Science technologies,,,,41,ucsd,2017
Psychology,,,5%,42,ucsd,2017
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43,ucsd,2017
Public administration and social services,,,,44,ucsd,2017
Social sciences,,,23%,45,ucsd,2017
Construction trades,,,,46,ucsd,2017
Mechanic and repair technologies,,,,47,ucsd,2017
Precision production,,,,48,ucsd,2017
Transportation and materials moving,,,,49,ucsd,2017
Visual and performing arts,,,3%,50,ucsd,2017
Health professions and related programs,,,3%,51,ucsd,2017
Business/marketing,,,,52,ucsd,2017
History,,,1%,54,ucsd,2017
Other,,,,,ucsd,2017
TOTAL (should = 100%),0.00%,0.00%,100.00%,,ucsd,2017
Agriculture,,,0.0%,1,umich,2017
Natural resources and conservation,,,1.3%,3,umich,2017
Architecture,,,0.8%,4,umich,2017
"Area, ethnic, and gender studies",,,1.3%,5,umich,2017
Communication/journalism,,,3.3%,9,umich,2017
Communication technologies,,,0.0%,10,umich,2017
Computer and information sciences,,,8.6%,11,umich,2017
Personal and culinary services,,,0.0%,12,umich,2017
Education,,,1.0%,13,umich,2017
Engineering,,,17.1%,14,umich,2017
Engineering technologies,,,0.0%,15,umich,2017
"Foreign languages, literatures, and linguistics",,,2.4%,16,umich,2017
Family and consumer sciences,,,0.0%,19,umich,2017
Law/legal studies,,,0.0%,22,umich,2017
English,,,2.3%,23,umich,2017
Liberal arts/general studies,,,1.2%,24,umich,2017
Library science,,,0.0%,25,umich,2017
Biological/life sciences,,,9.4%,26,umich,2017
Mathematics and statistics,,,3.2%,27,umich,2017
Military science and military technologies,,,0.0%,28 & 29,umich,2017
Interdisciplinary studies,,,3.3%,30,umich,2017
Parks and recreation,,,3.7%,31,umich,2017
Philosophy and religious studies,,,0.3%,38,umich,2017
Theology and religious vocations,,,0.0%,39,umich,2017
Physical sciences,,,1.7%,40,umich,2017
Science technologies,,,0.0%,41,umich,2017
Psychology,,,9.6%,42,umich,2017
"Homeland Security, law enforcement, firefighting, and protective services",,,0.0%,43,umich,2017
Public administration and social services,,,1.0%,44,umich,2017
Social sciences,,,11.2%,45,umich,2017
Construction trades,,,0.0%,46,umich,2017
Mechanic and repair technologies,,,0.0%,47,umich,2017
Precision production,,,0.0%,48,umich,2017
Transportation and materials moving,,,0.0%,49,umich,2017
Visual and performing arts,,,5.3%,50,umich,2017
Health professions and related programs,,,3.0%,51,umich,2017
Business/marketing,,,7.6%,52,umich,2017
History,,,1.2%,54,umich,2017
Other,,,0.0%,,umich,2017
TOTAL,,,100%,,umich,2017
Agriculture,,,0.00%,1,colgate,2017
Natural resources and conservation,,,4.42%,3,colgate,2017
Architecture,,,0.00%,4,colgate,2017
"Area, ethnic, and gender studies",,,3.06%,5,colgate,2017
Communication/journalism,,,0.00%,9,colgate,2017
Communication technologies,,,0.00%,10,colgate,2017
Computer and information sciences,,,3.74%,11,colgate,2017
Personal and culinary services,,,0.00%,12,colgate,2017
Education,,,3.17%,13,colgate,2017
Engineering,,,0.00%,14,colgate,2017
Engineering technologies,,,0.00%,15,colgate,2017
"Foreign languages, literatures, and linguistics",,,4.99%,16,colgate,2017
Family and consumer sciences,,,0.00%,19,colgate,2017
Law/legal studies,,,0.00%,22,colgate,2017
English,,,4.88%,23,colgate,2017
Liberal arts/general studies,,,0.00%,24,colgate,2017
Library science,,,0.00%,25,colgate,2017
Biological/life sciences,,,12.59%,26,colgate,2017
Mathematics and statistics,,,2.27%,27,colgate,2017
Military science and military technologies,,,0.00%,28 & 29,colgate,2017
Interdisciplinary studies,,,4.08%,30,colgate,2017
Parks and recreation,,,0.00%,31,colgate,2017
Philosophy and religious studies,,,3.97%,38,colgate,2017
Theology and religious vocations,,,0.00%,39,colgate,2017
Physical sciences,,,5.10%,40,colgate,2017
Science technologies,,,0.00%,41,colgate,2017
Psychology,,,5.33%,42,colgate,2017
"Homeland Security, law enforcement, firefighting, and
protective services",,,0.00%,43,colgate,2017
Public administration and social services,,,0.00%,44,colgate,2017
Social sciences,,,32.09%,45,colgate,2017
Construction trades,,,0.00%,46,colgate,2017
Mechanic and repair technologies,,,0.00%,47,colgate,2017
Precision production,,,0.00%,48,colgate,2017
Transportation and materials moving,,,0.00%,49,colgate,2017
Visual and performing arts,,,3.97%,50,colgate,2017
Health professions and related programs,,,0.00%,51,colgate,2017
Business/marketing,,,0.00%,52,colgate,2017
History,,,6.35%,54,colgate,2017
Other,,,,,colgate,2017
TOTAL (should = 100%),0.00%,0.00%,100.00%,,colgate,2017
Agriculture,,,0.60%,1,asu,2017
Natural resources and conservation,,,2.31%,3,asu,2017
Architecture,,,0.14%,4,asu,2017
"Area, ethnic, and gender studies",,,0.22%,5,asu,2017
Communication/journalism,,,6.92%,9,asu,2017
Communication technologies,,,0.00%,10,asu,2017
Computer and information sciences,,,1.68%,11,asu,2017
Personal and culinary services,,,0.00%,12,asu,2017
Education,,,10.69%,13,asu,2017
Engineering,,,0.00%,14,asu,2017
Engineering technologies,,,1.46%,15,asu,2017
"Foreign languages, literatures, and linguistics",,,0.96%,16,asu,2017
Family and consumer sciences,,,1.08%,19,asu,2017
Law/legal studies,,,0.00%,22,asu,2017
English,,,2.02%,23,asu,2017
Liberal arts/general studies,,,0.65%,24,asu,2017
Library science,,,0.00%,25,asu,2017
Biological/life sciences,,,4.06%,26,asu,2017
Mathematics and statistics,,,0.84%,27,asu,2017
Military science and military technologies,,,0.00%,28 & 29,asu,2017
Interdisciplinary studies,,,0.91%,30,asu,2017
Parks and recreation,,,7.16%,31,asu,2017
Philosophy and religious studies,,,0.72%,38,asu,2017
Theology and religious vocations,,,0.00%,39,asu,2017
Physical sciences,,,3.34%,40,asu,2017
Science technologies,,,0.00%,41,asu,2017
Psychology,,,5.21%,42,asu,2017
"Homeland Security, law enforcement, firefighting, and
protective services",,,3.84%,43,asu,2017
Public administration and social services,,,2.04%,44,asu,2017
Social sciences,,,5.98%,45,asu,2017
Construction trades,,,0.00%,46,asu,2017
Mechanic and repair technologies,,,0.00%,47,asu,2017
Precision production,,,0.00%,48,asu,2017
Transportation and materials moving,,,0.00%,49,asu,2017
Visual and performing arts,,,5.21%,50,asu,2017
Health professions and related programs,,,11.34%,51,asu,2017
Business/marketing,,,19.48%,52,asu,2017
History,,,1.15%,54,asu,2017
Other,,,,,asu,2017
TOTAL (should = 100%),0.00%,0.00%,100.00%,,asu,2017
Agriculture,,,,1,caltech,2017
Natural resources and conservation,,,,3,caltech,2017
Architecture,,,,4,caltech,2017
"Area, ethnic, and gender studies",,,,5,caltech,2017
Communication/journalism,,,,9,caltech,2017
Communication technologies,,,,10,caltech,2017
Computer and information sciences,,,26%,11,caltech,2017
Personal and culinary services,,,,12,caltech,2017
Education,,,,13,caltech,2017
Engineering,,,36%,14,caltech,2017
Engineering technologies,,,,15,caltech,2017
"Foreign languages, literatures, and linguistics",,,,16,caltech,2017
Family and consumer sciences,,,,19,caltech,2017
Law/legal studies,,,,22,caltech,2017
English,,,0.4%,23,caltech,2017
Liberal arts/general studies,,,,24,caltech,2017
Library science,,,,25,caltech,2017
Biological/life sciences,,,5%,26,caltech,2017
Mathematics and statistics,,,11%,27,caltech,2017
Military science and military technologies,,,,28 & 29,caltech,2017
Interdisciplinary studies,,,,30,caltech,2017
Parks and recreation,,,,31,caltech,2017
Philosophy and religious studies,,,,38,caltech,2017
Theology and religious vocations,,,,39,caltech,2017
Physical sciences,,,20%,40,caltech,2017
Science technologies,,,,41,caltech,2017
Psychology,,,,42,caltech,2017
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,caltech,2017
Public administration and social services,,,,44,caltech,2017
Social sciences,,,,45,caltech,2017
Construction trades,,,,46,caltech,2017
Mechanic and repair technologies,,,,47,caltech,2017
Precision production,,,,48,caltech,2017
Transportation and materials moving,,,,49,caltech,2017
Visual and performing arts,,,,50,caltech,2017
Health professions and related programs,,,,51,caltech,2017
Business/marketing,,,2%,52,caltech,2017
History,,,,54,caltech,2017
Other,,,,,caltech,2017
TOTAL (should = 100%),0.00%,0.00%,100.00%,,caltech,2017
Agriculture,,,,1,dartmouth,2017
Natural resources and conservation,,,3%,3,dartmouth,2017
Architecture,,,,4,dartmouth,2017
"Area, ethnic, and gender studies",,,5%,5,dartmouth,2017
Communication/journalism,,,,9,dartmouth,2017
Communication technologies,,,,10,dartmouth,2017
Computer and information sciences,,,8%,11,dartmouth,2017
Personal and culinary services,,,,12,dartmouth,2017
Education,,,,13,dartmouth,2017
Engineering,,,8%,14,dartmouth,2017
Engineering technologies,,,,15,dartmouth,2017
"Foreign languages, literatures, and linguistics",,,3%,16,dartmouth,2017
Family and consumer sciences,,,,19,dartmouth,2017
Law/legal studies,,,,22,dartmouth,2017
English,,,2%,23,dartmouth,2017
Liberal arts/general studies,,,,24,dartmouth,2017
Library science,,,,25,dartmouth,2017
Biological/life sciences,,,9%,26,dartmouth,2017
Mathematics and statistics,,,3%,27,dartmouth,2017
Military science and military technologies,,,,28 & 29,dartmouth,2017
Interdisciplinary studies,,,1%,30,dartmouth,2017
Parks and recreation,,,,31,dartmouth,2017
Philosophy and religious studies,,,2%,38,dartmouth,2017
Theology and religious vocations,,,,39,dartmouth,2017
Physical sciences,,,4%,40,dartmouth,2017
Science technologies,,,,41,dartmouth,2017
Psychology,,,4%,42,dartmouth,2017
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,dartmouth,2017
Public administration and social services,,,,44,dartmouth,2017
Social sciences,,,37%,45,dartmouth,2017
Construction trades,,,,46,dartmouth,2017
Mechanic and repair technologies,,,,47,dartmouth,2017
Precision production,,,,48,dartmouth,2017
Transportation and materials moving,,,,49,dartmouth,2017
Visual and performing arts,,,5%,50,dartmouth,2017
Health professions and related programs,,,,51,dartmouth,2017
Business/marketing,,,,52,dartmouth,2017
History,,,6%,54,dartmouth,2017
Other,,,,,dartmouth,2017
TOTAL (should = 100%),0.00%,0.00%,100.00%,,dartmouth,2017
Agriculture,,,,1,george,2017
Natural resources and conservation,,,,3,george,2017
Architecture,,,,4,george,2017
"Area, ethnic, and gender studies",,,1.4363%,5,george,2017
Communication/journalism,,,,9,george,2017
Communication technologies,,,,10,george,2017
Computer and information sciences,6%,,1.5709%,11,george,2017
Personal and culinary services,,,,12,george,2017
Education,,,,13,george,2017
Engineering,,,,14,george,2017
Engineering technologies,,,,15,george,2017
"Foreign languages, literatures, and linguistics",,,4.8025%,16,george,2017
Family and consumer sciences,,,,19,george,2017
Law/legal studies,,,,22,george,2017
English,,,4.5332%,23,george,2017
Liberal arts/general studies,,,1.4811%,24,george,2017
Library science,,,,25,george,2017
Biological/life sciences,,,4.6679%,26,george,2017
Mathematics and statistics,,,2.1993%,27,george,2017
Military science and military technologies,,,,28 & 29,george,2017
Interdisciplinary studies,,,6.2837%,30,george,2017
Parks and recreation,,,,31,george,2017
Philosophy and religious studies,,,1.5260%,38,george,2017
Theology and religious vocations,,,,39,george,2017
Physical sciences,,,0.7181%,40,george,2017
Science technologies,,,,41,george,2017
Psychology,,,3.4560%,42,george,2017
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,george,2017
Public administration and social services,,,,44,george,2017
Social sciences,,,34.0215%,45,george,2017
Construction trades,,,,46,george,2017
Mechanic and repair technologies,,,,47,george,2017
Precision production,,,,48,george,2017
Transportation and materials moving,,,,49,george,2017
Visual and performing arts,,,1.8851%,50,george,2017
Health professions and related programs,94%,,3.5907%,51,george,2017
Business/marketing,,,26.1670%,52,george,2017
History,,,1.6607%,54,george,2017
Other,,,,,george,2017
TOTAL (should = 100%),100.00%,0.00%,100.00%,,george,2017
