year,college,CIP Code,Category,Bachelor’s,Associate,Diploma/Certificates
2014,george,26,Biological/life sciences,4.91%,,
2014,george,27,Mathematics and statistics,1.95%,,
2014,george,28 & 29,Military science and military technologies,0.00%,,
2014,george,30,Interdisciplinary studies,4.54%,,
2014,george,31,Parks and recreation,0.00%,,
2014,george,38,Philosophy and religious studies,1.41%,,
2014,george,39,Theology and religious vocations,0.00%,,
2014,george,40,Physical sciences,0.91%,,
2014,george,41,Science technologies,0.00%,,
2014,george,42,Psychology,4.09%,,
2014,george,43,"Homeland Security, law enforcement, firefighting, and
protective services",0.00%,,
2014,george,44,Public administration and social services,0.00%,,
2014,george,45,Social sciences,33.17%,,
2014,george,46,Construction trades,0.00%,,
2014,george,47,Mechanic and repair technologies,0.00%,,
2014,george,48,Precision production,0.00%,,
2014,george,49,Transportation and materials moving,0.00%,,
2014,george,50,Visual and performing arts,2.27%,,
2014,george,51,Health professions and related programs,6.91%,,100.00%
2014,george,52,Business/marketing,23.35%,,
2014,george,54,History,2.04%,,
2014,george,,Other,,,
2014,george,,TOTAL (should = 100%),100.00%,0.00%,100.00%
2014,ucsd,26.01,"Biology, General",22%,,
2014,ucsd,45.06,Economics,11%,,
2014,ucsd,14.09,Computer Engineering,9%,,
2014,ucsd,42.0101,"Psychology, General",5%,,
2014,ucsd,14.1001,Electrical and Electronics Engineering,5%,,
2014,ucsd,,Other,48%,,
2014,ucsd,,TOTAL (should = 100%),100%,,
2014,umich,1,Agriculture,0.0%,,
2014,umich,3,Natural resources and conservation,1.4%,,
2014,umich,4,Architecture,0.9%,,
2014,umich,5,"Area, ethnic, and gender studies",2.2%,,
2014,umich,9,Communication/journalism,2.8%,,
2014,umich,10,Communication technologies,0.0%,,
2014,umich,11,Computer and information sciences,4.1%,,
2014,umich,12,Personal and culinary services,0.0%,,
2014,umich,13,Education,1.2%,,
2014,umich,14,Engineering,16.0%,,
2014,umich,15,Engineering technologies,0.0%,,
2014,umich,16,"Foreign languages, literatures, and linguistics",4.3%,,
2014,umich,19,Family and consumer sciences,0.0%,,
2014,umich,22,Law/legal studies,0.0%,,
2014,umich,23,English,3.2%,,
2014,umich,24,Liberal arts/general studies,1.0%,,
2014,umich,25,Library science,0.0%,,
2014,umich,26,Biological/life sciences,9.7%,,
2014,umich,27,Mathematics and statistics,3.0%,,
2014,umich,28 & 29,Military science and military technologies,0.0%,,
2014,umich,30,Interdisciplinary studies,3.5%,,
2014,umich,31,Parks and recreation,2.8%,,
2014,umich,38,Philosophy and religious studies,0.7%,,
2014,umich,39,Theology and religious vocations,0.0%,,
2014,umich,40,Physical sciences,1.4%,,
2014,umich,41,Science technologies,0.0%,,
2014,umich,42,Psychology,10.2%,,
2014,umich,43,"Homeland Security, law enforcement, firefighting, and
protective services",0.0%,,
2014,umich,44,Public administration and social services,0.8%,,
2014,umich,45,Social sciences,14.2%,,
2014,umich,46,Construction trades,0.0%,,
2014,umich,47,Mechanic and repair technologies,0.0%,,
2014,umich,48,Precision production,0.0%,,
2014,umich,49,Transportation and materials moving,0.0%,,
2014,umich,50,Visual and performing arts,5.4%,,
2014,umich,51,Health professions and related programs,3.1%,,
2014,umich,52,Business/marketing,5.9%,,
2014,umich,54,History,2.2%,,
2014,umich,,Other,0.0%,,
2014,umich,,TOTAL (should = 100%),100.0%,0.0%,0.0%
2014,wsu,1,Agriculture,3%,,2%
2014,wsu,3,Natural resources and conservation,1%,,
2014,wsu,4,Architecture,1%,,
2014,wsu,5,"Area, ethnic, and gender studies",0%,,0%
2014,wsu,9,Communication/journalism,8%,,
2014,wsu,10,Communication technologies,,,
2014,wsu,11,Computer and information sciences,1%,,
2014,wsu,12,Personal and culinary services,,,
2014,wsu,13,Education,3%,,58%
2014,wsu,14,Engineering,10%,,0%
2014,wsu,15,Engineering technologies,,,3%
2014,wsu,16,"Foreign languages, literatures, and linguistics",1%,,
2014,wsu,19,Family and consumer sciences,4%,,23%
2014,wsu,22,Law/legal studies,,,
2014,wsu,23,English,2%,,4%
2014,wsu,24,Liberal arts/general studies,2%,,
2014,wsu,25,Library science,,,
2014,wsu,26,Biological/life sciences,6%,,1%
2014,wsu,27,Mathematics and statistics,1%,,
2014,wsu,28 & 29,Military science and military technologies,,,
2014,wsu,30,Interdisciplinary studies,1%,,3%
2014,wsu,31,Parks and recreation,3%,,
2014,wsu,38,Philosophy and religious studies,1%,,
2014,wsu,39,Theology and religious vocations,,,
2014,wsu,40,Physical sciences,1%,,
2014,wsu,41,Science technologies,,,
2014,wsu,42,Psychology,7%,,
2014,wsu,43,"Homeland Security, law enforcement, firefighting, and
protective services",3%,,1%
2014,wsu,44,Public administration and social services,0%,,
2014,wsu,45,Social sciences,12%,,
2014,wsu,46,Construction trades,,,
2014,wsu,47,Mechanic and repair technologies,,,
2014,wsu,48,Precision production,,,
2014,wsu,49,Transportation and materials moving,,,
2014,wsu,50,Visual and performing arts,1%,,
2014,wsu,51,Health professions and related programs,8%,,2%
2014,wsu,52,Business/marketing,18%,,1%
2014,wsu,54,History,2%,,
2014,wsu,,Other,,,
2014,wsu,,TOTAL (should = 100%),100.00%,0.00%,100.00%
2015,asu,1,Agriculture,0.16%,,
2015,asu,3,Natural resources and conservation,2.33%,,
2015,asu,4,Architecture,0.28%,,
2015,asu,5,"Area, ethnic, and gender studies",0.08%,,
2015,asu,9,Communication/journalism,6.41%,,
2015,asu,10,Communication technologies,,,
2015,asu,11,Computer and information sciences,1.24%,,
2015,asu,12,Personal and culinary services,,,
2015,asu,13,Education,11.50%,,
2015,asu,14,Engineering,,,
2015,asu,15,Engineering technologies,1.52%,,
2015,asu,16,"Foreign languages, literatures, and linguistics",1.01%,,
2015,asu,19,Family and consumer sciences,1.16%,,
2015,asu,22,Law/legal studies,,,
2015,asu,23,English,2.09%,,
2015,asu,24,Liberal arts/general studies,0.23%,,
2015,asu,25,Library science,,,
2015,asu,26,Biological/life sciences,3.36%,,
2015,asu,27,Mathematics and statistics,0.83%,,
2015,asu,28 & 29,Military science and military technologies,,,
2015,asu,30,Interdisciplinary studies,0.70%,,
2015,asu,31,Parks and recreation,7.32%,,
2015,asu,38,Philosophy and religious studies,0.78%,,
2015,asu,39,Theology and religious vocations,,,
2015,asu,40,Physical sciences,2.59%,,
2015,asu,41,Science technologies,,,
2015,asu,42,Psychology,7.14%,,
2015,asu,43,"Homeland Security, law enforcement, firefighting, and
protective services",4.14%,,
2015,asu,44,Public administration and social services,2.87%,,
2015,asu,45,Social sciences,6.54%,,
2015,asu,46,Construction trades,,,
2015,asu,47,Mechanic and repair technologies,,,
2015,asu,48,Precision production,,,
2015,asu,49,Transportation and materials moving,,,
2015,asu,50,Visual and performing arts,6.90%,,
2015,asu,51,Health professions and related programs,9.07%,,
2015,asu,52,Business/marketing,18.38%,,
2015,asu,54,History,1.37%,,
2015,asu,,Other,,,
2015,asu,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2015,caltech,1,Agriculture,,,
2015,caltech,3,Natural resources and conservation,,,
2015,caltech,4,Architecture,,,
2015,caltech,5,"Area, ethnic, and gender studies",,,
2015,caltech,9,Communication/journalism,,,
2015,caltech,10,Communication technologies,,,
2015,caltech,11,Computer and information sciences,21%,,
2015,caltech,12,Personal and culinary services,,,
2015,caltech,13,Education,,,
2015,caltech,14,Engineering,35%,,
2015,caltech,15,Engineering technologies,,,
2015,caltech,16,"Foreign languages, literatures, and linguistics",,,
2015,caltech,19,Family and consumer sciences,,,
2015,caltech,22,Law/legal studies,,,
2015,caltech,23,English,,,
2015,caltech,24,Liberal arts/general studies,,,
2015,caltech,25,Library science,,,
2015,caltech,26,Biological/life sciences,8%,,
2015,caltech,27,Mathematics and statistics,12%,,
2015,caltech,28 & 29,Military science and military technologies,,,
2015,caltech,30,Interdisciplinary studies,,,
2015,caltech,31,Parks and recreation,,,
2015,caltech,38,Philosophy and religious studies,,,
2015,caltech,39,Theology and religious vocations,,,
2015,caltech,40,Physical sciences,22.5%,,
2015,caltech,41,Science technologies,,,
2015,caltech,42,Psychology,,,
2015,caltech,43,"Homeland Security, law enforcement, firefighting,
and protective services",,,
2015,caltech,44,Public administration and social services,,,
2015,caltech,45,Social sciences,0.5%,,
2015,caltech,46,Construction trades,,,
2015,caltech,47,Mechanic and repair technologies,,,
2015,caltech,48,Precision production,,,
2015,caltech,49,Transportation and materials moving,,,
2015,caltech,50,Visual and performing arts,,,
2015,caltech,51,Health professions and related programs,,,
2015,caltech,52,Business/marketing,1%,,
2015,caltech,54,History,,,
2015,caltech,,Other,,,
2015,caltech,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2015,colgate,1,Agriculture,0,,
2015,colgate,3,Natural resources and conservation,3.70%,,
2015,colgate,4,Architecture,0,,
2015,colgate,5,"Area, ethnic, and gender studies",2.70%,,
2015,colgate,9,Communication/journalism,0,,
2015,colgate,10,Communication technologies,0,,
2015,colgate,11,Computer and information sciences,2.60%,,
2015,colgate,12,Personal and culinary services,0,,
2015,colgate,13,Education,1.70%,,
2015,colgate,14,Engineering,0,,
2015,colgate,15,Engineering technologies,0,,
2015,colgate,16,"Foreign languages, literatures, and linguistics",5.80%,,
2015,colgate,19,Family and consumer sciences,0,,
2015,colgate,22,Law/legal studies,0,,
2015,colgate,23,English,5.80%,,
2015,colgate,24,Liberal arts/general studies,0,,
2015,colgate,25,Library science,0,,
2015,colgate,26,Biological/life sciences,14.50%,,
2015,colgate,27,Mathematics and statistics,1.90%,,
2015,colgate,28 & 29,Military science and military technologies,0,,
2015,colgate,30,Interdisciplinary studies,3.90%,,
2015,colgate,31,Parks and recreation,0,,
2015,colgate,38,Philosophy and religious studies,5.50%,,
2015,colgate,39,Theology and religious vocations,0,,
2015,colgate,40,Physical sciences,4.80%,,
2015,colgate,41,Science technologies,0,,
2015,colgate,42,Psychology,4.90%,,
2015,colgate,43,"Homeland Security, law enforcement, firefighting, and
protective services",0,,
2015,colgate,44,Public administration and social services,0,,
2015,colgate,45,Social sciences,32.80%,,
2015,colgate,46,Construction trades,0,,
2015,colgate,47,Mechanic and repair technologies,0,,
2015,colgate,48,Precision production,0,,
2015,colgate,49,Transportation and materials moving,0,,
2015,colgate,50,Visual and performing arts,2.70%,,
2015,colgate,51,Health professions and related programs,0,,
2015,colgate,52,Business/marketing,0,,
2015,colgate,54,History,6.70%,,
2015,colgate,,Other,%,,
2015,colgate,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2015,dartmouth,1,Agriculture,,,
2015,dartmouth,3,Natural resources and conservation,2%,,
2015,dartmouth,4,Architecture,,,
2015,dartmouth,5,"Area, ethnic, and gender studies",3%,,
2015,dartmouth,9,Communication/journalism,,,
2015,dartmouth,10,Communication technologies,,,
2015,dartmouth,11,Computer and information sciences,4%,,
2015,dartmouth,12,Personal and culinary services,,,
2015,dartmouth,13,Education,,,
2015,dartmouth,14,Engineering,6%,,
2015,dartmouth,15,Engineering technologies,,,
2015,dartmouth,16,"Foreign languages, literatures, and linguistics",3%,,
2015,dartmouth,19,Family and consumer sciences,,,
2015,dartmouth,22,Law/legal studies,,,
2015,dartmouth,23,English,4%,,
2015,dartmouth,24,Liberal arts/general studies,,,
2015,dartmouth,25,Library science,,,
2015,dartmouth,26,Biological/life sciences,12%,,
2015,dartmouth,27,Mathematics and statistics,2%,,
2015,dartmouth,28 & 29,Military science and military technologies,,,
2015,dartmouth,30,Interdisciplinary studies,2%,,
2015,dartmouth,31,Parks and recreation,,,
2015,dartmouth,38,Philosophy and religious studies,1%,,
2015,dartmouth,39,Theology and religious vocations,,,
2015,dartmouth,40,Physical sciences,3%,,
2015,dartmouth,41,Science technologies,,,
2015,dartmouth,42,Psychology,6%,,
2015,dartmouth,43,"Homeland Security, law enforcement, firefighting, and
protective services",,,
2015,dartmouth,44,Public administration and social services,,,
2015,dartmouth,45,Social sciences,39%,,
2015,dartmouth,46,Construction trades,,,
2015,dartmouth,47,Mechanic and repair technologies,,,
2015,dartmouth,48,Precision production,,,
2015,dartmouth,49,Transportation and materials moving,,,
2015,dartmouth,50,Visual and performing arts,5%,,
2015,dartmouth,51,Health professions and related programs,,,
2015,dartmouth,52,Business/marketing,,,
2015,dartmouth,54,History,7%,,
2015,dartmouth,,Other,,,
2015,dartmouth,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2015,george,1,Agriculture,,,
2015,george,3,Natural resources and conservation,,,
2015,george,4,Architecture,,,
2015,george,5,"Area, ethnic, and gender studies",1.80%,,
2015,george,9,Communication/journalism,0.00%,,
2015,george,10,Communication technologies,0.00%,,
2015,george,11,Computer and information sciences,0.72%,,3.57%
2015,george,12,Personal and culinary services,0.00%,,
2015,george,13,Education,0.00%,,
2015,george,14,Engineering,0.00%,,
2015,george,15,Engineering technologies,0.00%,,
2015,george,16,"Foreign languages, literatures, and linguistics",4.73%,,
2015,george,19,Family and consumer sciences,0.00%,,
2015,george,22,Law/legal studies,0.00%,,
2015,george,23,English,3.92%,,
2015,george,24,Liberal arts/general studies,1.44%,,
2015,george,25,Library science,0.00%,,
2015,george,26,Biological/life sciences,4.82%,,
2015,george,27,Mathematics and statistics,1.85%,,
2015,george,28 & 29,Military science and military technologies,0.00%,,
2015,george,30,Interdisciplinary studies,5.40%,,
2015,george,31,Parks and recreation,0.00%,,
2015,george,38,Philosophy and religious studies,1.26%,,
2015,george,39,Theology and religious vocations,0.00%,,
2015,george,40,Physical sciences,0.63%,,
2015,george,41,Science technologies,0.00%,,
2015,george,42,Psychology,4.41%,,
2015,george,43,"Homeland Security, law enforcement, firefighting, and
protective services",0.00%,,
2015,george,44,Public administration and social services,0.00%,,
2015,george,45,Social sciences,35.10%,,
2015,george,46,Construction trades,0.00%,,
2015,george,47,Mechanic and repair technologies,0.00%,,
2015,george,48,Precision production,0.00%,,
2015,george,49,Transportation and materials moving,0.00%,,
2015,george,50,Visual and performing arts,1.89%,,
2015,george,51,Health professions and related programs,5.46%,,96.43%
2015,george,52,Business/marketing,24.93%,,
2015,george,54,History,1.67%,,
2015,george,,Other,,,
2015,george,,TOTAL (should = 100%),100%,0%,100%
2015,ucsd,26.01,"Biology, General",18%,,
2015,ucsd,45.06,Economics,14%,,
2015,ucsd,42.0,Psychology,8%,,
2015,ucsd,11.07,Computer Science,7%,,
2015,ucsd,45.1099,"Political Science and Government, Other",5%,,
2015,ucsd,,Other,48%,,
2015,ucsd,,TOTAL (should = 100%),100%,,
2015,umich,1,Agriculture,0.0%,,
2015,umich,3,Natural resources and conservation,1.4%,,
2015,umich,4,Architecture,0.9%,,
2015,umich,5,"Area, ethnic, and gender studies",2.1%,,
2015,umich,9,Communication/journalism,3.1%,,
2015,umich,10,Communication technologies,0.0%,,
2015,umich,11,Computer and information sciences,5.4%,,
2015,umich,12,Personal and culinary services,0.0%,,
2015,umich,13,Education,1.1%,,
2015,umich,14,Engineering,14.9%,,
2015,umich,15,Engineering technologies,0.0%,,
2015,umich,16,"Foreign languages, literatures, and linguistics",4.7%,,
2015,umich,19,Family and consumer sciences,0.0%,,
2015,umich,22,Law/legal studies,0.0%,,
2015,umich,23,English,3.1%,,
2015,umich,24,Liberal arts/general studies,1.0%,,
2015,umich,25,Library science,0.0%,,
2015,umich,26,Biological/life sciences,9.1%,,
2015,umich,27,Mathematics and statistics,3.3%,,
2015,umich,28 & 29,Military science and military technologies,0.0%,,
2015,umich,30,Interdisciplinary studies,3.5%,,
2015,umich,31,Parks and recreation,2.9%,,
2015,umich,38,Philosophy and religious studies,0.7%,,
2015,umich,39,Theology and religious vocations,0.0%,,
2015,umich,40,Physical sciences,1.6%,,
2015,umich,41,Science technologies,0.0%,,
2015,umich,42,Psychology,10.2%,,
2015,umich,43,"Homeland Security, law enforcement, firefighting,
and protective services",0.0%,,
2015,umich,44,Public administration and social services,0.8%,,
2015,umich,45,Social sciences,13.7%,,
2015,umich,46,Construction trades,0.0%,,
2015,umich,47,Mechanic and repair technologies,0.0%,,
2015,umich,48,Precision production,0.0%,,
2015,umich,49,Transportation and materials moving,0.0%,,
2015,umich,50,Visual and performing arts,5.7%,,
2015,umich,51,Health professions and related programs,2.1%,,
2015,umich,52,Business/marketing,6.6%,,
2015,umich,54,History,2.3%,,
2015,umich,,Other,,,
2015,umich,,TOTAL (should = 100%),100%,0%,0%
2015,wsu,1,Agriculture,3%,,3%
2015,wsu,3,Natural resources and conservation,1%,,
2015,wsu,4,Architecture,1%,,
2015,wsu,5,"Area, ethnic, and gender studies",0%,,
2015,wsu,9,Communication/journalism,8%,,
2015,wsu,10,Communication technologies,,,
2015,wsu,11,Computer and information sciences,2%,,0%
2015,wsu,12,Personal and culinary services,,,
2015,wsu,13,Education,3%,,46%
2015,wsu,14,Engineering,11%,,
2015,wsu,15,Engineering technologies,,,6%
2015,wsu,16,"Foreign languages, literatures, and linguistics",1%,,
2015,wsu,19,Family and consumer sciences,4%,,25%
2015,wsu,22,Law/legal studies,,,
2015,wsu,23,English,2%,,3%
2015,wsu,24,Liberal arts/general studies,2%,,
2015,wsu,25,Library science,,,
2015,wsu,26,Biological/life sciences,6%,,2%
2015,wsu,27,Mathematics and statistics,1%,,
2015,wsu,28 & 29,Military science and military technologies,,,
2015,wsu,30,Interdisciplinary studies,1%,,5%
2015,wsu,31,Parks and recreation,4%,,
2015,wsu,38,Philosophy and religious studies,0%,,
2015,wsu,39,Theology and religious vocations,,,
2015,wsu,40,Physical sciences,1%,,
2015,wsu,41,Science technologies,,,
2015,wsu,42,Psychology,6%,,
2015,wsu,43,"Homeland Security, law enforcement, firefighting, and
protective services",3%,,1%
2015,wsu,44,Public administration and social services,0%,,
2015,wsu,45,Social sciences,12%,,
2015,wsu,46,Construction trades,,,
2015,wsu,47,Mechanic and repair technologies,,,
2015,wsu,48,Precision production,,,
2015,wsu,49,Transportation and materials moving,,,
2015,wsu,50,Visual and performing arts,2%,,
2015,wsu,51,Health professions and related programs,7%,,1%
2015,wsu,52,Business/marketing,20%,,8%
2015,wsu,54,History,1%,,
2015,wsu,,Other,,,
2015,wsu,,TOTAL (should = 100%),100.00%,0.00%,100.00%
2016,asu,1,Agriculture,0.4%,,
2016,asu,3,Natural resources and conservation,2.7%,,
2016,asu,4,Architecture,0.2%,,
2016,asu,5,"Area, ethnic, and gender studies",0.1%,,
2016,asu,9,Communication/journalism,7.9%,,
2016,asu,10,Communication technologies,,,
2016,asu,11,Computer and information sciences,1.4%,,
2016,asu,12,Personal and culinary services,,,
2016,asu,13,Education,10.5%,,
2016,asu,14,Engineering,,,
2016,asu,15,Engineering technologies,1.4%,,
2016,asu,16,"Foreign languages, literatures, and linguistics",1.0%,,
2016,asu,19,Family and consumer sciences,1.2%,,
2016,asu,22,Law/legal studies,,,
2016,asu,23,English,1.8%,,
2016,asu,24,Liberal arts/general studies,0.4%,,
2016,asu,25,Library science,,,
2016,asu,26,Biological/life sciences,3.2%,,
2016,asu,27,Mathematics and statistics,0.9%,,
2016,asu,28 & 29,Military science and military technologies,,,
2016,asu,30,Interdisciplinary studies,0.6%,,
2016,asu,31,Parks and recreation,7.4%,,
2016,asu,38,Philosophy and religious studies,0.7%,,
2016,asu,39,Theology and religious vocations,,,
2016,asu,40,Physical sciences,2.6%,,
2016,asu,41,Science technologies,,,
2016,asu,42,Psychology,6.1%,,
2016,asu,43,"Homeland Security, law enforcement, firefighting, and
protective services",4.1%,,
2016,asu,44,Public administration and social services,2.6%,,
2016,asu,45,Social sciences,6.1%,,
2016,asu,46,Construction trades,,,
2016,asu,47,Mechanic and repair technologies,,,
2016,asu,48,Precision production,,,
2016,asu,49,Transportation and materials moving,,,
2016,asu,50,Visual and performing arts,6.2%,,
