Category,Diploma/Certificates,Associate,CIP Code,college,year,Bachelor’s
Libraryscience,,,25,caltech,2022,
Biological/life sciences,,,26,caltech,2022,5.0
Mathematicsandstatistics,,,27,caltech,2022,6.4
Militaryscienceandmilitarytechnologies,,,28and29,caltech,2022,
Interdisciplinary studies,,,30,caltech,2022,
Parksandrecreation,,,31,caltech,2022,
Philosophyandreligiousstudies,,,38,caltech,2022,
Theologyandreligiousvocations,,,39,caltech,2022,
Physicalsciences,,,40,caltech,2022,19.7
Sciencetechnologies,,,41,caltech,2022,
Psychology,,,42,caltech,2022,
"HomelandSecurity,lawenforcement,firefighting,and
pppprotective services",,,43.0,caltech,2022,
Publicadministrationandsocialservices,,,44.0,caltech,2022,
Socialsciences,,,45.0,caltech,2022,
Construction trades,,,46.0,caltech,2022,
Mechanicandrepairtechnologies,,,47.0,caltech,2022,
Precisionproduction,,,48.0,caltech,2022,
Transportationandmaterialsmoving,,,49.0,caltech,2022,
Visualandperformingarts,,,50.0,caltech,2022,
Healthprofessionsandrelatedprograms,,,51.0,caltech,2022,
Business/marketing,,,52.0,caltech,2022,0.9
History,,,54.0,caltech,2022,
Other,,,,caltech,2022,
TOTAL(shouldbe=100%),0.0,0.0,,caltech,2022,99.9
Agriculture,,,01,dartmouth,2022,
Natural resources and conservation,,,03,dartmouth,2022,3%
Architecture,,,04,dartmouth,2022,
"Area, ethnic, and gender studies",,,05,dartmouth,2022,5%
Communication/journalism,,,09,dartmouth,2022,
Communication technologies,,,10,dartmouth,2022,
Computer and information sciences,,,11,dartmouth,2022,10%
Personal and culinary services,,,12,dartmouth,2022,
Education,,,13,dartmouth,2022,
Engineering,,,14,dartmouth,2022,9%
Engineering technologies,,,15,dartmouth,2022,
"Foreign languages, literatures, and linguistics",,,16,dartmouth,2022,2%
Family and consumer sciences,,,19,dartmouth,2022,
Law/legal studies,,,22,dartmouth,2022,
English,,,23,dartmouth,2022,3%
Liberal arts/general studies,,,24,dartmouth,2022,
Library science,,,25,dartmouth,2022,
Biological/life sciences,,,26,dartmouth,2022,7%
Mathematics and statistics,,,27,dartmouth,2022,9%
Military science and military technologies,,,28 & 29,dartmouth,2022,
Interdisciplinary studies,,,30,dartmouth,2022,3%
Parks and recreation,,,31,dartmouth,2022,
Philosophy and religious studies,,,38,dartmouth,2022,2%
Theology and religious vocations,,,39,dartmouth,2022,
Physical sciences,,,40,dartmouth,2022,2%
Science technologies,,,41,dartmouth,2022,
Psychology,,,42,dartmouth,2022,6%
"Homeland Security, law enforcement, firefighting,
and protective services",,,43,dartmouth,2022,
Public administration and social services,,,44,dartmouth,2022,
Social sciences,,,45,dartmouth,2022,32%
Construction trades,,,46,dartmouth,2022,
Mechanic and repair technologies,,,47,dartmouth,2022,
Precision production,,,48,dartmouth,2022,
Transportation and materials moving,,,49,dartmouth,2022,
Visual and performing arts,,,50,dartmouth,2022,5%
Health professions and related programs,,,51,dartmouth,2022,
Business/marketing,,,52,dartmouth,2022,
History,,,54,dartmouth,2022,3%
Other,,,,dartmouth,2022,
TOTAL (should = 100%),0.00%,0.00%,,dartmouth,2022,100.00%
Agriculture,,,1,asu,2022,0.39
Natural resources and conservation,,,3,asu,2022,2.74
Architecture,,,4,asu,2022,0.12
"Area, ethnic, and gender studies",,,5,asu,2022,0.09
Communication/journalism,,,9,asu,2022,8.14
Communication technologies,,,10,asu,2022,0.16
Computer and information sciences,,,11,asu,2022,1.55
Personal and culinary services,,,12,asu,2022,0.0
Education,,,13,asu,2022,9.32
Engineering,,,14,asu,2022,0.0
Engineering technologies,,,15,asu,2022,1.29
"Foreign languages, literatures, and linguistics",,,16,asu,2022,0.67
Family and consumer sciences,,,19,asu,2022,1.73
Law/legal studies,,,22,asu,2022,0.0
English,,,23,asu,2022,1.48
Liberal arts/general studies,,,24,asu,2022,0.37
Library science,,,25,asu,2022,0.0
Biological/life sciences,,,26,asu,2022,3.62
Mathematics and statistics,,,27,asu,2022,1.04
Military science and military technologies,,,28 and 29,asu,2022,0.0
Interdisciplinary studies,,,30,asu,2022,0.35
Parks and recreation,,,31,asu,2022,8.79
Philosophy and religious studies,,,38,asu,2022,0.62
Theology and religious vocations,,,39,asu,2022,0.0
Physical sciences,,,40,asu,2022,2.24
Science technologies,,,41,asu,2022,0.0
Psychology,,,42,asu,2022,7.13
"Homeland Security, law enforcement, firefighting,
and protective services",,,43,asu,2022,3.34
Public administration and social services,,,44,asu,2022,2.58
Social sciences,,,45,asu,2022,5.83
Construction trades,,,46,asu,2022,
Mechanic and repair technologies,,,47,asu,2022,
Precision production,,,48,asu,2022,
Transportation and materials moving,,,49,asu,2022,
Visual and performing arts,,,50,asu,2022,5.72
Health professions and related programs,,,51,asu,2022,9.64
Business/marketing,,,52,asu,2022,20.2
History,,,54,asu,2022,0.85
Other,,,,asu,2022,
Agriculture,,,1,umich,2022,
Natural resources and conservation,,,3,umich,2022,1%
Architecture,,,4,umich,2022,1%
"Area, ethnic, and gender studies",,,5,umich,2022,1%
Communication/journalism,,,9,umich,2022,3%
Communication technologies,,,10,umich,2022,
Computer and information sciences,,,11,umich,2022,14%
Personal and culinary services,,,12,umich,2022,
Education,,,13,umich,2022,1%
Engineering,,,14,umich,2022,15%
Engineering technologies,,,15,umich,2022,0%
"Foreign languages, literatures, and linguistics",,,16,umich,2022,2%
Family and consumer sciences,,,19,umich,2022,
Law/legal studies,,,22,umich,2022,
English,,,23,umich,2022,1%
Liberal arts/general studies,,,24,umich,2022,1%
Library science,,,25,umich,2022,
Biological/life sciences,,,26,umich,2022,10%
Mathematics and statistics,,,27,umich,2022,3%
Military science and military technologies,,,28 & 29,umich,2022,
Interdisciplinary studies,,,30,umich,2022,5%
Parks and recreation,,,31,umich,2022,3%
Philosophy and religious studies,,,38,umich,2022,0%
Theology and religious vocations,,,39,umich,2022,
Physical sciences,,,40,umich,2022,2%
Science technologies,,,41,umich,2022,
Psychology,,,42,umich,2022,8%
"Homeland Security, law enforcement, firefighting, and protective services",,,43,umich,2022,
Public administration and social services,,,44,umich,2022,1%
Social sciences,,,45,umich,2022,11%
Construction trades,,,46,umich,2022,
Mechanic and repair technologies,,,47,umich,2022,
Precision production,,,48,umich,2022,
Transportation and materials moving,,,49,umich,2022,
Visual and performing arts,,,50,umich,2022,5%
Health professions and related programs,,,51,umich,2022,5%
Business/marketing,,,52,umich,2022,8%
History,,,54,umich,2022,1%
Other,,,-,umich,2022,
TOTAL,,,,umich,2022,100%
Agriculture,,,01,colgate,2022,
Natural resources and conservation,,,03,colgate,2022,3.92%
Architecture,,,04,colgate,2022,2.23%
"Area, ethnic, and gender studies",,,05,colgate,2022,
Communication/journalism,,,09,colgate,2022,
Communication technologies,,,10,colgate,2022,
Computer and information sciences,,,11,colgate,2022,5.20%
Personal and culinary services,,,12,colgate,2022,
Education,,,13,colgate,2022,1.90%
Engineering,,,14,colgate,2022,
Engineering technologies,,,15,colgate,2022,
"Foreign languages, literatures, and linguistics",,,16,colgate,2022,4.77%
Family and consumer sciences,,,19,colgate,2022,
Law/legal studies,,,22,colgate,2022,
English,,,23,colgate,2022,3.82%
Liberal arts/general studies,,,24,colgate,2022,0.32%
Library science,,,,colgate,2022,"25
10.82% 26"
Biological/life sciences,,,26,colgate,2022,
Mathematics and statistics,,,27,colgate,2022,4.03%
Military science and military technologies,,,28 & 29,colgate,2022,
Interdisciplinary studies,,,30,colgate,2022,3.08%
Parks and recreation,,,31,colgate,2022,
Philosophy and religious studies,,,38,colgate,2022,3.08%
Theology and religious vocations,,,39,colgate,2022,
Physical sciences,,,40,colgate,2022,5.09%
Science technologies,,,41,colgate,2022,
Psychology,,,42,colgate,2022,7.85%
"Homeland Security, law enforcement, firefighting,",,,43,colgate,2022,
Public administration and social services,,,44,colgate,2022,
Social sciences,,,45,colgate,2022,35.30%
Construction trades,,,46,colgate,2022,
Mechanic and repair technologies,,,47,colgate,2022,
Precision production,,,48,colgate,2022,
Transportation and materials moving,,,49,colgate,2022,
Visual and performing arts,,,50,colgate,2022,5.30%
Health professions and related programs,,,51,colgate,2022,
Business/marketing,,,52,colgate,2022,
History,,,54,colgate,2022,3.29%
Other,,,,colgate,2022,
TOTAL (should = 100%),0.00%,0.00%,,colgate,2022,100.00%
Agriculture,,,01,ucsd,2022,
Natural resources and conservation,,,03,ucsd,2022,1
Architecture,,,04,ucsd,2022,0.9
"Area, ethnic, and gender studies",,,05,ucsd,2022,0.3
Communication/journalism,,,09,ucsd,2022,2.8
Communication technologies,,,10,ucsd,2022,
Computer and information sciences,,,11,ucsd,2022,8.6
Personal and culinary services,,,12,ucsd,2022,
Education,,,13,ucsd,2022,0.5
Engineering,,,14,ucsd,2022,11.7
Engineering technologies,,,15,ucsd,2022,
"Foreign languages, literatures, and linguistics",,,16,ucsd,2022,0.7
Family and consumer sciences,,,19,ucsd,2022,0.9
Law/legal studies,,,22,ucsd,2022,
English,,,23,ucsd,2022,1
Liberal arts/general studies,,,24,ucsd,2022,
Library science,,,25,ucsd,2022,
Biological/life sciences,,,26,ucsd,2022,18.9
Mathematics and statistics,,,27,ucsd,2022,4.3
Military science and military technologies,,,28 & 29,ucsd,2022,
Interdisciplinary studies,,,30,ucsd,2022,16.8
Parks and recreation,,,31,ucsd,2022,
Philosophy and religious studies,,,38,ucsd,2022,0.3
Theology and religious vocations,,,39,ucsd,2022,
Physical sciences,,,40,ucsd,2022,4.6
Science technologies,,,41,ucsd,2022,
Psychology,,,42,ucsd,2022,7.6
"Homeland Security, law enforcement, firefighting,",,,43,ucsd,2022,
Public administration and social services,,,44,ucsd,2022,
Social sciences,,,45,ucsd,2022,11.2
Construction trades,,,46,ucsd,2022,
Mechanic and repair technologies,,,47,ucsd,2022,
Precision production,,,48,ucsd,2022,
Transportation and materials moving,,,49,ucsd,2022,
Visual and performing arts,,,50,ucsd,2022,2.1
Health professions and related programs,,,51,ucsd,2022,3.4
Business/marketing,,,52,ucsd,2022,1.8
History,,,54,ucsd,2022,0.7
Other,,,,ucsd,2022,
TOTAL (should = 100%),0.00%,0.00%,,ucsd,2022,100%
Agriculture,1%,,01,wsu,2022,3%
Natural resources and conservation,,,03,wsu,2022,0%
Architecture,,,04,wsu,2022,1%
"Area, ethnic, and gender studies",0%,,05,wsu,2022,0%
Communication/journalism,6%,,09,wsu,2022,8%
Communication technologies,,,10,wsu,2022,
Computer and information sciences,,,11,wsu,2022,3%
Personal and culinary services,,,12,wsu,2022,
Education,36%,,13,wsu,2022,3%
Engineering,,,14,wsu,2022,10%
Engineering technologies,4%,,15,wsu,2022,1%
"Foreign languages, literatures, and linguistics",,,16,wsu,2022,1%
Family and consumer sciences,4%,,19,wsu,2022,3%
Law/legal studies,,,22,wsu,2022,
English,2%,,23,wsu,2022,2%
Liberal arts/general studies,0%,,24,wsu,2022,2%
Library science,,,25,wsu,2022,
Biological/life sciences,1%,,26,wsu,2022,9%
Mathematics and statistics,0%,,27,wsu,2022,1%
Military science and military technologies,,,28 & 29,wsu,2022,
Interdisciplinary studies,2%,,30,wsu,2022,1%
Parks and recreation,,,31,wsu,2022,2%
Philosophy and religious studies,,,38,wsu,2022,0%
Theology and religious vocations,,,39,wsu,2022,
Physical sciences,1%,,40,wsu,2022,2%
Science technologies,,,41,wsu,2022,
Psychology,,,42,wsu,2022,8%
"Homeland Security, law enforcement, firefighting,",0%,,43,wsu,2022,
Public administration and social services,,,44,wsu,2022,0%
Social sciences,,,45,wsu,2022,10%
Construction trades,,,46,wsu,2022,
Mechanic and repair technologies,,,47,wsu,2022,
Precision production,,,48,wsu,2022,
Transportation and materials moving,,,49,wsu,2022,
Visual and performing arts,2%,,50,wsu,2022,1%
Health professions and related programs,7%,,51,wsu,2022,7%
Business/marketing,34%,,52,wsu,2022,21%
History,,,54,wsu,2022,1%
Other,,,,wsu,2022,
TOTAL (should = 100%),100.00%,0.00%,,wsu,2022,100.00%
