Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Health professions and related programs,,,,51,caltech,2015
Business/marketing,,,1%,52,caltech,2015
History,,,,54,caltech,2015
Other,,,,,caltech,2015
TOTAL (should = 100%),0.00%,0.00%,100.00%,,caltech,2015
Agriculture,,,,1,george,2015
Natural resources and conservation,,,,3,george,2015
Architecture,,,,4,george,2015
"Area, ethnic, and gender studies",,,1.80%,5,george,2015
Communication/journalism,,,0.00%,9,george,2015
Communication technologies,,,0.00%,10,george,2015
Computer and information sciences,3.57%,,0.72%,11,george,2015
Personal and culinary services,,,0.00%,12,george,2015
Education,,,0.00%,13,george,2015
Engineering,,,0.00%,14,george,2015
Engineering technologies,,,0.00%,15,george,2015
"Foreign languages, literatures, and linguistics",,,4.73%,16,george,2015
Family and consumer sciences,,,0.00%,19,george,2015
Law/legal studies,,,0.00%,22,george,2015
English,,,3.92%,23,george,2015
Liberal arts/general studies,,,1.44%,24,george,2015
Library science,,,0.00%,25,george,2015
Biological/life sciences,,,4.82%,26,george,2015
Mathematics and statistics,,,1.85%,27,george,2015
Military science and military technologies,,,0.00%,28 & 29,george,2015
Interdisciplinary studies,,,5.40%,30,george,2015
Parks and recreation,,,0.00%,31,george,2015
Philosophy and religious studies,,,1.26%,38,george,2015
Theology and religious vocations,,,0.00%,39,george,2015
Physical sciences,,,0.63%,40,george,2015
Science technologies,,,0.00%,41,george,2015
Psychology,,,4.41%,42,george,2015
"Homeland Security, law enforcement, firefighting, and
protective services",,,0.00%,43,george,2015
Public administration and social services,,,0.00%,44,george,2015
Social sciences,,,35.10%,45,george,2015
Construction trades,,,0.00%,46,george,2015
Mechanic and repair technologies,,,0.00%,47,george,2015
Precision production,,,0.00%,48,george,2015
Transportation and materials moving,,,0.00%,49,george,2015
Visual and performing arts,,,1.89%,50,george,2015
Health professions and related programs,96.43%,,5.46%,51,george,2015
Business/marketing,,,24.93%,52,george,2015
History,,,1.67%,54,george,2015
Other,,,,,george,2015
TOTAL (should = 100%),100%,0%,100%,,george,2015
