Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Science technologies,,,0.0%,41,umich,2018
Psychology,,,9.1%,42,umich,2018
"Homeland Security, law enforcement, firefighting, and protective services",,,0.0%,43,umich,2018
Public administration and social services,,,1.0%,44,umich,2018
Social sciences,,,11.7%,45,umich,2018
Construction trades,,,0.0%,46,umich,2018
Mechanic and repair technologies,,,0.0%,47,umich,2018
Precision production,,,0.0%,48,umich,2018
Transportation and materials moving,,,0.0%,49,umich,2018
Visual and performing arts,,,5.2%,50,umich,2018
Health professions and related programs,,,3.3%,51,umich,2018
Business/marketing,,,7.9%,52,umich,2018
History,,,1.1%,54,umich,2018
Other,,,0.0%,,umich,2018
TOTAL,,,100%,,umich,2018
Agriculture,,,0.00%,1,colgate,2018
Natural resources and conservation,,,3.44%,3,colgate,2018
Architecture,,,0.00%,4,colgate,2018
"Area, ethnic, and gender studies",,,3.32%,5,colgate,2018
Communication/journalism,,,0.00%,9,colgate,2018
Communication technologies,,,0.00%,10,colgate,2018
Computer and information sciences,,,4.98%,11,colgate,2018
Personal and culinary services,,,0.00%,12,colgate,2018
Education,,,2.73%,13,colgate,2018
Engineering,,,0.00%,14,colgate,2018
Engineering technologies,,,0.00%,15,colgate,2018
"Foreign languages, literatures, and linguistics",,,5.22%,16,colgate,2018
Family and consumer sciences,,,0.00%,19,colgate,2018
Law/legal studies,,,0.00%,22,colgate,2018
English,,,6.29%,23,colgate,2018
Liberal arts/general studies,,,0.00%,24,colgate,2018
Library science,,,0.00%,25,colgate,2018
Biological/life sciences,,,15.18%,26,colgate,2018
Mathematics and statistics,,,2.49%,27,colgate,2018
Military science and military technologies,,,0.00%,28 & 29,colgate,2018
Interdisciplinary studies,,,3.91%,30,colgate,2018
Parks and recreation,,,0.00%,31,colgate,2018
Philosophy and religious studies,,,4.51%,38,colgate,2018
Theology and religious vocations,,,0.00%,39,colgate,2018
Physical sciences,,,4.86%,40,colgate,2018
Science technologies,,,0.00%,41,colgate,2018
Psychology,,,6.76%,42,colgate,2018
"Homeland Security, law enforcement, firefighting, and
protective services",,,0.00%,43,colgate,2018
Public administration and social services,,,0.00%,44,colgate,2018
Social sciences,,,29.42%,45,colgate,2018
Construction trades,,,0.00%,46,colgate,2018
Mechanic and repair technologies,,,0.00%,47,colgate,2018
Precision production,,,0.00%,48,colgate,2018
Transportation and materials moving,,,0.00%,49,colgate,2018
Visual and performing arts,,,2.97%,50,colgate,2018
Health professions and related programs,,,0.00%,51,colgate,2018
Business/marketing,,,0.00%,52,colgate,2018
History,,,3.91%,54,colgate,2018
Other,,,,,colgate,2018
TOTAL (should = 100%),0.00%,0.00%,100.00%,,colgate,2018
Agriculture,,,,1,ucsd,2018
Natural resources and conservation,,,,3,ucsd,2018
Architecture,,,,4,ucsd,2018
"Area, ethnic, and gender studies",,,4%,5,ucsd,2018
Communication/journalism,,,3%,9,ucsd,2018
Communication technologies,,,,10,ucsd,2018
Computer and information sciences,,,,11,ucsd,2018
Personal and culinary services,,,,12,ucsd,2018
Education,,,,13,ucsd,2018
Engineering,,,23%,14,ucsd,2018
Engineering technologies,,,,15,ucsd,2018
"Foreign languages, literatures, and linguistics",,,2%,16,ucsd,2018
Family and consumer sciences,,,,19,ucsd,2018
Law/legal studies,,,,22,ucsd,2018
English,,,,23,ucsd,2018
Liberal arts/general studies,,,,24,ucsd,2018
Library science,,,,25,ucsd,2018
Biological/life sciences,,,21%,26,ucsd,2018
Mathematics and statistics,,,8%,27,ucsd,2018
Military science and military technologies,,,,28 & 29,ucsd,2018
Interdisciplinary studies,,,0,30,ucsd,2018
Parks and recreation,,,,31,ucsd,2018
Philosophy and religious studies,,,,38,ucsd,2018
Theology and religious vocations,,,,39,ucsd,2018
Physical sciences,,,4%,40,ucsd,2018
Science technologies,,,,41,ucsd,2018
Psychology,,,5%,42,ucsd,2018
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,ucsd,2018
Public administration and social services,,,,44,ucsd,2018
Social sciences,,,23%,45,ucsd,2018
Construction trades,,,,46,ucsd,2018
Mechanic and repair technologies,,,,47,ucsd,2018
Precision production,,,,48,ucsd,2018
Transportation and materials moving,,,,49,ucsd,2018
Visual and performing arts,,,3%,50,ucsd,2018
Health professions and related programs,,,3%,51,ucsd,2018
Business/marketing,,,,52,ucsd,2018
History,,,1%,54,ucsd,2018
Other,,,,,ucsd,2018
TOTAL (should = 100%),0.00%,0.00%,100.00%,,ucsd,2018
Agriculture,1%,,3%,1,wsu,2018
Natural resources and conservation,,,0%,3,wsu,2018
Architecture,,,1%,4,wsu,2018
"Area, ethnic, and gender studies",,,0%,5,wsu,2018
Communication/journalism,2%,,7%,9,wsu,2018
Communication technologies,,,,10,wsu,2018
Computer and information sciences,0%,,3%,11,wsu,2018
Personal and culinary services,,,,12,wsu,2018
Education,37%,,3%,13,wsu,2018
Engineering,0%,,11%,14,wsu,2018
Engineering technologies,6%,,,15,wsu,2018
"Foreign languages, literatures, and linguistics",,,0%,16,wsu,2018
Family and consumer sciences,16%,,4%,19,wsu,2018
Law/legal studies,,,,22,wsu,2018
English,3%,,2%,23,wsu,2018
Liberal arts/general studies,0%,,2%,24,wsu,2018
Library science,,,,25,wsu,2018
Biological/life sciences,2%,,6%,26,wsu,2018
Mathematics and statistics,,,1%,27,wsu,2018
Military science and military technologies,,,,28 & 29,wsu,2018
Interdisciplinary studies,6%,,1%,30,wsu,2018
Parks and recreation,,,3%,31,wsu,2018
Philosophy and religious studies,,,0%,38,wsu,2018
Theology and religious vocations,,,,39,wsu,2018
Physical sciences,,,2%,40,wsu,2018
Science technologies,,,,41,wsu,2018
Psychology,,,7%,42,wsu,2018
"Homeland Security, law enforcement, firefighting, and
protective services",0%,,3%,43,wsu,2018
Public administration and social services,,,0%,44,wsu,2018
Social sciences,,,10%,45,wsu,2018
Construction trades,,,,46,wsu,2018
Mechanic and repair technologies,,,,47,wsu,2018
Precision production,,,,48,wsu,2018
Transportation and materials moving,,,,49,wsu,2018
Visual and performing arts,,,1%,50,wsu,2018
Health professions and related programs,1%,,8%,51,wsu,2018
Business/marketing,25%,,21%,52,wsu,2018
History,,,1%,54,wsu,2018
Other,,,,,wsu,2018
TOTAL (should = 100%),100%,0.00%,100%,,wsu,2018
