Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Theology and religious vocations,,,,39,umich,2019
Physical sciences,,,1.7%,40,umich,2019
Science technologies,,,,41,umich,2019
Psychology,,,8.4%,42,umich,2019
"Homeland Security, law enforcement, firefighting, and protective services",,,,43,umich,2019
Public administration and social services,,,1.0%,44,umich,2019
Social sciences,,,11.0%,45,umich,2019
Construction trades,,,,46,umich,2019
Mechanic and repair technologies,,,,47,umich,2019
Precision production,,,,48,umich,2019
Transportation and materials moving,,,,49,umich,2019
Visual and performing arts,,,5.2%,50,umich,2019
Health professions and related programs,,,4.3%,51,umich,2019
Business/marketing,,,9.2%,52,umich,2019
History,,,1.2%,54,umich,2019
Other,,,,-,umich,2019
TOTAL,,,100%,,umich,2019
Agriculture,,,,1,ucsd,2019
Natural resources and conservation,,,,3,ucsd,2019
Architecture,,,,4,ucsd,2019
"Area, ethnic, and gender studies",,,1%,5,ucsd,2019
Communication/journalism,,,3%,9,ucsd,2019
Communication technologies,,,,10,ucsd,2019
Computer and information sciences,,,,11,ucsd,2019
Personal and culinary services,,,,12,ucsd,2019
Education,,,,13,ucsd,2019
Engineering,,,18%,14,ucsd,2019
Engineering technologies,,,,15,ucsd,2019
"Foreign languages, literatures, and linguistics",,,1%,16,ucsd,2019
Family and consumer sciences,,,,19,ucsd,2019
Law/legal studies,,,,22,ucsd,2019
English,,,,23,ucsd,2019
Liberal arts/general studies,,,,24,ucsd,2019
Library science,,,,25,ucsd,2019
Biological/life sciences,,,20%,26,ucsd,2019
Mathematics and statistics,,,10%,27,ucsd,2019
Military science and military technologies,,,,28 & 29,ucsd,2019
Interdisciplinary studies,,,,30,ucsd,2019
Parks and recreation,,,,31,ucsd,2019
Philosophy and religious studies,,,,38,ucsd,2019
Theology and religious vocations,,,,39,ucsd,2019
Physical sciences,,,15%,40,ucsd,2019
Science technologies,,,,41,ucsd,2019
Psychology,,,5%,42,ucsd,2019
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43,ucsd,2019
Public administration and social services,,,,44,ucsd,2019
Social sciences,,,19%,45,ucsd,2019
Construction trades,,,,46,ucsd,2019
Mechanic and repair technologies,,,,47,ucsd,2019
Precision production,,,,48,ucsd,2019
Transportation and materials moving,,,,49,ucsd,2019
Visual and performing arts,,,3%,50,ucsd,2019
Health professions and related programs,,,3%,51,ucsd,2019
Business/marketing,,,,52,ucsd,2019
History,,,1%,54,ucsd,2019
Other,,,1%,,ucsd,2019
TOTAL (should = 100%),0.00%,0.00%,100%,,ucsd,2019
Agriculture,1%,,3%,1,wsu,2019
Natural resources and conservation,,,0%,3,wsu,2019
Architecture,,,1%,4,wsu,2019
"Area, ethnic, and gender studies",,,0%,5,wsu,2019
Communication/journalism,2%,,7%,9,wsu,2019
Communication technologies,,,,10,wsu,2019
Computer and information sciences,0%,,3%,11,wsu,2019
Personal and culinary services,,,,12,wsu,2019
Education,35%,,3%,13,wsu,2019
Engineering,0%,,11%,14,wsu,2019
Engineering technologies,5%,,,15,wsu,2019
"Foreign languages, literatures, and linguistics",,,1%,16,wsu,2019
Family and consumer sciences,15%,,4%,19,wsu,2019
Law/legal studies,,,,22,wsu,2019
English,3%,,1%,23,wsu,2019
Liberal arts/general studies,0%,,2%,24,wsu,2019
Library science,,,,25,wsu,2019
Biological/life sciences,2%,,6%,26,wsu,2019
Mathematics and statistics,,,1%,27,wsu,2019
Military science and military technologies,,,,28 & 29,wsu,2019
Interdisciplinary studies,6%,,1%,30,wsu,2019
Parks and recreation,,,3%,31,wsu,2019
Philosophy and religious studies,,,0%,38,wsu,2019
Theology and religious vocations,,,,39,wsu,2019
Physical sciences,,,3%,40,wsu,2019
Science technologies,,,,41,wsu,2019
Psychology,,,8%,42,wsu,2019
"Homeland Security, law enforcement, firefighting, and
protective services",0%,,3%,43,wsu,2019
Public administration and social services,,,0%,44,wsu,2019
Social sciences,,,10%,45,wsu,2019
Construction trades,,,,46,wsu,2019
Mechanic and repair technologies,,,,47,wsu,2019
Precision production,,,,48,wsu,2019
Transportation and materials moving,,,,49,wsu,2019
Visual and performing arts,,,1%,50,wsu,2019
Health professions and related programs,8%,,7%,51,wsu,2019
Business/marketing,22%,,20%,52,wsu,2019
History,,,1%,54,wsu,2019
Other,,,,,wsu,2019
TOTAL (should = 100%),100%,0.00%,100%,,wsu,2019
Agriculture,,,,1,dartmouth,2019
Natural resources and conservation,,,3%,3,dartmouth,2019
Architecture,,,,4,dartmouth,2019
"Area, ethnic, and gender studies",,,4%,5,dartmouth,2019
Communication/journalism,,,,9,dartmouth,2019
Communication technologies,,,,10,dartmouth,2019
Computer and information sciences,,,7%,11,dartmouth,2019
Personal and culinary services,,,,12,dartmouth,2019
Education,,,,13,dartmouth,2019
Engineering,,,9%,14,dartmouth,2019
Engineering technologies,,,,15,dartmouth,2019
"Foreign languages, literatures, and linguistics",,,4%,16,dartmouth,2019
Family and consumer sciences,,,,19,dartmouth,2019
Law/legal studies,,,,22,dartmouth,2019
English,,,3%,23,dartmouth,2019
Liberal arts/general studies,,,,24,dartmouth,2019
Library science,,,,25,dartmouth,2019
Biological/life sciences,,,8%,26,dartmouth,2019
Mathematics and statistics,,,6%,27,dartmouth,2019
Military science and military technologies,,,,28 & 29,dartmouth,2019
Interdisciplinary studies,,,2%,30,dartmouth,2019
Parks and recreation,,,,31,dartmouth,2019
Philosophy and religious studies,,,2%,38,dartmouth,2019
Theology and religious vocations,,,,39,dartmouth,2019
Physical sciences,,,3%,40,dartmouth,2019
Science technologies,,,,41,dartmouth,2019
Psychology,,,5%,42,dartmouth,2019
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,dartmouth,2019
Public administration and social services,,,,44,dartmouth,2019
Social sciences,,,35%,45,dartmouth,2019
Construction trades,,,,46,dartmouth,2019
Mechanic and repair technologies,,,,47,dartmouth,2019
Precision production,,,,48,dartmouth,2019
Transportation and materials moving,,,,49,dartmouth,2019
Visual and performing arts,,,5%,50,dartmouth,2019
Health professions and related programs,,,,51,dartmouth,2019
Business/marketing,,,,52,dartmouth,2019
History,,,4%,54,dartmouth,2019
Other,,,,,dartmouth,2019
TOTAL (should = 100%),0.00%,0.00%,100.00%,,dartmouth,2019
Agriculture,,,,1,caltech,2019
Natural resources and conservation,,,,3,caltech,2019
Architecture,,,,4,caltech,2019
"Area, ethnic, and gender studies",,,,5,caltech,2019
Communication/journalism,,,,9,caltech,2019
Communication technologies,,,,10,caltech,2019
Computer and information sciences,,,27%,11,caltech,2019
Personal and culinary services,,,,12,caltech,2019
Education,,,,13,caltech,2019
Engineering,,,35%,14,caltech,2019
Engineering technologies,,,,15,caltech,2019
"Foreign languages, literatures, and linguistics",,,,16,caltech,2019
Family and consumer sciences,,,,19,caltech,2019
Law/legal studies,,,,22,caltech,2019
English,,,,23,caltech,2019
Liberal arts/general studies,,,,24,caltech,2019
Library science,,,,25,caltech,2019
Biological/life sciences,,,5%,26,caltech,2019
Mathematics and statistics,,,10%,27,caltech,2019
Military science and military technologies,,,,28 & 29,caltech,2019
Interdisciplinary studies,,,,30,caltech,2019
Parks and recreation,,,,31,caltech,2019
Philosophy and religious studies,,,,38,caltech,2019
Theology and religious vocations,,,,39,caltech,2019
Physical sciences,,,22%,40,caltech,2019
Science technologies,,,,41,caltech,2019
Psychology,,,,42,caltech,2019
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,caltech,2019
Public administration and social services,,,,44,caltech,2019
Social sciences,,,,45,caltech,2019
Construction trades,,,,46,caltech,2019
Mechanic and repair technologies,,,,47,caltech,2019
Precision production,,,,48,caltech,2019
Transportation and materials moving,,,,49,caltech,2019
Visual and performing arts,,,,50,caltech,2019
Health professions and related programs,,,,51,caltech,2019
Business/marketing,,,1%,52,caltech,2019
History,,,,54,caltech,2019
Other,,,,,caltech,2019
TOTAL (should = 100%),0.00%,0.00%,100.00%,,caltech,2019
Agriculture,,,,1,george,2019
Natural resources and conservation,,,,3,george,2019
Architecture,,,,4,george,2019
"Area, ethnic, and gender studies",,,1.84%,5,george,2019
Communication/journalism,,,,9,george,2019
Communication technologies,,,,10,george,2019
Computer and information sciences,10.00%,,2.17%,11,george,2019
Personal and culinary services,,,,12,george,2019
Education,,,,13,george,2019
Engineering,,,,14,george,2019
Engineering technologies,,,,15,george,2019
"Foreign languages, literatures, and linguistics",,,4.06%,16,george,2019
Family and consumer sciences,,,,19,george,2019
Law/legal studies,,,,22,george,2019
English,,,4.15%,23,george,2019
Liberal arts/general studies,,,1.57%,24,george,2019
Library science,,,,25,george,2019
Biological/life sciences,,,4.15%,26,george,2019
Mathematics and statistics,,,2.81%,27,george,2019
Military science and military technologies,,,,28 & 29,george,2019
Interdisciplinary studies,,,6.73%,30,george,2019
Parks and recreation,,,,31,george,2019
Philosophy and religious studies,,,1.24%,38,george,2019
Theology and religious vocations,,,,39,george,2019
Physical sciences,,,1.29%,40,george,2019
Science technologies,,,,41,george,2019
Psychology,,,4.29%,42,george,2019
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43,george,2019
Public administration and social services,,,,44,george,2019
Social sciences,,,32.73%,45,george,2019
Construction trades,,,,46,george,2019
Mechanic and repair technologies,,,,47,george,2019
Precision production,,,,48,george,2019
Transportation and materials moving,,,,49,george,2019
Visual and performing arts,,,1.38%,50,george,2019
Health professions and related programs,90.00%,,3.60%,51,george,2019
Business/marketing,,,26.19%,52,george,2019
History,,,1.80%,54,george,2019
Other,,,,,george,2019
TOTAL (should = 100%),100.00%,0.00%,100.00%,,george,2019
Agriculture,,,0.50%,1,asu,2019
Natural resources and conservation,,,2.68%,3,asu,2019
Architecture,,,0.24%,4,asu,2019
"Area, ethnic, and gender studies",,,0.19%,5,asu,2019
Communication/journalism,,,7.74%,9,asu,2019
Communication technologies,,,0.00%,10,asu,2019
Computer and information sciences,,,1.94%,11,asu,2019
Personal and culinary services,,,0.00%,12,asu,2019
Education,,,9.23%,13,asu,2019
Engineering,,,0.00%,14,asu,2019
Engineering technologies,,,1.56%,15,asu,2019
"Foreign languages, literatures, and linguistics",,,0.96%,16,asu,2019
Family and consumer sciences,,,1.61%,19,asu,2019
Law/legal studies,,,0.00%,22,asu,2019
English,,,2.21%,23,asu,2019
Liberal arts/general studies,,,0.58%,24,asu,2019
Library science,,,0.00%,25,asu,2019
Biological/life sciences,,,3.57%,26,asu,2019
Mathematics and statistics,,,1.03%,27,asu,2019
Military science and military technologies,,,0.00%,28 & 29,asu,2019
Interdisciplinary studies,,,0.43%,30,asu,2019
Parks and recreation,,,6.69%,31,asu,2019
Philosophy and religious studies,,,0.60%,38,asu,2019
Theology and religious vocations,,,0.00%,39,asu,2019
Physical sciences,,,2.66%,40,asu,2019
Science technologies,,,0.00%,41,asu,2019
Psychology,,,5.68%,42,asu,2019
"Homeland Security, law enforcement, firefighting, and
protective services",,,2.64%,43,asu,2019
Public administration and social services,,,2.52%,44,asu,2019
Social sciences,,,5.94%,45,asu,2019
Construction trades,,,0.00%,46,asu,2019
Mechanic and repair technologies,,,0.00%,47,asu,2019
Precision production,,,0.00%,48,asu,2019
Transportation and materials moving,,,0.00%,49,asu,2019
Visual and performing arts,,,6.52%,50,asu,2019
Health professions and related programs,,,10.59%,51,asu,2019
Business/marketing,,,20.76%,52,asu,2019
History,,,0.93%,54,asu,2019
Other,,,,,asu,2019
TOTAL (should = 100%),0.00%,0.00%,100.00%,,asu,2019
