Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Family and consumer sciences,,,0,19,colgate,2016
Law/legal studies,,,0,22,colgate,2016
English,,,6.23%,23,colgate,2016
Liberal arts/general studies,,,0,24,colgate,2016
Library science,,,0,25,colgate,2016
Biological/life sciences,,,12.10%,26,colgate,2016
Mathematics and statistics,,,2.16%,27,colgate,2016
Military science and military technologies,,,0,28 & 29,colgate,2016
Interdisciplinary studies,,,3.71%,30,colgate,2016
Parks and recreation,,,0,31,colgate,2016
Philosophy and religious studies,,,3.83%,38,colgate,2016
Theology and religious vocations,,,0,39,colgate,2016
Physical sciences,,,5.99%,40,colgate,2016
Science technologies,,,0,41,colgate,2016
Psychology,,,5.87%,42,colgate,2016
"Homeland Security, law enforcement, firefighting, and
protective services",,,0,43,colgate,2016
Public administration and social services,,,0,44,colgate,2016
Social sciences,,,32.69%,45,colgate,2016
Construction trades,,,0,46,colgate,2016
Mechanic and repair technologies,,,0,47,colgate,2016
Precision production,,,0,48,colgate,2016
Transportation and materials moving,,,0,49,colgate,2016
Visual and performing arts,,,3.11%,50,colgate,2016
Health professions and related programs,,,0,51,colgate,2016
Business/marketing,,,0,52,colgate,2016
History,,,5.39%,54,colgate,2016
Other,,,,,colgate,2016
TOTAL (should = 100%),0.00%,0.00%,100.00%,,colgate,2016
Agriculture,,,0.0%,1,umich,2016
Natural resources and conservation,,,1.5%,3,umich,2016
Architecture,,,0.7%,4,umich,2016
"Area, ethnic, and gender studies",,,1.9%,5,umich,2016
Communication/journalism,,,2.9%,9,umich,2016
Communication technologies,,,0.0%,10,umich,2016
Computer and information sciences,,,7.4%,11,umich,2016
Personal and culinary services,,,0.0%,12,umich,2016
Education,,,1.1%,13,umich,2016
Engineering,,,15.7%,14,umich,2016
Engineering technologies,,,0.0%,15,umich,2016
"Foreign languages, literatures, and linguistics",,,4.1%,16,umich,2016
Family and consumer sciences,,,0.0%,19,umich,2016
Law/legal studies,,,0.0%,22,umich,2016
English,,,2.7%,23,umich,2016
Liberal arts/general studies,,,0.9%,24,umich,2016
Library science,,,0.0%,25,umich,2016
Biological/life sciences,,,8.5%,26,umich,2016
Mathematics and statistics,,,3.3%,27,umich,2016
Military science and military technologies,,,0.0%,28 & 29,umich,2016
Interdisciplinary studies,,,3.9%,30,umich,2016
Parks and recreation,,,2.8%,31,umich,2016
Philosophy and religious studies,,,0.4%,38,umich,2016
Theology and religious vocations,,,0.0%,39,umich,2016
Physical sciences,,,2.0%,40,umich,2016
Science technologies,,,0.0%,41,umich,2016
Psychology,,,9.8%,42,umich,2016
"Homeland Security, law enforcement, firefighting, and
protective services",,,0.0%,43,umich,2016
Public administration and social services,,,0.8%,44,umich,2016
Social sciences,,,12.5%,45,umich,2016
Construction trades,,,0.0%,46,umich,2016
Mechanic and repair technologies,,,0.0%,47,umich,2016
Precision production,,,0.0%,48,umich,2016
Transportation and materials moving,,,0.0%,49,umich,2016
Visual and performing arts,,,5.9%,50,umich,2016
Health professions and related programs,,,2.6%,51,umich,2016
Business/marketing,,,6.8%,52,umich,2016
History,,,1.6%,54,umich,2016
Other,,,,,umich,2016
TOTAL (should = 100%),0%,0%,100%,,umich,2016
